,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.445604,1.4603,0.445604,0.699127,3,7,1,2,0.47019999999999995,l,2016-08-15 23:00:00,0,0,1,0,-0.25352300000000005,11.892857142857142,6.264705882352941
1,h,1.69288,0.39341,1.69288,0.39341,13,7,1,0,2.4378,w,2016-08-21 19:00:00,1,0,0,3,1.29947,7.4411764705882355,7.478260869565218
2,a,1.08385,3.21624,1.08385,3.21624,0,18,1,3,0.2811,l,2016-08-28 19:00:00,0,0,1,0,-2.13239,13.615384615384615,5.615384615384615
3,h,1.32216,1.85479,1.32216,1.85479,5,6,2,4,0.9798,l,2016-09-10 18:00:00,0,0,1,0,-0.5326299999999999,5.448275862068965,12.095238095238095
4,a,2.37422,1.94229,1.61305,1.18112,10,2,2,4,1.6331,l,2016-09-17 18:00:00,0,0,1,0,0.43193000000000015,4.517241379310345,19.263157894736842
5,h,0.693818,2.97877,0.693818,2.97877,4,12,0,3,0.1738,l,2016-09-25 19:00:00,0,0,1,0,-2.2849519999999997,11.826086956521738,9.227272727272727
6,h,0.883385,0.852603,0.883385,0.852603,3,2,1,1,1.3475,d,2016-10-01 18:00:00,0,1,0,1,0.030781999999999976,11.538461538461538,7.458333333333333
7,a,0.874219,1.94599,0.874219,1.18482,4,3,1,0,0.5341,w,2016-10-15 20:30:00,1,0,0,3,-0.310601,8.0,11.8
8,h,1.19585,0.808339,1.19585,0.808339,8,3,1,0,1.6616,w,2016-10-22 18:00:00,1,0,0,3,0.38751100000000005,5.64,12.571428571428571
9,a,0.944816,2.0087,0.944816,2.0087,6,5,0,2,0.6109,l,2016-10-30 17:30:00,0,0,1,0,-1.0638840000000003,10.9,11.761904761904763
10,h,0.404528,0.81046,0.404528,0.81046,2,5,1,1,0.9100999999999999,d,2016-11-05 19:00:00,0,1,0,1,-0.40593199999999996,10.117647058823529,18.470588235294116
11,a,1.76706,2.53396,1.0059,1.77279,4,5,2,3,0.7582,l,2016-11-19 21:30:00,0,0,1,0,-0.7668900000000001,14.576923076923077,4.741935483870968
12,a,0.749388,1.44452,0.749388,1.44452,4,15,1,1,0.8305,d,2016-11-27 20:30:00,0,1,0,1,-0.695132,13.08695652173913,3.6176470588235294
13,h,0.882486,2.96923,0.882486,2.96923,3,13,1,5,0.2546,l,2016-12-03 21:30:00,0,0,1,0,-2.086744,7.67741935483871,13.61111111111111
14,a,0.64998,1.79134,0.64998,1.79134,0,28,2,2,0.5307999999999999,d,2016-12-11 20:30:00,0,1,0,1,-1.14136,21.933333333333334,9.714285714285714
15,h,1.67016,0.923353,0.694755,0.923353,4,5,1,0,2.0371,w,2016-12-14 23:45:00,1,0,0,3,-0.22859799999999997,15.88888888888889,12.35
16,h,1.92151,1.13479,1.16034,1.13479,2,9,1,0,1.9965000000000002,w,2016-12-17 19:00:00,1,0,0,3,0.02554999999999996,8.0,16.214285714285715
17,a,3.40585,0.954864,3.40585,0.954864,6,5,4,1,2.7597000000000005,w,2016-12-26 19:00:00,1,0,0,3,2.450986,18.22222222222222,9.08
18,a,1.58333,1.10842,1.58333,1.10842,6,7,0,1,1.7197,l,2016-12-31 15:00:00,0,0,1,0,0.47490999999999994,9.428571428571429,14.736842105263158
19,h,0.799911,1.64905,0.799911,1.64905,4,16,0,2,0.5857,l,2017-01-02 21:15:00,0,0,1,0,-0.8491389999999999,19.526315789473685,7.0625
20,h,1.72338,1.06181,1.72338,1.06181,2,6,3,0,1.9276,w,2017-01-14 19:00:00,1,0,0,3,0.66157,12.95,8.095238095238095
21,a,2.6558,0.958825,2.6558,0.958825,5,7,3,1,2.4864,w,2017-01-21 18:00:00,1,0,0,3,1.6969750000000001,15.105263157894736,9.333333333333334
22,h,0.49472,2.66472,0.49472,1.90356,4,11,0,4,0.1309,l,2017-02-01 22:45:00,0,0,1,0,-1.4088399999999999,14.612903225806452,6.565217391304348
