,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.378659,1.18399,0.378659,1.18399,6,6,0,1,0.6263,0,0,1,0,-0.805331,12.0,17.38888888888889
1,1.145353,3.36116,1.145353,3.36116,13,13,0,3,1.0354999999999999,0,0,2,0,-2.215807,11.15625,13.294444444444444
2,1.5607550000000001,5.12742,1.5607550000000001,5.12742,18,25,1,5,1.4284999999999999,0,0,3,0,-3.5666649999999995,12.453373015873018,10.24227330779055
3,2.138046,7.614739999999999,2.138046,7.614739999999999,20,37,1,8,1.6904,0,0,4,0,-5.476693999999999,13.366345551378448,9.615038314176244
4,3.5333360000000003,8.489016,3.5333360000000003,8.489016,26,38,3,9,3.4888,1,0,4,3,-4.955679999999999,13.104187552213869,12.025363984674328
5,3.918064,10.699936,3.918064,10.699936,32,50,4,11,3.6344,1,0,5,3,-6.781872,13.107656293511559,11.528383030706868
6,5.317074,11.294744,5.317074,11.294744,50,51,4,11,5.6981,1,1,5,4,-5.97767,12.80656253729562,11.452899740605886
7,5.492114,13.251584,5.492114,13.251584,51,68,4,12,5.878,1,1,6,4,-7.759469999999999,16.636297775689222,10.562953939696817
8,6.610454,14.852754,5.849286,14.852754,54,77,6,13,6.7959000000000005,2,1,6,7,-9.003468,15.63041283764968,10.255192773983376
9,7.065509,16.636374,6.304341,16.636374,62,91,6,14,7.213900000000001,2,1,7,7,-10.332033,16.317371553884712,11.429673496585039
10,8.352539,17.312465,7.591371,17.312465,74,95,7,14,9.0959,3,1,7,10,-9.721093999999999,15.738280359990886,11.200136079146572
11,9.740359,18.475765,8.979191,18.475765,78,104,11,14,10.6471,4,1,7,13,-9.496573999999999,16.03985223475355,10.781497288237299
12,10.189434,19.355359,9.428266,19.355359,85,108,11,14,11.5069,4,2,7,14,-9.927093,16.025797667245037,10.433836324673258
13,11.104522000000001,20.440549,10.343354000000001,20.440549,91,113,12,16,12.6606,4,2,8,14,-10.097195,15.613240691013248,10.641978450550635
14,12.216472000000001,21.443189,11.455304000000002,21.443189,103,124,13,17,14.098500000000001,4,3,8,15,-9.987884999999999,15.366008771929824,10.328212145245109
15,13.178846000000002,26.055269,12.417678000000002,24.532929,109,138,15,19,14.141300000000001,4,4,8,16,-12.115250999999999,14.947299890350877,10.187163171881576
16,13.994638000000002,27.295699,13.233470000000002,25.773359,115,151,15,20,15.085400000000002,4,4,9,16,-12.539888999999999,15.580651997641162,10.115067600684922
17,14.533816000000002,30.546108999999998,13.772648000000002,29.023768999999998,121,165,15,24,15.192100000000002,4,4,10,16,-15.251120999999998,19.33728244221665,10.108674956202426
18,14.868712000000002,32.103348999999994,14.107544000000003,30.581008999999998,123,179,15,28,15.588600000000001,4,4,11,16,-16.473464999999997,20.384308062666786,9.835748743932664
19,17.717992000000002,33.97930899999999,16.956824,32.456969,136,183,18,31,17.616500000000002,4,5,11,17,-15.500144999999998,19.697092659533446,9.715627973402697
20,19.117542000000004,34.578917,18.356374000000002,33.056577000000004,143,189,20,32,19.639000000000003,5,5,11,20,-14.700202999999998,19.47606708315355,9.509781743376717
21,20.400022000000003,36.952237,19.638854000000002,35.429897000000004,153,199,22,34,20.310700000000004,5,6,11,21,-15.791042999999998,19.08839896214896,9.526135537650108
22,21.222307000000004,37.961797,20.461139000000003,36.439457000000004,162,202,24,35,21.453000000000003,6,6,11,24,-15.978317999999998,18.70224668343484,9.424585131251243
23,21.724193000000003,38.942038,20.963025000000002,37.419698000000004,166,208,25,36,22.277100000000004,6,7,11,25,-16.456673,18.304930849402833,9.563756829213814
24,23.148663000000003,40.089988,22.387495,38.567648000000005,169,213,28,36,23.915700000000005,7,7,11,28,-16.180152999999997,17.94431256279514,9.501206556045261
25,25.059573000000004,40.811209999999996,24.298405000000002,39.28887,178,219,30,37,26.187500000000004,8,7,11,31,-14.990464999999997,17.553741836695732,9.389621688505057
26,25.493128000000002,43.37819999999999,24.73196,41.094730000000006,180,224,31,41,26.322000000000003,8,7,12,31,-16.362769999999998,17.322706563991602,9.286526833599707
27,26.699588000000002,47.61386999999999,25.93842,45.330400000000004,192,231,33,43,26.383800000000004,8,8,12,32,-19.391979999999997,16.95118132956333,9.45146380042693
28,28.103088000000003,50.59185999999999,26.580747000000002,48.30839,193,241,34,44,26.766800000000003,8,9,12,33,-21.727642999999997,17.05248159022973,9.341068496963931
29,29.276958000000004,53.12309999999999,27.754617000000003,50.83963,198,250,35,48,27.176400000000005,8,9,13,33,-23.085012999999996,16.87048529030849,9.3113662137318
30,29.962287000000003,54.86797999999999,28.439946000000003,52.58451,204,258,37,49,27.690500000000004,9,9,13,36,-24.144563999999995,16.603695442234024,9.536616259968158
31,32.076887000000006,55.62930999999999,29.793376000000002,53.34584,211,273,39,51,30.100600000000004,9,10,13,37,-23.552463999999997,16.634829959664213,9.461942590079445
32,34.169157000000006,56.77488999999999,31.885646,54.491420000000005,219,285,41,53,32.2053,9,11,13,38,-22.605773999999997,16.55902703159358,9.701732208561886
33,34.70975000000001,59.41508999999999,32.426239,57.131620000000005,222,304,41,56,32.3714,9,11,14,38,-24.705380999999996,17.119055648311416,9.6469753788983
