,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.276343,1.86751,0.276343,1.86751,2,18,0,2,0.173,0,0,1,0,-1.591167,67.33333333333333,5.444444444444445
1,0.399418,3.75106,0.399418,3.75106,4,22,0,4,0.31579999999999997,0,0,2,0,-3.351642,43.27380952380952,13.133986928104576
2,1.351775,4.032519,1.351775,4.032519,12,27,0,4,2.2715,0,1,2,1,-2.680744,31.21284271284271,19.505991285403052
3,1.748546,4.899198,1.748546,4.899198,14,33,3,5,3.0927000000000002,1,1,2,4,-3.150652,26.722132034632033,22.268382352941178
4,2.622822,6.294488,2.622822,6.294488,15,39,4,7,3.9896000000000003,1,1,3,4,-3.671666,25.71103896103896,20.225816993464054
5,3.1301630000000005,7.664498,3.1301630000000005,7.664498,20,50,5,7,4.5937,2,1,3,7,-4.5343350000000004,24.056818181818176,19.29234749455338
6,3.5165060000000006,10.142678,3.5165060000000006,10.142678,25,65,5,9,4.7736,2,1,4,7,-6.626172,24.643939393939387,17.737596553773024
7,4.575346000000001,11.597858,4.575346000000001,10.836691,34,70,6,10,5.7505,2,2,4,8,-6.261345,23.431094028520494,16.623657854116615
8,6.558796000000001,12.166969,5.797626000000001,11.405802,36,75,9,10,8.2554,3,2,4,11,-5.608176,22.97796593384828,16.144640314770324
9,8.064126000000002,12.710609,7.302956000000001,11.949442,41,80,10,11,10.536999999999999,3,3,4,12,-4.646486,22.33899286987522,15.646176283293292
10,8.939053000000001,13.956179,8.177883000000001,13.195012,41,88,11,11,11.511,4,3,4,15,-5.017129000000001,22.02895455702942,15.128342075721173
11,9.429111,15.161249000000002,8.667941,14.400082000000001,44,94,13,13,12.187399999999998,4,4,4,16,-5.732141,20.85392262965792,15.89794993304744
12,9.994183000000001,16.662729000000002,9.233013000000001,15.901562000000002,49,101,13,14,12.694899999999999,4,4,5,16,-6.6685490000000005,20.3955237229231,15.572466604864303
13,10.469345,17.247025,9.708175,16.485858,51,102,13,14,13.831,4,5,5,17,-6.777683000000001,19.780805863015058,15.872235473747622
14,12.128125,19.022685,10.605788,18.261518,52,110,14,19,15.0998,4,5,6,17,-7.65573,21.188752138814053,15.762571290649296
15,12.401934,21.703934999999998,10.879597,20.942767999999997,55,119,14,21,15.1519,4,5,7,17,-10.063171,20.735982907915954,15.399569675892806
16,12.717550000000001,23.577374999999996,11.195213,22.816207999999996,58,125,14,23,15.4683,4,5,8,17,-11.620995,22.98680744274443,14.849454933053172
17,14.207840000000001,24.902734999999996,11.924336,24.141567999999996,62,130,14,23,17.002,4,6,8,18,-12.217232000000001,22.293095918147515,14.738770928835931
18,15.60923,26.203174999999995,13.325726,25.442007999999994,65,134,15,23,18.4242,5,6,8,21,-12.116282000000002,21.721748764560804,14.529462183207976
19,16.061831,28.372514999999993,13.778326999999999,27.611347999999992,68,151,15,25,18.709699999999998,5,6,9,21,-13.833021000000002,22.607883548554987,14.292989074047577
20,16.691889000000003,28.876893999999993,14.408384999999999,28.115726999999993,69,153,15,25,20.1574,5,7,9,22,-13.707342000000002,22.169412903385698,14.26316419750563
21,19.065209000000003,30.159373999999993,16.781705,29.398206999999992,79,163,17,27,22.2988,5,8,9,23,-12.616502000000002,21.61032891765868,14.112446207666858
22,19.595974000000002,31.544153999999992,17.312469999999998,30.78298699999999,87,166,17,29,22.9562,5,8,10,23,-13.470517000000003,20.99466244297787,14.244680987935523
23,20.477148000000003,33.06423399999999,18.193644,32.30306699999999,96,178,17,33,23.7984,5,8,11,23,-14.109423000000003,20.596273730076014,14.317819280104876
24,21.556218000000005,34.33816399999999,18.511547999999998,33.57699699999999,100,186,18,34,25.0169,5,9,11,24,-15.065449000000003,20.252422780872973,13.979392223186395
25,23.198488000000005,34.78191499999999,20.153817999999998,34.02074799999999,105,190,21,35,27.3468,6,9,11,27,-13.866930000000004,19.784380879044527,13.798366648168734
26,24.096344000000006,36.177384999999994,21.051674,34.65504699999999,116,195,22,36,28.220100000000002,6,10,11,28,-13.603373000000003,19.42376007047321,13.6947234389773
27,27.387644000000005,36.62055399999999,23.581803999999998,35.09821599999999,124,197,26,37,31.1503,7,10,11,31,-11.516412000000003,19.10830110691735,13.533265924852333
28,28.872624000000005,37.42206699999999,25.066784,35.89972899999999,133,208,28,38,33.1049,8,10,11,34,-10.832945000000002,18.885676031266527,13.251429168822943
29,29.194421000000006,39.11074699999999,25.388581,36.827244999999984,136,214,28,40,33.382,8,10,12,34,-11.438664000000003,18.66791820277333,13.063418566899214
30,30.797641000000006,40.37656699999999,26.230628,38.09306499999998,140,220,28,42,35.0255,8,10,13,34,-11.862437000000003,18.36306249637251,12.942604478230912
31,32.33008100000001,41.86620699999999,27.763068,39.58270499999998,145,223,29,43,36.4012,8,11,13,35,-11.819637000000004,18.366300126694203,12.78070761209572
32,33.874931000000004,44.36545699999999,29.307918,42.08195499999998,147,229,31,46,36.9508,8,11,14,35,-12.774037000000003,18.019341536996397,12.618709884719959
33,34.86303,45.72793699999999,29.534848,43.44443499999998,148,239,32,47,37.960300000000004,8,12,14,36,-13.909587000000004,17.922864739872463,12.503325834402109
34,35.241439,47.27389699999999,29.913257,44.99039499999998,154,242,32,47,38.334300000000006,8,13,14,37,-15.077138000000003,17.69471146159039,12.97465938199062
35,36.16421,47.926340999999994,30.836028000000002,45.64283899999998,157,253,33,47,39.97180000000001,9,13,14,40,-14.806811000000003,17.820838757591968,12.848170305590296
36,37.1736,49.57399099999999,31.845418000000002,47.29048899999998,157,272,34,50,40.82900000000001,9,13,15,40,-15.445071000000004,18.720951223602995,12.753174711745514
37,37.2144165,53.083800999999994,31.8862345,50.80029899999998,159,291,34,54,40.84720000000001,9,13,16,40,-18.914064500000002,19.517768296666073,12.624331768203337
