,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.63853,0.62654,2.63853,0.62654,10,9,4,0,2.6584999999999996,w,2017-08-13 16:00:00,1,0,0,3,2.01199,9.36,13.35
1,a,3.41021,0.304164,3.41021,0.304164,4,4,4,0,2.9635,w,2017-08-19 12:30:00,1,0,0,3,3.106046,8.346153846153847,17.94736842105263
2,h,2.73725,0.670573,1.97608,0.670573,13,3,2,0,2.7186999999999997,w,2017-08-26 17:30:00,1,0,0,3,1.305507,8.166666666666666,17.105263157894736
3,a,1.96635,1.49928,1.96635,1.49928,9,1,2,2,1.7025,d,2017-09-09 17:30:00,0,1,0,1,0.4670700000000001,11.117647058823529,15.5
4,h,3.28722,1.06298,2.52605,1.06298,5,1,4,0,2.6885000000000003,w,2017-09-17 16:00:00,1,0,0,3,1.46307,10.516129032258064,9.478260869565217
5,a,1.07247,0.802062,1.07247,0.802062,8,5,1,0,1.6585,w,2017-09-23 15:00:00,1,0,0,3,0.270408,15.263157894736842,8.95
6,h,3.47508,0.244321,3.47508,0.244321,9,3,4,0,2.944,w,2017-09-30 15:00:00,1,0,0,3,3.230759,10.526315789473685,14.461538461538462
7,a,0.230358,1.92702,0.230358,1.92702,3,9,0,0,0.2231,d,2017-10-14 12:30:00,0,1,0,1,-1.696662,13.44,8.727272727272727
8,a,0.807135,1.26744,0.807135,1.26744,6,5,1,2,0.8752,l,2017-10-21 15:00:00,0,0,1,0,-0.46030499999999985,3.761904761904762,20.94736842105263
9,h,0.943496,1.08708,0.943496,1.08708,4,6,1,0,1.1813999999999998,w,2017-10-28 12:30:00,1,0,0,3,-0.14358400000000004,10.434782608695652,7.291666666666667
10,a,0.773586,1.8417,0.773586,1.8417,5,7,0,1,0.5867,l,2017-11-05 16:30:00,0,0,1,0,-1.068114,6.424242424242424,5.827586206896552
11,h,2.57424,1.08708,2.57424,1.08708,14,6,4,1,2.3798,w,2017-11-18 17:30:00,1,0,0,3,1.48716,9.6,21.625
12,h,1.50148,0.565072,1.50148,0.565072,7,5,1,0,2.2484,w,2017-11-25 15:00:00,1,0,0,3,0.9364079999999999,11.666666666666666,14.894736842105264
13,a,1.63491,1.29277,1.63491,0.5316,5,4,4,2,1.6182,w,2017-11-28 20:00:00,1,0,0,3,1.10331,16.375,8.909090909090908
14,a,2.06831,4.24057,2.06831,4.24057,8,32,3,1,0.2754,w,2017-12-02 17:30:00,1,0,0,3,-2.17226,19.6,4.6
15,h,1.43756,2.03041,1.43756,2.03041,2,14,1,2,0.9001000000000001,l,2017-12-10 16:30:00,0,0,1,0,-0.5928499999999999,12.96,6.357142857142857
16,h,1.24043,0.815792,1.24043,0.815792,13,6,1,0,1.7484000000000002,w,2017-12-13 20:00:00,1,0,0,3,0.42463799999999996,8.961538461538462,25.714285714285715
