,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.634633,2.34418,0.634633,2.34418,2,8,0,2,0.2819,0,0,1,0,-1.7095470000000001,29.5,7.125
1,1.607955,2.6111880000000003,1.607955,2.6111880000000003,7,10,0,3,2.3291,0,0,2,0,-1.0032330000000003,21.67105263157895,7.455357142857142
2,4.369025000000001,3.1696720000000003,4.369025000000001,3.1696720000000003,14,10,3,3,5.1129999999999995,1,0,2,3,1.199353,18.229419703103915,6.872198879551821
3,5.4007950000000005,4.655412,5.4007950000000005,4.655412,16,16,4,3,6.063599999999999,2,0,2,6,0.7453829999999999,16.039252277327936,7.1541491596638656
4,8.060595000000001,5.331195,8.060595000000001,5.331195,19,21,6,4,8.7209,3,0,2,9,2.7294,14.91140182186235,7.165424590888987
5,9.430605000000002,5.838536,9.430605000000002,5.838536,30,26,6,5,10.857700000000001,3,0,3,9,3.592069,14.863668184885292,8.602139540026537
6,9.711042,7.4832860000000005,9.711042,7.4832860000000005,32,34,7,6,11.148600000000002,3,1,3,10,2.2277560000000003,15.793858444187393,8.380065183968325
7,10.662039,9.197736,10.662039,8.436564,38,43,9,8,11.894600000000002,3,2,3,11,2.2254750000000003,16.06337613866397,8.221980112895361
8,10.932352,9.764581000000002,10.932352,9.003409000000001,42,46,10,8,12.826600000000003,4,2,3,14,1.9289430000000003,15.078556567701305,8.462272920864253
9,11.448720999999999,10.791681,11.448720999999999,10.030509000000002,47,52,10,9,13.641200000000003,4,2,4,14,1.4182120000000005,14.755700910931173,9.101045628777827
10,12.124811999999999,12.078711,12.124811999999999,11.317539000000002,51,64,10,10,14.467500000000003,4,2,5,14,0.8072730000000006,14.223797364915784,9.177984064439173
11,13.211891999999999,14.652951,13.211891999999999,13.891779000000001,57,78,11,14,14.918300000000002,4,2,6,14,-0.6798869999999995,14.840564251172802,9.213152059069241
12,14.071912,16.711391,14.071912,15.950219,67,85,11,17,15.456300000000002,4,2,7,14,-1.8783069999999995,14.42821315492874,9.202250252327651
13,15.206112,17.556718,15.206112,16.795546,70,87,13,19,17.074700000000004,4,3,7,15,-1.5894339999999993,14.132320378556278,9.231282066602384
14,15.725660999999999,20.634658,15.725660999999999,19.112316,70,107,14,22,17.180800000000005,4,3,8,15,-3.3866549999999993,14.127800095254678,9.22652992882889
15,16.690317999999998,21.078757000000003,16.690317999999998,19.556415,75,111,16,25,19.050800000000006,4,3,9,15,-2.8660969999999995,13.83761561960429,9.282224749453556
16,17.260976,22.465947000000003,17.260976,20.943605,77,112,16,26,19.556900000000006,4,3,10,15,-3.6826289999999995,13.72111722181244,9.353858587720994
17,17.547522999999998,24.490667000000002,17.547522999999998,22.968325,79,133,16,27,19.816200000000006,4,3,11,15,-5.420801999999999,14.067166265045081,9.064591934154796
18,19.453743,26.809647000000002,19.453743,24.526135,82,142,19,29,20.882700000000007,5,3,11,18,-5.072391999999999,13.967139970393585,8.932902884988755
19,19.628448,28.741517,19.628448,26.458005,83,154,19,30,21.097100000000008,5,3,12,18,-6.829556999999999,14.668782971873906,8.750146629628205
20,20.132827,29.371575,20.132827,27.088063,85,155,19,30,22.22290000000001,5,4,12,19,-6.955235999999999,14.62106314781642,8.971568218693529
21,22.153107,30.871865,22.153107,28.588352999999998,89,161,20,30,23.98670000000001,6,4,12,22,-6.435245999999999,14.522585070849557,8.942557542086247
22,23.980407,31.767639,23.980407,29.484126999999997,94,165,21,31,26.06460000000001,6,5,12,23,-5.5037199999999995,14.346940442581735,9.24577967793757
23,24.972425,34.318139,24.972425,31.273456999999997,95,186,22,34,26.45930000000001,6,5,13,23,-6.301031999999999,14.437643320966226,9.02281955977789
24,27.495175,35.546419,26.734005,32.501737,101,192,23,35,28.77000000000001,6,6,13,24,-5.767732,14.16195576994576,8.929049634529632
25,28.639255,38.548799,27.878085,34.742947,103,203,24,36,29.08420000000001,6,7,13,25,-6.864862,14.171111317255537,8.964470802432338
26,29.315911,40.268749,28.554741,36.462897,107,216,25,36,29.67980000000001,7,7,13,28,-7.908156,14.143168922789284,8.918648651500499
27,33.551581,41.475209,32.790411,37.669357,114,228,27,38,32.58500000000001,7,8,13,29,-4.878946,14.134654386431164,8.847268342518339
28,33.806903,43.044559,33.045733,39.238707,118,241,27,40,32.92880000000001,7,8,14,29,-6.1929739999999995,14.651562855864572,8.703109664040694
29,35.165372999999995,43.541282,34.404202999999995,39.73543,123,243,30,40,35.12800000000001,8,8,14,32,-5.331226999999999,14.520121871780196,8.599672675239338
30,37.701542999999994,43.822129000000004,36.940372999999994,40.016277,128,244,31,40,37.95920000000001,9,8,14,35,-3.0759039999999995,14.241071657122491,8.767673308544273
