,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.27644,0.720574,0.27644,0.720574,9,3,0,1,0.808,0,0,1,0,-0.44413400000000003,14.45,6.190476190476191
1,0.9690840000000001,2.127154,0.9690840000000001,2.127154,13,18,1,1,1.5959,1,0,1,3,-1.15807,19.258333333333333,5.647869674185464
2,1.949989,3.002286,1.949989,3.002286,21,20,2,2,3.0006000000000004,1,1,1,4,-1.0522969999999998,15.803801169590642,7.765246449456977
3,3.449269,4.968636,3.449269,4.968636,22,29,4,4,4.0464,1,2,1,5,-1.519367,15.727850877192981,8.603346601798615
4,4.125052,7.628436000000001,4.125052,7.628436000000001,27,32,5,6,4.2782,1,2,2,5,-3.503384,14.02438596491228,8.962677281438891
5,4.726011,9.226586000000001,4.726011,9.226586000000001,35,39,5,10,4.7742,1,2,3,5,-4.5005749999999995,15.196792225662195,9.21889773453241
6,7.4073709999999995,10.654396000000002,6.646201,10.654396000000002,44,53,7,11,7.0597,2,2,3,8,-4.008195,15.25201238390093,8.744017607042817
7,8.088607,15.108276000000002,7.327437,15.108276000000002,46,72,9,18,7.0826,2,2,4,8,-7.780838999999999,22.501760835913313,8.30205707282913
8,9.689777,16.226616,8.928607,15.465448000000002,55,75,10,20,8.8513,2,2,5,8,-6.536840999999999,20.867465570620265,8.222198879551819
9,10.46866,17.361096,9.70749,16.599928000000002,59,88,11,20,9.8976,3,2,5,11,-6.8924379999999985,22.058496791336015,8.03331232492997
10,11.69854,18.756726,10.93737,17.995558000000003,66,92,13,22,11.145100000000001,3,3,5,12,-7.058187999999999,21.139758987794647,8.426387827858415
11,12.90361,19.246784,12.14244,18.485616000000004,72,95,15,24,13.175400000000002,3,4,5,13,-6.343175999999999,21.408415435781453,8.384903127917832
12,13.531902,20.730174,12.770732,19.969006000000004,75,103,16,26,13.803900000000002,3,4,6,13,-7.198273999999999,20.696229633029034,8.415495863897398
13,14.37865,23.317744,13.61748,22.556576000000003,77,110,16,29,14.108400000000003,3,4,7,13,-8.939096,20.808403706860293,8.385817587904727
