,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.445187,2.0178,0.445187,2.0178,8,8,0,2,0.2781,l,2018-08-12 18:00:00,0,0,1,0,-1.5726129999999998,13.56,10.954545454545455
1,a,2.45798,1.71799,2.45798,1.71799,7,10,2,3,1.9,l,2018-08-18 19:30:00,0,0,1,0,0.7399900000000001,18.136363636363637,10.76
2,h,1.7852,1.17924,1.7852,1.17924,8,10,3,1,1.8238999999999999,w,2018-08-25 17:00:00,1,0,0,3,0.6059599999999998,5.03030303030303,17.72222222222222
3,a,1.41005,0.77426,1.41005,0.77426,15,5,3,2,1.8763,w,2018-09-02 12:30:00,1,0,0,3,0.6357900000000001,4.5,16.363636363636363
4,a,0.90461,0.412121,0.90461,0.412121,10,3,2,1,1.7786,w,2018-09-15 14:00:00,1,0,0,3,0.492489,7.095238095238095,14.75
5,h,0.930544,1.06523,0.930544,1.06523,15,5,2,0,1.1892,w,2018-09-23 15:00:00,1,0,0,3,-0.13468599999999986,4.870967741935484,17.166666666666668
6,h,1.57061,2.62141,1.57061,2.62141,9,4,2,0,0.6981999999999999,w,2018-09-29 14:00:00,1,0,0,3,-1.0508,9.0,10.296296296296296
7,a,1.13706,1.31588,1.13706,1.31588,12,5,5,1,1.2163,w,2018-10-07 11:00:00,1,0,0,3,-0.17881999999999998,15.333333333333334,11.961538461538462
8,h,2.91637,0.932491,2.91637,0.932491,14,2,3,1,2.6580000000000004,w,2018-10-22 19:00:00,1,0,0,3,1.9838790000000002,6.0,18.347826086956523
9,a,0.845197,2.38115,0.845197,0.858849,2,6,2,2,0.3065,d,2018-10-28 12:30:00,0,1,0,1,-0.013651999999999997,7.466666666666667,15.545454545454545
10,h,1.62321,1.19558,1.62321,1.19558,9,8,1,1,1.7341,d,2018-11-03 17:30:00,0,1,0,1,0.42762999999999995,8.208333333333334,24.6
11,h,0.965843,1.86549,0.965843,1.86549,11,8,1,1,0.6517999999999999,d,2018-11-11 16:30:00,0,1,0,1,-0.8996470000000001,6.130434782608695,20.9
12,a,1.71044,0.650884,1.71044,0.650884,16,6,2,1,2.2384999999999997,w,2018-11-25 13:30:00,1,0,0,3,1.059556,9.181818181818182,19.733333333333334
