,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.445187,2.0178,0.445187,2.0178,8,8,0,2,0.2781,0,0,1,0,-1.5726129999999998,13.56,10.954545454545455
1,2.903167,3.7357899999999997,2.903167,3.7357899999999997,15,18,2,5,2.1780999999999997,0,0,2,0,-0.8326229999999997,15.848181818181818,10.857272727272727
2,4.6883669999999995,4.91503,4.6883669999999995,4.91503,23,28,5,6,4.002,1,0,2,3,-0.22666299999999984,12.242222222222223,13.145589225589225
3,6.0984169999999995,5.68929,6.0984169999999995,5.68929,38,33,8,8,5.878299999999999,2,0,2,6,0.40912700000000024,10.306666666666667,13.950101010101008
4,7.0030269999999994,6.101411,7.0030269999999994,6.101411,48,36,10,9,7.656899999999999,3,0,2,9,0.9016160000000002,9.664380952380952,14.110080808080806
5,7.933571,7.166640999999999,7.933571,7.166640999999999,63,41,12,9,8.8461,4,0,2,12,0.7669300000000003,8.865478750640042,14.619511784511785
6,9.504180999999999,9.788051,9.504180999999999,9.788051,72,45,14,9,9.5443,5,0,2,15,-0.2838699999999996,8.884696071977178,14.00190957190957
7,10.641240999999999,11.103931,10.641240999999999,11.103931,84,50,19,10,10.7606,6,0,2,18,-0.4626899999999996,9.690775729646697,13.746863183113183
8,13.557611,12.036422,13.557611,12.036422,98,52,22,11,13.418600000000001,7,0,2,21,1.5211890000000006,9.280689537463731,14.25808128354022
9,14.402808,14.417572,14.402808,12.895271,100,58,24,13,13.725100000000001,7,1,2,22,1.5075370000000006,9.099287250384025,14.386818609731652
10,16.026018,15.613152,16.026018,14.090850999999999,109,66,25,14,15.459200000000001,7,2,2,23,1.9351670000000005,9.018291439743052,15.31528964521059
11,16.991861,17.478642,16.991861,15.956340999999998,120,74,26,15,16.111,7,3,2,24,1.0355200000000004,8.777636718315188,15.780682174776375
12,18.702301,18.129526000000002,18.702301,16.607225,136,80,28,16,18.3495,8,3,2,27,2.0950760000000006,8.808727600123111,16.08473226389614
13,21.416511,19.222126000000003,20.655341,16.938658,145,81,32,18,20.8604,9,3,2,30,3.7166830000000006,8.65043224244236,15.615546318779135
14,23.148771,20.558916000000004,22.387601,18.275448,155,85,34,20,22.551,9,4,2,31,4.112153000000001,9.28326056913668,15.087330410347704
15,25.170331,20.867277000000005,24.409161,18.583809000000002,163,87,35,20,25.1905,10,4,2,34,5.8253520000000005,9.052015116898971,14.808165363149248
16,27.027961,22.078907000000005,26.266791,19.795439000000002,170,89,37,23,27.097,10,4,3,34,6.471352,9.039151482571581,14.732163226038002
17,28.493561,23.111277000000005,27.732391,20.827809000000002,179,93,40,24,28.7891,11,4,3,37,6.904582,8.981420844650938,14.669265269035893
18,29.282699,24.496297000000006,28.521529,22.212829000000003,189,101,41,25,29.5291,11,5,3,38,6.308700000000001,9.269480034645387,14.934479377683125
19,30.364559,28.201597000000007,29.603389,24.395789000000004,195,113,42,30,29.621299999999998,11,5,4,38,5.207600000000001,9.275360871622794,14.877041123084684
20,34.797809,29.914717000000007,34.036639,26.108909000000004,216,118,46,31,32.3637,12,5,4,41,7.927730000000001,9.345581782497899,14.765832815636207
21,35.483704,30.584111000000007,34.722534,26.778303000000005,224,125,46,32,33.6746,12,5,5,41,7.944231000000001,9.373055337838904,14.710043212128268
22,37.57782400000001,31.339415000000006,36.816654,27.533607000000003,229,144,48,32,36.0179,13,5,5,44,9.283047000000002,9.383689760490409,14.344932637687908
23,40.27121400000001,31.937308000000005,38.748874,28.131500000000003,250,146,50,33,38.7134,14,5,5,47,10.617374000000002,9.29925030618426,14.951772565663035
24,40.974756000000006,34.96832800000001,39.452416,31.16252,253,168,51,36,38.7745,14,5,6,47,8.289896000000002,9.553280293936892,14.701701663036513
25,42.442266000000004,36.936488000000004,40.919926,33.13068,263,174,53,37,39.740100000000005,15,5,6,50,7.789246000000002,9.568713569344913,14.302685165507135
26,44.79314600000001,37.549655,43.27080599999999,33.743846999999995,282,176,55,37,42.3479,16,5,6,53,9.526959000000002,9.641667197830714,14.206818519165601
27,47.980306000000006,38.435835000000004,46.45796599999999,34.630027,295,183,60,38,45.047000000000004,17,5,6,56,11.827939,9.759226702670093,14.40055996302999
28,51.437436000000005,40.204015000000005,49.15392599999999,35.637037,301,190,61,39,47.603100000000005,17,6,6,57,13.516889,9.73860820680494,14.132231951168528
29,52.96466600000001,42.574315000000006,49.91998499999999,38.007337,310,197,63,39,48.330200000000005,18,6,6,60,11.912648,9.844146663403507,13.931824219462909
30,54.00924600000001,42.61845950000001,50.96456499999999,38.0514815,327,199,65,39,50.687200000000004,19,6,6,63,12.9130835,9.72855707959105,14.016772386296505
31,54.21113100000001,45.312419500000004,51.16644999999999,40.7454415,330,205,65,40,50.771100000000004,19,6,7,63,10.421008500000001,9.77414904585383,13.882175668579578
32,56.47793100000001,46.43836950000001,53.43324999999999,41.8713915,346,212,66,40,53.010000000000005,20,6,7,66,11.561858500000001,9.723417256585533,13.942399594301145
33,58.020381000000015,49.000529500000006,54.97569999999999,44.4335515,359,222,68,43,53.716300000000004,20,6,8,66,10.542148500000001,9.56019654443532,13.917239503931674
34,58.960135000000015,49.9825475,55.91545399999999,45.4155695,367,227,69,46,55.0416,20,6,9,66,10.499884500000002,9.663671448360544,14.059453713593777
35,59.56083200000001,53.6622475,56.51615099999999,49.09526949999999,371,235,69,49,55.1178,20,6,10,66,7.420881500000002,10.00461113035053,13.834468888216172
36,61.922612000000015,55.5680975,58.11676099999999,50.239949499999994,385,243,70,50,56.8057,20,7,10,67,7.876811500000002,9.903135153854569,13.843210127368224
37,64.79537200000001,57.2974875,60.98952099999999,51.9693395,400,253,73,51,58.9713,21,7,10,70,9.020181500000003,10.080325377078491,13.944289085235267
