,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.40827,1.01994,1.40827,1.01994,7,3,0,0,1.6760000000000002,d,2018-08-12 15:30:00,0,1,0,1,0.38832999999999984,7.809523809523809,16.583333333333332
1,h,0.392642,1.9171,0.392642,1.9171,4,9,1,3,0.213,l,2018-08-19 15:30:00,0,0,1,0,-1.524458,7.842105263157895,8.73076923076923
2,a,1.56882,1.92459,1.56882,1.92459,5,10,2,4,1.1357,l,2018-08-25 17:00:00,0,0,1,0,-0.3557699999999999,18.57894736842105,11.714285714285714
3,h,1.09923,2.90359,1.09923,2.14242,2,13,0,2,0.33099999999999996,l,2018-09-02 15:00:00,0,0,1,0,-1.04319,21.0,10.75
4,a,0.208994,3.3916,0.208994,3.3916,3,11,0,1,0.0428,l,2018-09-16 12:30:00,0,0,1,0,-3.182606,17.9375,17.384615384615383
5,h,2.29417,0.976413,2.29417,0.976413,10,10,4,0,2.3859,w,2018-09-22 14:00:00,1,0,0,3,1.3177569999999998,10.3125,17.333333333333332
6,a,0.111527,1.56707,0.111527,1.56707,6,14,2,1,0.2355,w,2018-09-30 15:00:00,1,0,0,3,-1.455543,6.923076923076923,6.176470588235294
7,h,0.353128,1.02549,0.353128,1.02549,1,1,1,1,0.6769,d,2018-10-06 14:00:00,0,1,0,1,-0.672362,14.434782608695652,6.411764705882353
8,a,0.370236,4.48577,0.370236,4.48577,1,18,0,5,0.0207,l,2018-10-20 14:00:00,0,0,1,0,-4.115533999999999,39.0,9.421052631578947
9,h,0.269828,3.01621,0.269828,3.01621,1,8,0,4,0.0808,l,2018-10-28 12:30:00,0,0,1,0,-2.746382,15.93939393939394,13.066666666666666
10,a,0.882514,2.55739,0.882514,2.55739,3,14,2,4,0.3722,l,2018-11-03 15:00:00,0,0,1,0,-1.6748759999999998,12.6,9.6
11,a,0.368393,1.5091,0.368393,1.5091,0,6,0,0,0.4652,d,2018-11-10 15:00:00,0,1,0,1,-1.1407070000000001,12.75,7.882352941176471
12,h,1.49487,1.67701,1.49487,1.67701,10,3,1,2,1.1776,l,2018-11-26 20:00:00,0,0,1,0,-0.18213999999999997,14.578947368421053,11.96774193548387
13,a,0.302477,2.03785,0.302477,2.03785,2,10,0,2,0.2739,l,2018-12-01 15:00:00,0,0,1,0,-1.735373,11.130434782608695,13.692307692307692
14,h,1.05809,2.73897,1.05809,2.73897,7,14,1,3,0.20450000000000002,l,2018-12-05 19:45:00,0,0,1,0,-1.6808800000000002,22.25,9.666666666666666
15,h,1.81251,0.951507,1.81251,0.951507,8,3,1,0,2.0648,w,2018-12-08 15:00:00,1,0,0,3,0.8610030000000001,14.75,9.375
16,a,0.451196,1.74625,0.451196,1.74625,4,11,0,1,0.3987,l,2018-12-15 15:00:00,0,0,1,0,-1.2950540000000001,18.166666666666668,7.071428571428571
17,a,1.03237,1.4656,1.03237,1.4656,4,9,1,3,1.0021,l,2018-12-22 12:30:00,0,0,1,0,-0.43323,13.6,8.0
18,h,1.88646,1.8875,1.88646,1.12637,3,6,1,5,1.3697000000000001,l,2018-12-26 15:00:00,0,0,1,0,0.7600899999999999,10.043478260869565,12.625
19,h,2.89884,0.656044,2.89884,0.656044,9,3,2,0,2.7371,w,2018-12-30 14:15:00,1,0,0,3,2.242796,7.4375,10.866666666666667
20,a,2.66309,0.621818,2.66309,0.621818,7,1,2,1,2.684,w,2019-01-02 19:45:00,1,0,0,3,2.041272,6.913043478260869,19.0
21,h,0.809801,0.903255,0.809801,0.903255,3,2,2,1,1.2384,w,2019-01-12 15:00:00,1,0,0,3,-0.09345400000000004,13.28,10.631578947368421
22,a,1.97256,1.06981,1.97256,1.06981,8,7,0,0,2.0621,d,2019-01-19 15:00:00,0,1,0,1,0.9027500000000002,12.5,6.714285714285714
23,a,0.934603,3.23417,0.934603,2.473,2,16,2,2,0.1874,d,2019-01-29 20:00:00,0,1,0,1,-1.5383969999999998,17.95,7.357142857142857
24,h,2.00175,0.787747,1.24058,0.787747,9,4,1,1,2.302,d,2019-02-02 15:00:00,0,1,0,1,0.45283300000000004,9.75,7.785714285714286
25,a,1.83041,1.31614,1.06928,1.31614,4,9,3,1,1.798,w,2019-02-09 17:30:00,1,0,0,3,-0.24686000000000008,35.0,9.636363636363637
26,h,1.08514,0.845211,1.08514,0.845211,4,4,2,1,1.5812000000000002,w,2019-02-23 12:30:00,1,0,0,3,0.23992899999999995,11.130434782608695,4.235294117647059
27,a,1.74201,1.70312,1.74201,1.70312,7,4,0,2,1.4191,l,2019-02-26 20:00:00,0,0,1,0,0.03889000000000009,11.947368421052632,11.352941176470589
28,h,1.90872,0.706284,1.90872,0.706284,12,5,1,3,2.2789999999999995,l,2019-03-02 15:00:00,0,0,1,0,1.202436,7.238095238095238,14.714285714285714
29,a,0.471571,4.12341,0.471571,4.12341,3,15,2,4,0.0033,l,2019-03-10 12:00:00,0,0,1,0,-3.651839,14.909090909090908,8.571428571428571
30,h,1.17008,0.608954,1.17008,0.608954,13,4,1,2,1.8518999999999999,l,2019-03-16 15:00:00,0,0,1,0,0.561126,7.352941176470588,20.0
31,h,0.572695,0.397928,0.572695,0.397928,2,4,2,0,1.4914999999999998,w,2019-03-30 15:00:00,1,0,0,3,0.17476699999999995,12.869565217391305,10.642857142857142
32,a,1.38919,1.20888,1.38919,1.20888,4,9,3,1,1.5211,w,2019-04-06 15:00:00,1,0,0,3,0.18030999999999997,11.238095238095237,9.571428571428571
