,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.50693,2.60022,1.50693,1.83905,5,12,0,2,0.5473,l,2018-08-11 17:00:00,0,0,1,0,-0.33211999999999997,15.823529411764707,5.631578947368421
1,h,1.15521,1.55405,1.15521,0.79288,3,3,0,0,1.0033,d,2018-08-18 14:30:00,0,1,0,1,0.36233000000000004,5.033333333333333,6.294117647058823
2,a,1.06351,0.203453,1.06351,0.203453,5,1,0,0,2.1796999999999995,d,2018-08-25 17:00:00,0,1,0,1,0.860057,8.478260869565217,8.833333333333334
3,h,0.77426,1.41005,0.77426,1.41005,5,15,2,3,0.8539000000000001,l,2018-09-02 12:30:00,0,0,1,0,-0.6357900000000001,16.363636363636363,4.5
4,a,0.8276,2.67145,0.8276,1.91028,3,13,1,4,0.26249999999999996,l,2018-09-15 14:00:00,0,0,1,0,-1.0826799999999999,18.363636363636363,4.0
5,h,0.0980726,3.08415,0.0980726,3.08415,2,18,0,5,0.0439,l,2018-09-22 14:00:00,0,0,1,0,-2.9860774,67.5,7.642857142857143
6,h,1.56707,0.111527,1.56707,0.111527,14,6,1,2,2.5845000000000002,l,2018-09-30 15:00:00,0,0,1,0,1.455543,6.176470588235294,6.923076923076923
7,a,1.13843,2.6517,1.13843,2.6517,2,17,0,1,0.4323,l,2018-10-06 14:00:00,0,0,1,0,-1.51327,17.85,9.0
8,h,1.7562,0.947712,1.7562,0.947712,4,6,4,2,1.9465000000000001,w,2018-10-20 14:00:00,1,0,0,3,0.808488,10.4,4.217391304347826
9,a,0.643117,2.30176,0.643117,2.30176,1,16,1,4,0.2206,l,2018-10-27 14:00:00,0,0,1,0,-1.6586429999999996,82.66666666666667,6.75
10,h,0.922262,2.18288,0.922262,2.18288,7,6,0,1,0.42869999999999997,l,2018-11-03 15:00:00,0,0,1,0,-1.260618,10.5,6.571428571428571
11,h,1.94297,0.767044,1.94297,0.767044,4,3,2,1,2.3666,w,2018-11-10 12:30:00,1,0,0,3,1.175926,8.2,8.44
12,a,0.879108,2.48066,0.879108,2.48066,1,5,0,1,0.3292,l,2018-11-24 15:00:00,0,0,1,0,-1.6015519999999999,20.142857142857142,4.5
13,h,1.09264,0.987623,1.09264,0.987623,5,7,2,1,1.441,w,2018-11-30 20:00:00,1,0,0,3,0.10501700000000003,9.11111111111111,5.681818181818182
14,a,1.93448,1.57488,1.17331,1.57488,2,10,1,3,1.7280000000000002,l,2018-12-04 19:45:00,0,0,1,0,-0.40157,10.28,6.2
15,h,1.55832,0.501128,1.55832,0.501128,7,1,1,0,2.2220999999999997,w,2018-12-08 15:00:00,1,0,0,3,1.057192,15.333333333333334,3.8636363636363638
16,a,0.485768,1.64998,0.485768,1.64998,2,11,2,3,0.4924,l,2018-12-15 15:00:00,0,0,1,0,-1.164212,23.8,5.625
17,h,1.27173,2.72523,0.510566,1.96406,1,10,1,5,0.4344,l,2018-12-22 17:30:00,0,0,1,0,-1.453494,20.27777777777778,4.142857142857143
18,a,1.05926,2.43202,1.05926,2.43202,5,18,0,0,0.5512,d,2018-12-26 15:00:00,0,1,0,1,-1.37276,11.7,8.916666666666666
19,a,0.493212,1.51648,0.493212,0.755309,3,9,1,0,0.481,w,2018-12-29 15:00:00,1,0,0,3,-0.262097,9.074074074074074,7.538461538461538
20,h,1.0789,1.38282,1.0789,1.38282,4,4,0,3,1.0897000000000001,l,2019-01-01 17:30:00,0,0,1,0,-0.30391999999999997,33.05263157894737,12.545454545454545
21,h,0.124558,0.39468,0.124558,0.39468,0,7,0,0,0.8543000000000001,d,2019-01-12 15:00:00,0,1,0,1,-0.270122,7.0,5.0
22,a,0.255727,2.518,0.255727,2.518,9,7,0,3,0.0906,l,2019-01-19 15:00:00,0,0,1,0,-2.262273,9.4,5.391304347826087
23,a,0.597893,2.69339,0.597893,1.93222,2,21,1,2,0.2055,l,2019-01-29 19:45:00,0,0,1,0,-1.334327,28.90909090909091,7.357142857142857
24,h,2.53093,0.35199,1.76977,0.35199,5,9,2,0,2.8069,w,2019-02-02 17:30:00,1,0,0,3,1.41778,14.454545454545455,4.611111111111111
25,a,0.980673,1.70666,0.980673,1.70666,3,6,2,1,0.6412,w,2019-02-09 15:00:00,1,0,0,3,-0.725987,15.941176470588236,3.7037037037037037
26,h,1.90045,2.75798,1.90045,2.75798,5,8,1,5,0.7326,l,2019-02-22 19:45:00,0,0,1,0,-0.8575299999999999,15.5,5.625
27,h,0.219359,1.14212,0.219359,1.14212,5,5,0,3,0.4783,l,2019-02-26 19:45:00,0,0,1,0,-0.922761,8.34375,4.888888888888889
28,a,0.702261,3.2075,0.702261,3.2075,3,7,0,2,0.1236,l,2019-03-02 15:00:00,0,0,1,0,-2.505239,9.827586206896552,8.866666666666667
29,h,3.49275,0.295869,3.49275,0.295869,4,6,2,0,2.9735,w,2019-03-09 15:00:00,1,0,0,3,3.196881,16.263157894736842,4.166666666666667
30,h,0.446122,2.07834,0.446122,2.07834,3,10,1,2,0.29369999999999996,l,2019-03-31 13:05:00,0,0,1,0,-1.632218,12.6,3.44
31,a,0.135788,3.53913,0.135788,3.53913,2,17,0,2,0.0205,l,2019-04-03 19:45:00,0,0,1,0,-3.4033420000000003,48.714285714285715,5.1875
32,a,0.872224,2.84358,0.872224,2.84358,3,5,0,2,0.2132,l,2019-04-13 15:00:00,0,0,1,0,-1.971356,8.538461538461538,8.285714285714286
33,a,0.819472,0.588539,0.819472,0.588539,1,11,2,0,1.5575,w,2019-04-16 19:45:00,1,0,0,3,0.23093299999999994,10.517241379310345,5.666666666666667
34,h,1.1187,2.42404,1.1187,1.66287,0,13,0,2,0.47419999999999995,l,2019-04-21 16:00:00,0,0,1,0,-0.54417,29.416666666666668,3.65
35,a,1.11322,0.519072,1.11322,0.519072,3,6,0,1,1.8937,l,2019-04-27 15:00:00,0,0,1,0,0.5941480000000001,15.428571428571429,3.875
36,h,1.4996,1.80991,1.4996,1.80991,8,15,2,3,1.1833,l,2019-05-04 16:30:00,0,0,1,0,-0.31030999999999986,6.944444444444445,7.5
37,a,1.71095,1.89555,0.949785,1.89555,2,13,2,0,1.2677999999999998,w,2019-05-12 14:00:00,1,0,0,3,-0.9457650000000001,23.666666666666668,3.6956521739130435
