,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.974497,2.58097,0.974497,2.58097,8,3,1,2,0.3879,l,2018-08-11 14:30:00,0,0,1,0,-1.6064730000000003,17.45,5.6571428571428575
1,a,1.55405,1.15521,0.79288,1.15521,3,3,0,0,1.7041,d,2018-08-18 14:30:00,0,1,0,1,-0.36233000000000004,6.294117647058823,5.033333333333333
2,h,0.209337,1.49669,0.209337,0.735524,3,13,1,2,0.26239999999999997,l,2018-08-26 18:00:00,0,0,1,0,-0.526187,24.142857142857142,4.444444444444445
3,a,0.554763,2.46904,0.554763,2.46904,2,9,1,2,0.23270000000000002,l,2018-09-01 16:30:00,0,0,1,0,-1.9142770000000002,30.46153846153846,8.818181818181818
4,h,0.412121,0.90461,0.412121,0.90461,3,10,1,2,0.8492,l,2018-09-15 14:00:00,0,0,1,0,-0.492489,14.75,7.095238095238095
5,a,0.229309,0.930793,0.229309,0.930793,1,9,0,0,0.6326,d,2018-09-22 14:00:00,0,1,0,1,-0.701484,9.344827586206897,7.35
6,h,0.397301,1.34341,0.397301,0.582246,3,3,0,2,0.4535,l,2018-09-29 14:00:00,0,0,1,0,-0.18494500000000003,11.666666666666666,9.095238095238095
7,a,1.55962,2.40631,1.55962,2.40631,5,12,2,3,0.8258000000000001,l,2018-10-06 16:30:00,0,0,1,0,-0.8466899999999999,13.44,5.0
8,h,1.71169,0.675798,1.71169,0.675798,6,6,0,1,2.1504,l,2018-10-20 14:00:00,0,0,1,0,1.035892,4.2272727272727275,10.652173913043478
9,a,0.297646,1.19216,0.297646,1.19216,3,7,0,0,0.5441,d,2018-10-27 14:00:00,0,1,0,1,-0.894514,8.363636363636363,13.4375
10,h,0.691575,2.5452,0.691575,2.5452,1,18,1,0,0.2791,w,2018-11-03 15:00:00,1,0,0,3,-1.8536249999999999,11.0,10.6
11,h,2.57545,1.91687,2.57545,1.91687,4,5,2,1,1.8605999999999998,w,2018-11-10 15:00:00,1,0,0,3,0.6585799999999999,15.210526315789474,6.2727272727272725
12,a,1.67701,1.49487,1.67701,1.49487,3,10,2,1,1.5262,w,2018-11-26 20:00:00,1,0,0,3,0.18213999999999997,11.96774193548387,14.578947368421053
13,h,1.12583,2.62697,1.12583,2.62697,9,3,0,3,0.4187,l,2018-12-01 15:00:00,0,0,1,0,-1.50114,9.578947368421053,17.625
14,a,1.52214,2.10943,1.52214,2.10943,4,5,1,1,0.9296,d,2018-12-05 19:45:00,0,1,0,1,-0.5872900000000001,12.296296296296296,6.375
15,h,0.4601,1.57799,0.4601,1.57799,5,3,1,2,0.4476,l,2018-12-09 16:00:00,0,0,1,0,-1.11789,18.0,17.6
16,a,0.931041,0.671382,0.931041,0.671382,3,7,1,0,1.6237,w,2018-12-15 15:00:00,1,0,0,3,0.259659,18.75,4.208333333333333
17,h,0.289508,0.245408,0.289508,0.245408,7,5,0,0,1.2314,d,2018-12-22 15:00:00,0,1,0,1,0.0441,8.875,17.625
18,a,0.456309,3.24988,0.456309,2.48871,0,19,0,4,0.0654,l,2018-12-26 15:00:00,0,0,1,0,-2.032401,24.77777777777778,4.6
19,a,0.661713,1.05566,0.661713,1.05566,3,11,1,1,0.9965999999999999,d,2018-12-29 15:00:00,0,1,0,1,-0.39394700000000005,12.807692307692308,6.818181818181818
20,h,0.691878,2.6754,0.691878,2.6754,6,10,0,2,0.2389,l,2019-01-02 20:00:00,0,0,1,0,-1.9835219999999998,17.958333333333332,10.705882352941176
21,a,0.395148,1.32355,0.395148,1.32355,5,7,1,2,0.5518000000000001,l,2019-01-12 17:30:00,0,0,1,0,-0.928402,15.0,8.863636363636363
22,h,2.518,0.255727,2.518,0.255727,7,9,3,0,2.8497,w,2019-01-19 15:00:00,1,0,0,3,2.262273,5.391304347826087,9.4
23,h,0.992326,1.33896,0.231157,1.33896,2,11,2,1,1.0762999999999998,w,2019-01-29 20:00:00,1,0,0,3,-1.1078029999999999,21.263157894736842,4.458333333333333
24,a,0.400152,3.10409,0.400152,3.10409,0,12,0,1,0.0821,l,2019-02-02 12:30:00,0,0,1,0,-2.703938,23.571428571428573,8.705882352941176
25,a,0.435263,2.30998,0.435263,2.30998,3,6,1,1,0.20690000000000003,d,2019-02-11 20:00:00,0,1,0,1,-1.874717,15.0,9.869565217391305
26,h,3.03313,0.133934,3.03313,0.133934,14,2,2,0,2.902,w,2019-02-23 15:00:00,1,0,0,3,2.899196,12.391304347826088,39.75
27,h,1.70312,1.74201,1.70312,1.74201,4,7,2,0,1.2970000000000002,w,2019-02-26 20:00:00,1,0,0,3,-0.03889000000000009,11.352941176470589,11.947368421052632
28,a,1.18549,1.88895,1.18549,1.12778,12,5,0,2,0.8321000000000001,l,2019-03-02 17:30:00,0,0,1,0,0.05770999999999993,11.518518518518519,11.631578947368421
29,h,2.37896,1.15114,1.61779,1.15114,7,10,3,2,2.2845999999999997,w,2019-03-09 15:00:00,1,0,0,3,0.46665,9.782608695652174,6.555555555555555
30,a,1.02847,1.61666,1.02847,0.855492,8,4,2,2,0.8091,d,2019-03-16 15:00:00,0,1,0,1,0.17297799999999997,10.7,13.375
31,a,0.0441445,1.04458,0.0441445,1.04458,2,17,0,2,0.34130000000000005,l,2019-04-01 20:00:00,0,0,1,0,-1.0004355,16.565217391304348,6.260869565217392
32,h,0.943175,0.907988,0.943175,0.146819,9,4,0,1,1.2487,l,2019-04-06 15:00:00,0,0,1,0,0.796356,8.4,14.0625
33,a,0.945804,0.877377,0.945804,0.877377,4,5,1,0,1.4051,w,2019-04-12 20:00:00,1,0,0,3,0.06842700000000002,20.181818181818183,7.3
34,h,1.23033,1.27102,1.23033,1.27102,3,8,3,1,1.3429,w,2019-04-20 17:30:00,1,0,0,3,-0.040690000000000115,11.421052631578947,5.071428571428571
35,a,0.43797,1.20482,0.43797,1.20482,5,6,1,1,0.6135,d,2019-04-27 17:30:00,0,1,0,1,-0.76685,15.294117647058824,23.0
36,h,1.29707,1.48081,1.29707,1.48081,4,9,2,3,1.2226,l,2019-05-04 18:45:00,0,0,1,0,-0.18374000000000001,21.7,13.545454545454545
37,a,1.95921,0.569845,1.95921,0.569845,7,12,4,0,2.4969,w,2019-05-12 14:00:00,1,0,0,3,1.3893649999999997,28.529411764705884,13.333333333333334
