,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.01994,1.40827,1.01994,1.40827,3,7,0,0,1.0448,d,2018-08-12 15:30:00,0,1,0,1,-0.38832999999999984,16.583333333333332,7.809523809523809
1,a,1.77471,2.02004,1.77471,2.02004,7,4,1,2,1.1668,l,2018-08-18 17:00:00,0,0,1,0,-0.24532999999999983,9.818181818181818,5.074074074074074
2,h,0.542494,0.517935,0.542494,0.517935,7,2,1,2,1.2761,l,2018-08-25 17:00:00,0,0,1,0,0.024558999999999997,7.774193548387097,13.294117647058824
3,a,3.13612,2.35193,2.37495,2.35193,3,5,2,0,1.9004,w,2018-09-01 14:00:00,1,0,0,3,0.023020000000000262,10.08695652173913,11.944444444444445
4,h,2.19521,1.97094,1.43404,1.20977,6,7,2,2,1.5480999999999998,d,2018-09-17 19:00:00,0,1,0,1,0.22426999999999997,9.346153846153847,16.0
5,a,0.310467,1.77893,0.310467,1.77893,5,13,0,3,0.1813,l,2018-09-22 14:00:00,0,0,1,0,-1.4684629999999999,24.36842105263158,17.4
6,a,0.679627,1.42507,0.679627,1.42507,9,5,0,2,0.7495,l,2018-09-29 14:00:00,0,0,1,0,-0.7454430000000001,12.238095238095237,10.52
7,h,1.487,3.54699,1.487,3.54699,5,15,0,3,0.30720000000000003,l,2018-10-07 13:15:00,0,0,1,0,-2.05999,14.130434782608695,11.352941176470589
8,a,0.589633,0.840403,0.589633,0.840403,4,4,0,0,1.0273,d,2018-10-20 14:00:00,0,1,0,1,-0.25077000000000005,9.962962962962964,14.0
9,h,1.19216,0.297646,1.19216,0.297646,7,3,0,0,2.1475999999999997,d,2018-10-27 14:00:00,0,1,0,1,0.894514,13.4375,8.363636363636363
10,a,1.81466,2.76272,1.05349,2.76272,4,35,1,6,0.7802,l,2018-11-04 15:00:00,0,0,1,0,-1.7092299999999998,29.785714285714285,8.95
11,h,1.20211,1.07573,1.20211,1.07573,5,11,1,1,1.4607,d,2018-11-10 15:00:00,0,1,0,1,0.12637999999999994,8.08,6.9
12,a,1.67163,1.3875,1.67163,1.3875,8,8,2,3,1.5831,l,2018-11-24 15:00:00,0,0,1,0,0.28413,8.045454545454545,19.11764705882353
13,h,0.623954,0.904803,0.623954,0.904803,6,5,2,2,1.0606,d,2018-12-01 17:30:00,0,1,0,1,-0.280849,12.137931034482758,7.947368421052632
14,a,1.82434,1.73642,1.82434,1.73642,7,5,1,3,1.4253,l,2018-12-05 20:00:00,0,0,1,0,0.08792,15.95,17.214285714285715
15,a,0.501128,1.55832,0.501128,1.55832,1,7,0,1,0.5469,l,2018-12-08 15:00:00,0,0,1,0,-1.057192,3.8636363636363638,15.333333333333334
