,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.42372,0.45504,1.42372,0.45504,8,2,2,0,2.1888,w,2018-08-11 17:00:00,1,0,0,3,0.9686800000000001,8.703703703703704,14.25
1,a,1.9171,0.392642,1.9171,0.392642,9,4,3,1,2.6639999999999997,w,2018-08-19 15:30:00,1,0,0,3,1.524458,8.73076923076923,7.842105263157895
2,h,1.14596,1.21905,1.14596,1.21905,7,5,2,1,1.277,w,2018-08-26 15:30:00,1,0,0,3,-0.07308999999999988,9.590909090909092,6.6
3,h,0.454309,0.582521,0.454309,0.582521,3,5,2,1,1.1059,w,2018-09-02 15:00:00,1,0,0,3,-0.12821199999999994,11.24,5.083333333333333
4,h,1.17523,1.64902,1.17523,1.64902,7,6,1,2,0.9274,l,2018-09-15 16:30:00,0,0,1,0,-0.47378999999999993,12.772727272727273,10.055555555555555
5,a,1.76133,1.77245,1.76133,1.77245,5,4,1,1,1.3558,d,2018-09-22 11:30:00,0,1,0,1,-0.011120000000000019,12.08,8.294117647058824
6,a,2.62141,1.57061,2.62141,1.57061,4,9,0,2,2.1028000000000002,l,2018-09-29 14:00:00,0,0,1,0,1.0508,10.296296296296296,9.0
7,h,1.06613,3.28471,1.06613,2.52354,6,5,0,4,0.15660000000000002,l,2018-10-06 14:00:00,0,0,1,0,-1.45741,11.476190476190476,15.307692307692308
8,a,1.0684,0.47391,1.0684,0.47391,4,8,2,0,1.915,w,2018-10-20 14:00:00,1,0,0,3,0.59449,13.647058823529411,10.2
9,h,2.29622,0.479655,2.29622,0.479655,6,6,3,0,2.6483,w,2018-10-27 14:00:00,1,0,0,3,1.816565,11.8,8.066666666666666
10,a,2.5452,0.691575,2.5452,0.691575,18,1,0,1,2.5927000000000002,l,2018-11-03 15:00:00,0,0,1,0,1.8536249999999999,10.6,11.0
11,a,1.07573,1.20211,1.07573,1.20211,11,5,1,1,1.2396,d,2018-11-10 15:00:00,0,1,0,1,-0.12637999999999994,6.9,8.08
12,h,0.673382,1.45314,0.673382,1.45314,3,7,0,3,0.6271,l,2018-11-24 15:00:00,0,0,1,0,-0.7797580000000001,15.041666666666666,6.576923076923077
13,a,1.19923,1.41758,1.19923,0.65641,9,1,0,2,1.1107,l,2018-12-01 15:00:00,0,0,1,0,0.54282,6.523809523809524,17.1875
14,h,1.672,2.51933,1.672,2.51933,7,14,1,2,0.7946,l,2018-12-04 20:00:00,0,0,1,0,-0.8473300000000001,39.5,6.9523809523809526
15,a,1.63043,1.72686,1.63043,0.965692,5,9,2,2,1.2819,d,2018-12-10 20:00:00,0,1,0,1,0.664738,7.357142857142857,7.15
16,h,1.64998,0.485768,1.64998,0.485768,11,2,3,2,2.2879,w,2018-12-15 15:00:00,1,0,0,3,1.164212,5.625,23.8
17,a,2.32983,2.06507,1.56866,2.06507,9,6,2,0,1.5681,w,2018-12-22 15:00:00,1,0,0,3,-0.49641,8.043478260869565,6.791666666666667
18,h,1.24414,2.1956,1.24414,1.43443,7,8,1,2,0.6467,l,2018-12-26 19:30:00,0,0,1,0,-0.19029000000000007,14.884615384615385,13.4
19,h,1.05566,0.661713,1.05566,0.661713,11,3,1,1,1.6473,d,2018-12-29 15:00:00,0,1,0,1,0.39394700000000005,6.818181818181818,12.807692307692308
20,a,0.977046,2.84828,0.977046,2.84828,9,9,3,3,0.3075,d,2019-01-02 19:45:00,0,1,0,1,-1.8712339999999998,17.666666666666668,11.294117647058824
21,a,1.56262,1.1617,1.56262,1.1617,4,8,2,1,1.6824,w,2019-01-12 15:00:00,1,0,0,3,0.40091999999999994,9.842105263157896,8.2
22,h,1.06981,1.97256,1.06981,1.97256,7,8,0,0,0.7061,d,2019-01-19 15:00:00,0,1,0,1,-0.9027500000000002,6.714285714285714,12.5
23,a,0.479838,1.36248,0.479838,1.36248,3,11,1,2,0.5383,l,2019-01-30 20:00:00,0,0,1,0,-0.8826419999999999,16.61111111111111,7.470588235294118
24,a,0.279297,1.83528,0.279297,1.83528,4,8,0,0,0.28880000000000006,d,2019-02-02 15:00:00,0,1,0,1,-1.555983,9.8,5.588235294117647
25,h,1.53311,0.641094,1.53311,0.641094,7,3,1,0,2.2198,w,2019-02-09 15:00:00,1,0,0,3,0.8920159999999999,6.27027027027027,5.681818181818182
26,a,2.75798,1.90045,2.75798,1.90045,8,5,5,1,2.0349,w,2019-02-22 19:45:00,1,0,0,3,0.8575299999999999,5.625,15.5
27,a,0.630423,2.74266,0.630423,2.74266,3,11,0,5,0.19920000000000002,l,2019-02-27 20:00:00,0,0,1,0,-2.112237,25.0,11.65
28,h,1.36515,0.794683,1.36515,0.794683,4,2,2,1,1.9040999999999997,w,2019-03-03 12:00:00,1,0,0,3,0.5704670000000001,12.4,13.0
29,a,0.407168,3.75714,0.407168,3.75714,4,22,1,3,0.0196,l,2019-03-09 17:30:00,0,0,1,0,-3.349972,38.625,8.238095238095237
30,a,1.35208,1.98052,1.35208,1.98052,19,12,1,2,0.7918999999999999,l,2019-03-30 15:00:00,0,0,1,0,-0.6284400000000001,11.705882352941176,10.705882352941176
31,h,1.59338,1.90917,1.59338,1.90917,4,6,4,1,1.1355,w,2019-04-02 19:45:00,1,0,0,3,-0.31579,12.357142857142858,12.5
32,h,1.12595,2.2668,1.12595,2.2668,7,16,0,1,0.5532,l,2019-04-15 20:00:00,0,0,1,0,-1.14085,15.869565217391305,8.1
33,a,1.08462,1.09072,1.08462,1.09072,8,3,2,1,1.3157,w,2019-04-20 15:00:00,1,0,0,3,-0.006099999999999994,11.0,13.454545454545455
34,h,1.27253,2.11999,1.27253,2.11999,11,2,1,1,0.7554000000000001,d,2019-04-23 19:45:00,0,1,0,1,-0.8474600000000001,6.958333333333333,10.0625
35,h,0.896093,2.44357,0.896093,2.44357,3,7,1,2,0.3127,l,2019-04-27 15:00:00,0,0,1,0,-1.5474769999999998,11.529411764705882,13.434782608695652
36,a,1.2712,2.96478,1.2712,2.96478,13,15,0,3,0.43879999999999997,l,2019-05-05 13:00:00,0,0,1,0,-1.69358,12.571428571428571,7.56
37,h,2.06986,3.20094,2.06986,2.43977,7,6,1,4,0.6594,l,2019-05-12 14:00:00,0,0,1,0,-0.3699100000000004,12.727272727272727,10.347826086956522
