,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.891038,0.715382,0.891038,0.715382,4,2,2,2,1.4521,d,2018-08-11 19:30:00,0,1,0,1,0.17565600000000003,25.333333333333332,15.6
1,a,1.09349,0.222843,1.09349,0.222843,6,4,0,2,2.2447,l,2018-08-18 17:00:00,0,0,1,0,0.8706470000000001,7.129032258064516,15.38888888888889
2,h,1.26376,1.84293,1.26376,1.84293,2,10,1,1,0.9238,d,2018-08-25 14:30:00,0,1,0,1,-0.57917,22.875,6.833333333333333
3,a,1.22301,0.888887,1.22301,0.888887,4,7,1,0,1.6671,w,2018-09-01 14:00:00,1,0,0,3,0.33412299999999995,10.346153846153847,14.333333333333334
4,h,3.3916,0.208994,3.3916,0.208994,11,3,1,0,2.9261,w,2018-09-16 12:30:00,1,0,0,3,3.182606,17.384615384615383,17.9375
5,a,1.1185,0.62283,1.1185,0.62283,7,12,1,1,1.8389,d,2018-09-22 14:00:00,0,1,0,1,0.49567000000000005,17.863636363636363,16.583333333333332
6,h,1.42507,0.679627,1.42507,0.679627,5,9,2,0,1.9777,w,2018-09-29 14:00:00,1,0,0,3,0.7454430000000001,10.52,12.238095238095237
7,a,0.755654,1.03714,0.755654,1.03714,4,6,1,0,1.0147,w,2018-10-06 14:00:00,1,0,0,3,-0.2814859999999999,18.38095238095238,5.92
8,h,0.47391,1.0684,0.47391,1.0684,8,4,0,2,0.7612,l,2018-10-20 14:00:00,0,0,1,0,-0.59449,10.2,13.647058823529411
9,a,1.38027,1.01337,1.38027,1.01337,4,6,0,1,1.6218000000000001,l,2018-10-27 14:00:00,0,0,1,0,0.3669,5.527777777777778,15.8125
10,h,2.40643,1.63123,0.884092,1.63123,4,4,2,3,1.9914,l,2018-11-03 19:45:00,0,0,1,0,-0.747138,10.2,14.222222222222221
