,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,l,2019-08-10 17:30:00,0,0,1,0,-1.933021,13.421052631578947,5.25
1,h,1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,l,2019-08-17 15:00:00,0,0,1,0,0.784085,13.0,10.72
2,h,0.855926,1.25668,0.855926,1.25668,6,12,2,0,0.9697,w,2019-08-23 20:00:00,1,0,0,3,-0.40075400000000005,13.25,5.407407407407407
3,a,0.30354,1.41394,0.30354,1.41394,5,13,0,1,0.4799,l,2019-08-31 15:00:00,0,0,1,0,-1.1104,9.04,9.0
4,h,1.40502,0.535279,1.40502,0.535279,4,9,0,0,2.1614999999999998,d,2019-09-16 19:00:00,0,1,0,1,0.869741,9.681818181818182,10.090909090909092
5,a,1.71546,2.53209,1.71546,1.77093,8,12,2,3,0.8444,l,2019-09-22 15:30:00,0,0,1,0,-0.05546999999999991,11.0,9.1
6,h,0.914266,1.66919,0.914266,1.66919,3,2,2,2,0.7663,d,2019-09-28 14:00:00,0,1,0,1,-0.7549239999999999,6.05,9.045454545454545
7,a,3.67827,1.84838,2.76412,1.84838,9,13,5,1,2.472,w,2019-10-05 15:00:00,1,0,0,3,0.9157400000000002,8.8,6.041666666666667
8,h,2.96692,1.32184,2.96692,1.32184,7,10,2,1,2.4098,w,2019-10-19 15:00:00,1,0,0,3,1.64508,15.055555555555555,9.523809523809524
9,a,0.980145,3.19004,0.980145,3.19004,3,18,0,3,0.2449,l,2019-10-26 12:30:00,0,0,1,0,-2.2098950000000004,26.7,8.083333333333334
10,h,0.741615,2.38824,0.741615,2.38824,2,16,1,2,0.3756,l,2019-11-02 15:00:00,0,0,1,0,-1.6466250000000002,20.928571428571427,4.4
11,a,0.473225,2.09891,0.473225,2.09891,0,8,1,2,0.31610000000000005,l,2019-11-10 14:00:00,0,0,1,0,-1.625685,6.3,6.59375
12,h,2.6985,0.69784,2.6985,0.69784,14,3,2,0,2.6628,w,2019-11-25 20:00:00,1,0,0,3,2.00066,7.333333333333333,17.6
13,a,1.29701,1.84804,1.29701,1.84804,3,13,2,2,0.9371999999999999,d,2019-12-01 16:30:00,0,1,0,1,-0.5510299999999999,12.0,6.6521739130434785
14,a,0.86086,1.9774,0.86086,1.9774,2,14,1,2,0.6134,l,2019-12-04 19:30:00,0,0,1,0,-1.11654,13.892857142857142,6.961538461538462
15,h,1.24141,4.03286,1.24141,4.03286,12,17,1,4,0.1341,l,2019-12-08 14:00:00,0,0,1,0,-2.79145,8.666666666666666,4.296296296296297
16,a,0.97258,1.888,0.211411,1.888,1,13,0,2,0.591,l,2019-12-14 15:00:00,0,0,1,0,-1.6765889999999999,10.85,8.0
17,h,0.921054,2.63444,0.921054,2.63444,6,5,1,3,0.3435,l,2019-12-21 15:00:00,0,0,1,0,-1.713386,10.4375,12.0
18,h,0.654194,1.45005,0.654194,1.45005,4,3,1,0,0.7351000000000001,w,2019-12-26 15:00:00,1,0,0,3,-0.795856,11.521739130434783,9.222222222222221
19,a,0.610997,3.25314,0.610997,2.49197,6,8,0,3,0.1056,l,2019-12-28 15:00:00,0,0,1,0,-1.8809729999999998,16.0,8.76
20,a,1.74824,2.34418,1.74824,2.34418,5,9,2,1,0.9398,w,2020-01-01 12:30:00,1,0,0,3,-0.5959400000000001,26.5,7.944444444444445
21,h,1.12565,3.75131,0.364481,3.75131,1,20,1,6,0.1611,l,2020-01-12 16:30:00,0,0,1,0,-3.386829,34.3125,7.633333333333334
22,a,1.02045,1.30028,1.02045,1.30028,4,7,1,1,1.0922,d,2020-01-18 15:00:00,0,1,0,1,-0.27983,10.777777777777779,7.241379310344827
23,h,1.06739,1.81101,1.06739,1.81101,6,1,2,1,0.7277,w,2020-01-21 19:30:00,1,0,0,3,-0.74362,6.173913043478261,9.272727272727273
24,a,1.40955,2.72236,1.40955,2.72236,7,8,1,2,0.5550999999999999,l,2020-02-01 15:00:00,0,0,1,0,-1.31281,7.642857142857143,10.0
25,h,1.71313,3.86024,1.71313,2.95505,8,9,2,3,0.3377,l,2020-02-16 14:00:00,0,0,1,0,-1.24192,9.476190476190476,8.724137931034482
26,a,0.47235,3.02926,0.47235,3.02926,4,7,0,2,0.1382,l,2020-02-22 15:00:00,0,0,1,0,-2.55691,5.92,7.483870967741935
27,a,0.672448,2.41239,0.672448,1.65122,2,8,0,4,0.2673,l,2020-03-09 20:00:00,0,0,1,0,-0.9787719999999999,13.217391304347826,5.379310344827586
28,h,1.00877,0.235909,1.00877,0.235909,5,2,0,0,2.0802,d,2020-06-17 17:00:00,0,1,0,1,0.7728609999999999,16.214285714285715,7.925925925925926
29,h,1.57223,1.14011,1.57223,1.14011,0,10,1,2,1.7817,l,2020-06-21 15:15:00,0,0,1,0,0.43212000000000006,22.4,6.125
30,a,1.22985,0.661808,1.22985,0.661808,8,3,1,1,1.8679999999999999,d,2020-06-24 17:00:00,0,1,0,1,0.5680420000000002,9.91304347826087,9.470588235294118
31,h,0.403418,0.703549,0.403418,0.703549,3,5,0,1,0.9678,l,2020-06-27 11:30:00,0,0,1,0,-0.300131,8.73913043478261,16.785714285714285
32,a,0.689775,1.0837,0.689775,1.0837,4,11,0,2,0.9176,l,2020-07-05 15:30:00,0,0,1,0,-0.3939250000000001,20.823529411764707,3.7241379310344827
33,h,0.598873,2.86531,0.598873,2.10415,2,13,0,3,0.15410000000000001,l,2020-07-09 19:15:00,0,0,1,0,-1.5052770000000002,21.235294117647058,8.0
34,h,1.6977,0.974181,1.6977,0.974181,4,3,2,0,1.9465999999999999,w,2020-07-12 13:15:00,1,0,0,3,0.723519,8.923076923076923,7.45
35,a,1.52021,0.944434,1.52021,0.944434,6,6,1,1,1.8509,d,2020-07-16 17:00:00,0,1,0,1,0.5757760000000001,12.863636363636363,7.36
36,h,0.57408,0.737137,0.57408,0.737137,4,6,1,0,1.1377,w,2020-07-21 19:15:00,1,0,0,3,-0.163057,18.63157894736842,6.285714285714286
37,a,0.983594,0.781465,0.983594,0.781465,4,2,1,1,1.4911,d,2020-07-26 15:00:00,0,1,0,1,0.202129,10.636363636363637,7.222222222222222
