,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,0,0,1,0,-1.933021,13.421052631578947,5.25
1,2.290289,4.2003900000000005,2.290289,3.439225,14,24,2,5,1.6492,0,0,2,0,-1.148936,13.210526315789473,7.985
2,3.1462149999999998,5.457070000000001,3.1462149999999998,4.695905,20,36,4,5,2.6189,1,0,2,3,-1.54969,13.223684210526315,7.125802469135802
3,3.4497549999999997,6.871010000000001,3.4497549999999997,6.109845,25,49,4,6,3.0987999999999998,1,0,3,3,-2.6600900000000003,12.177763157894736,7.594351851851852
4,4.854775,7.406289000000001,4.854775,6.645124,29,58,4,6,5.260299999999999,1,1,3,4,-1.7903490000000004,11.678574162679425,8.0936632996633
5,6.570235,9.938379000000001,6.570235,8.416053999999999,37,70,6,9,6.104699999999999,1,1,4,4,-1.8458190000000003,11.56547846889952,8.26138608305275
6,7.484501,11.607569000000002,7.484501,10.085244,40,72,8,11,6.8709999999999996,1,2,4,5,-2.6007430000000005,10.777552973342447,8.373395863395864
7,11.162771,13.455949000000002,10.248621,11.933624,49,85,13,12,9.343,2,2,4,8,-1.6850030000000003,10.53035885167464,8.081929713804714
8,14.129691,14.777789000000002,13.215541,13.255464,56,95,15,13,11.7528,3,2,4,11,-0.03992300000000015,11.033158485439186,8.242138581583026
9,15.109836,17.967829000000002,14.195686,16.445504,59,113,15,16,11.9977,3,2,5,11,-2.2498180000000003,12.599842636895268,8.226258056758056
10,15.851450999999999,20.356069,14.937301,18.833744,61,129,16,18,12.3733,3,2,6,11,-3.8964430000000005,13.356999799774918,7.878416415234597
11,16.324676,22.454979,15.410525999999999,20.932654,61,137,17,20,12.689400000000001,3,2,7,11,-5.522128,12.76891648312701,7.771360880631714
12,19.023176,23.152819,18.109026,21.630494,75,140,19,20,15.3522,4,2,7,14,-3.5214680000000005,12.350794702373651,8.527410043660042
13,20.320186,25.000859000000002,19.406036,23.478534,78,153,21,22,16.2894,4,3,7,15,-4.072498,12.32573793791839,8.39346460575886
14,21.181046,26.978259,20.266896,25.455934,80,167,22,24,16.9028,4,3,8,15,-5.189038,12.430212551580974,8.298002862810835
15,22.422455999999997,31.011119,21.508305999999997,29.488794,92,184,23,28,17.0369,4,3,9,15,-7.980488,12.194990933773829,8.047896202403676
16,23.395035999999998,32.899119,21.719716999999996,31.376793999999997,93,197,23,30,17.6279,4,3,10,15,-9.657077000000001,12.115873820022427,8.045078778732872
17,24.31609,35.533559,22.640770999999997,34.011233999999995,99,202,24,33,17.9714,4,3,11,15,-11.370463,12.02263083002118,8.264796624358823
18,24.970284,36.983608999999994,23.294964999999998,35.46128399999999,103,205,25,33,18.7065,5,3,11,18,-12.166319000000001,11.996268108990318,8.315187445299003
19,25.581281,40.236748999999996,23.905962,37.953253999999994,109,213,25,36,18.812099999999997,5,3,12,18,-14.047292,12.196454703540802,8.33742807303405
20,27.329521,42.580929,25.654201999999998,40.297433999999996,114,222,27,37,19.7519,6,3,12,21,-14.643232000000001,12.877575908134098,8.318714566910737
21,28.455171,46.332239,26.018683,44.048744,115,242,28,43,19.913,6,3,13,21,-18.030061,13.851890639582548,8.287560874475401
22,29.475621,47.632519,27.039133,45.349024,119,249,29,44,21.005200000000002,6,4,13,22,-18.309891,13.718233558634514,8.242074719513202
23,30.543011,49.443529000000005,28.106523,47.160034,125,250,31,45,21.7329,7,4,13,25,-19.053511,13.403886870503003,8.285018575897121
24,31.952561,52.16588900000001,29.516073,49.882394000000005,132,258,32,47,22.288,7,4,14,25,-20.366321,13.17344568139717,8.353617832861238
25,33.665691,56.026129000000005,31.229203,52.837444000000005,140,267,34,50,22.625700000000002,7,4,15,25,-21.608241,13.03124355811999,8.3678686058679
26,34.138041,59.055389000000005,31.701552999999997,55.866704000000006,144,274,34,52,22.763900000000003,7,4,16,25,-24.165150999999998,12.767864167078509,8.335127952603974
27,34.810489000000004,61.46777900000001,32.374001,57.51792400000001,146,282,34,56,23.031200000000002,7,4,17,25,-25.143922999999997,12.78391870769527,8.229563038040533
28,35.819259,61.70368800000001,33.382771,57.75383300000001,151,284,34,56,25.111400000000003,7,5,17,26,-24.371062,12.902207225163906,8.219092792795202
29,37.391489,62.84379800000001,34.955000999999996,58.89394300000001,151,294,35,58,26.893100000000004,7,5,18,26,-23.938941999999997,13.218800317658442,8.149289699702027
30,38.621339,63.50560600000001,36.184850999999995,59.55575100000001,159,297,36,59,28.761100000000003,7,6,18,27,-23.3709,13.112163000258521,8.191912233108225
