,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.34099,1.59864,1.34099,1.59864,4,6,1,1,1.0171999999999999,d,2019-08-10 15:00:00,0,1,0,1,-0.25765000000000016,13.6,9.133333333333333
1,a,1.62777,1.65069,0.866605,1.65069,9,12,2,1,1.3578,w,2019-08-17 15:00:00,1,0,0,3,-0.784085,10.72,13.0
2,h,1.89345,3.12856,1.89345,3.12856,3,17,1,3,0.6611,l,2019-08-25 14:00:00,0,0,1,0,-1.2351099999999997,22.9,5.173913043478261
3,a,0.554726,2.23766,0.554726,2.23766,7,10,1,3,0.2616,l,2019-08-31 15:00:00,0,0,1,0,-1.682934,10.0,6.914285714285715
4,h,1.41542,1.50641,1.41542,1.50641,3,9,3,1,1.2948,w,2019-09-15 13:00:00,1,0,0,3,-0.09099000000000013,12.090909090909092,5.516129032258065
5,a,1.29773,2.18021,1.29773,1.41904,2,6,3,1,0.7326999999999999,w,2019-09-20 19:00:00,1,0,0,3,-0.12131000000000003,17.9375,4.085714285714285
6,h,2.31957,1.29546,2.31957,1.29546,8,17,2,2,2.0753,d,2019-09-28 14:00:00,0,1,0,1,1.02411,11.25,13.1
7,a,0.683967,1.24109,0.683967,1.24109,7,10,0,1,0.8124,l,2019-10-06 14:00:00,0,0,1,0,-0.557123,10.217391304347826,7.0285714285714285
8,h,0.675554,0.402873,0.675554,0.402873,7,5,0,0,1.5813000000000001,d,2019-10-19 15:00:00,0,1,0,1,0.272681,12.7,11.833333333333334
9,a,0.899526,0.674903,0.899526,0.674903,3,5,0,0,1.4985,d,2019-10-26 15:00:00,0,1,0,1,0.22462300000000002,9.368421052631579,13.153846153846153
10,h,1.86862,0.641129,1.86862,0.641129,3,4,1,0,2.382,w,2019-11-02 12:30:00,1,0,0,3,1.227491,8.25925925925926,8.5
11,a,1.9213,2.3306,1.9213,2.3306,10,5,1,2,1.0846,l,2019-11-09 15:00:00,0,0,1,0,-0.4093,7.823529411764706,18.88235294117647
12,h,0.849789,1.2765,0.849789,1.2765,3,7,1,2,0.9449000000000001,l,2019-11-23 15:00:00,0,0,1,0,-0.42671099999999995,14.043478260869565,13.7
13,a,1.02949,2.93189,1.02949,2.93189,6,9,2,3,0.3314,l,2019-11-30 15:00:00,0,0,1,0,-1.9024,8.5625,8.88888888888889
14,a,0.342799,0.383763,0.342799,0.383763,10,6,0,1,1.186,l,2019-12-03 19:30:00,0,0,1,0,-0.040964,5.619047619047619,20.333333333333332
15,h,0.154608,3.04446,0.154608,3.04446,2,19,0,3,0.0506,l,2019-12-07 15:00:00,0,0,1,0,-2.889852,43.916666666666664,9.352941176470589
16,a,1.20777,2.02119,1.20777,2.02119,3,6,1,0,0.8432,w,2019-12-14 15:00:00,1,0,0,3,-0.8134199999999998,17.210526315789473,4.533333333333333
17,h,0.138532,0.144318,0.138532,0.144318,6,0,0,1,1.1115,l,2019-12-21 15:00:00,0,0,1,0,-0.005786000000000013,5.555555555555555,8.392857142857142
18,h,1.55463,1.42464,1.55463,1.42464,9,13,1,1,1.4987000000000001,d,2019-12-26 15:00:00,0,1,0,1,0.12999000000000005,23.8,7.653846153846154
19,a,0.500726,1.05876,0.500726,1.05876,5,11,0,2,0.8031999999999999,l,2019-12-28 12:30:00,0,0,1,0,-0.5580339999999999,17.125,9.375
20,a,0.720709,2.32825,0.720709,1.56708,4,8,0,4,0.27480000000000004,l,2020-01-01 17:30:00,0,0,1,0,-0.846371,15.933333333333334,22.526315789473685
21,h,0.320447,2.29827,0.320447,2.29827,5,7,0,3,0.1713,l,2020-01-12 14:00:00,0,0,1,0,-1.977823,13.066666666666666,11.44
22,a,0.558298,1.76046,0.558298,0.999292,4,6,0,1,0.4197,l,2020-01-18 15:00:00,0,0,1,0,-0.440994,13.75,9.764705882352942
23,h,1.92315,1.97227,1.92315,1.97227,6,4,3,1,1.3207,w,2020-01-21 19:30:00,1,0,0,3,-0.04912000000000005,11.129032258064516,6.428571428571429
24,h,2.72236,1.40955,2.72236,1.40955,8,7,2,1,2.2741,w,2020-02-01 15:00:00,1,0,0,3,1.31281,10.0,7.642857142857143
