,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.855516,0.670022,0.855516,0.670022,5,7,3,0,1.5457999999999998,w,2019-08-10 15:00:00,1,0,0,3,0.18549400000000005,11.5,9.785714285714286
1,h,2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,d,2019-08-17 15:00:00,0,1,0,1,1.39605,5.485714285714286,8.870967741935484
2,h,0.997711,2.07795,0.997711,2.07795,6,6,0,2,0.5691,l,2019-08-24 15:00:00,0,0,1,0,-1.080239,9.173913043478262,10.75
3,a,0.861035,2.30818,0.861035,2.30818,7,16,0,4,0.43790000000000007,l,2019-08-31 15:00:00,0,0,1,0,-1.4471450000000001,21.625,11.4375
4,h,1.68545,0.341654,1.68545,0.341654,13,4,1,1,2.4816,d,2019-09-14 14:00:00,0,1,0,1,1.3437959999999998,3.9642857142857144,12.1
5,a,1.21592,1.09807,1.21592,1.09807,6,4,0,0,1.4292,d,2019-09-21 16:30:00,0,1,0,1,0.11784999999999979,6.095238095238095,22.9
6,a,0.616263,4.26443,0.616263,3.50326,0,9,0,2,0.0414,l,2019-09-28 14:00:00,0,0,1,0,-2.886997,12.76923076923077,14.541666666666666
7,h,2.60017,0.478504,2.60017,0.478504,12,4,3,0,2.8252,w,2019-10-05 12:30:00,1,0,0,3,2.121666,8.135135135135135,15.235294117647058
8,a,1.32184,2.96692,1.32184,2.96692,10,7,1,2,0.44210000000000005,l,2019-10-19 15:00:00,0,0,1,0,-1.64508,9.523809523809524,15.055555555555555
9,h,1.15279,1.04723,0.391623,1.04723,4,7,3,2,1.4703,w,2019-10-26 15:00:00,1,0,0,3,-0.655607,8.464285714285714,11.678571428571429
10,h,2.65496,0.455082,2.65496,0.455082,15,5,2,0,2.7289,w,2019-11-02 15:00:00,1,0,0,3,2.199878,6.967741935483871,15.210526315789474
11,a,1.1342,3.65299,1.1342,3.65299,2,9,1,3,0.1845,l,2019-11-10 14:00:00,0,0,1,0,-2.51879,5.314285714285714,11.961538461538462
12,h,0.784706,3.50917,0.784706,2.748,8,9,0,2,0.1059,l,2019-11-23 15:00:00,0,0,1,0,-1.9632940000000003,16.466666666666665,27.0
13,a,0.867601,1.36832,0.867601,1.36832,3,11,1,2,0.9274,l,2019-11-30 15:00:00,0,0,1,0,-0.500719,15.055555555555555,14.916666666666666
14,a,1.53446,0.965377,1.53446,0.965377,4,6,2,1,1.7993999999999999,w,2019-12-05 20:15:00,1,0,0,3,0.5690829999999999,8.392857142857142,13.9375
15,h,0.951621,1.87208,0.951621,1.87208,6,11,2,2,0.6745,d,2019-12-08 16:30:00,0,1,0,1,-0.9204589999999999,5.866666666666666,23.133333333333333
16,a,2.48355,0.484859,2.48355,0.484859,11,5,1,1,2.7738,d,2019-12-16 19:45:00,0,1,0,1,1.9986910000000002,5.25,19.3125
17,h,0.428371,1.65933,0.428371,1.65933,9,1,0,1,0.3871,l,2019-12-21 15:00:00,0,0,1,0,-1.230959,8.533333333333333,20.22222222222222
18,a,1.09007,1.02645,1.09007,1.02645,2,7,1,2,1.4180000000000001,l,2019-12-26 12:30:00,0,0,1,0,0.06362000000000001,9.692307692307692,10.125
19,h,1.05876,0.500726,1.05876,0.500726,11,5,2,0,1.8676000000000001,w,2019-12-28 12:30:00,1,0,0,3,0.5580339999999999,9.375,17.125
20,h,1.56978,1.57497,1.56978,1.57497,10,7,1,1,1.3708,d,2020-01-01 12:30:00,0,1,0,1,-0.005190000000000028,12.148148148148149,8.53125
21,a,1.53324,2.02533,1.53324,2.02533,6,10,0,1,1.0255,l,2020-01-11 15:00:00,0,0,1,0,-0.4920899999999999,17.4375,8.689655172413794
22,h,1.30028,1.02045,1.30028,1.02045,7,4,1,1,1.6034,d,2020-01-18 15:00:00,0,1,0,1,0.27983,7.241379310344827,10.777777777777779
23,a,1.97227,1.92315,1.97227,1.92315,4,6,1,3,1.4041000000000001,l,2020-01-21 19:30:00,0,0,1,0,0.04912000000000005,6.428571428571429,11.129032258064516
24,a,2.03179,1.30774,2.03179,1.30774,9,5,3,3,1.8862,d,2020-02-01 15:00:00,0,1,0,1,0.7240500000000001,6.333333333333333,17.333333333333332
25,h,0.76201,0.280048,0.76201,0.280048,7,3,1,1,1.8077,d,2020-02-08 17:30:00,0,1,0,1,0.48196199999999995,7.15,15.363636363636363
26,a,1.06035,1.6597,1.06035,1.6597,2,7,1,1,0.8819000000000001,d,2020-02-22 15:00:00,0,1,0,1,-0.59935,15.666666666666666,7.333333333333333
27,h,1.78712,2.17159,1.78712,2.17159,8,5,0,1,1.115,l,2020-02-29 12:30:00,0,0,1,0,-0.3844700000000001,6.173913043478261,17.055555555555557
28,a,0.308874,0.898221,0.308874,0.898221,4,2,0,0,0.7249,d,2020-03-07 15:00:00,0,1,0,1,-0.5893470000000001,9.535714285714286,20.0
29,h,0.670973,0.69627,0.670973,0.69627,7,4,2,1,1.32,w,2020-06-20 14:00:00,1,0,0,3,-0.025296999999999903,17.166666666666668,9.5625
30,a,1.10227,0.505486,0.341106,0.505486,1,8,0,0,2.0124,d,2020-06-23 17:00:00,0,1,0,1,-0.16437999999999997,14.91304347826087,7.5
31,h,0.31013,1.20903,0.31013,1.20903,1,9,0,3,0.5319,l,2020-06-30 19:15:00,0,0,1,0,-0.8989,18.789473684210527,15.214285714285714
32,a,0.903046,0.545069,0.903046,0.545069,8,9,1,0,1.726,w,2020-07-04 11:30:00,1,0,0,3,0.357977,19.555555555555557,15.9375
33,h,2.3646,2.61624,2.3646,2.61624,5,15,1,3,1.272,l,2020-07-08 19:15:00,0,0,1,0,-0.2516400000000001,20.916666666666668,8.653846153846153
34,h,0.149588,5.51767,0.149588,5.51767,5,14,0,5,0.0003,l,2020-07-11 19:00:00,0,0,1,0,-5.368082,27.055555555555557,9.6
