,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.09534,2.37442,1.09534,1.61326,4,8,0,4,0.4992,l,2019-08-11 16:30:00,0,0,1,0,-0.5179199999999999,6.4523809523809526,9.064516129032258
1,h,1.22629,0.947941,1.22629,0.947941,4,5,1,1,1.6180999999999999,d,2019-08-18 16:30:00,0,1,0,1,0.27834900000000007,10.576923076923077,6.297297297297297
2,a,1.89428,1.07904,1.89428,1.07904,12,5,3,2,1.9533,w,2019-08-24 12:30:00,1,0,0,3,0.81524,13.727272727272727,10.0
3,h,2.30579,1.04649,2.30579,1.04649,4,5,2,2,2.2781000000000002,d,2019-08-31 15:00:00,0,1,0,1,1.2593,14.882352941176471,20.916666666666668
4,a,3.06799,1.49359,3.06799,1.49359,6,5,5,2,2.4323,w,2019-09-14 14:00:00,1,0,0,3,1.5744,7.1,13.107142857142858
5,h,1.23321,1.03003,1.23321,1.03003,5,5,1,2,1.5191,l,2019-09-22 15:30:00,0,0,1,0,0.20317999999999992,11.625,7.914285714285715
6,h,4.26443,0.616263,3.50326,0.616263,9,0,2,0,2.9360999999999997,w,2019-09-28 14:00:00,1,0,0,3,2.886997,14.541666666666666,12.76923076923077
7,a,2.15201,1.27044,2.15201,1.27044,10,5,4,1,2.0187,w,2019-10-06 14:00:00,1,0,0,3,0.8815700000000002,11.105263157894736,10.884615384615385
8,h,2.30068,0.197082,2.30068,0.197082,12,1,1,0,2.7739999999999996,w,2019-10-19 15:00:00,1,0,0,3,2.103598,4.6521739130434785,23.5
9,a,0.988321,2.23494,0.988321,2.23494,6,8,4,2,0.495,w,2019-10-26 17:30:00,1,0,0,3,-1.246619,10.473684210526315,15.96
10,a,2.18313,1.4744,2.18313,0.713228,8,6,2,1,1.8825000000000003,w,2019-11-02 17:30:00,1,0,0,3,1.4699019999999998,11.263157894736842,20.2
11,h,3.28903,0.479488,3.28903,0.479488,11,3,2,0,2.875,w,2019-11-09 12:30:00,1,0,0,3,2.809542,7.75,13.91304347826087
12,a,0.820474,1.23596,0.820474,1.23596,6,14,1,2,0.9977,l,2019-11-23 17:30:00,0,0,1,0,-0.4154859999999999,18.63157894736842,16.333333333333332
13,h,2.73185,1.12034,2.73185,1.12034,6,3,0,1,2.451,l,2019-11-30 15:00:00,0,0,1,0,1.6115100000000002,11.357142857142858,11.205882352941176
14,h,1.9774,0.86086,1.9774,0.86086,14,2,2,1,2.1673999999999998,w,2019-12-04 19:30:00,1,0,0,3,1.11654,6.961538461538462,13.892857142857142
15,a,1.25734,2.03892,1.25734,2.03892,17,5,1,3,0.8073,l,2019-12-07 12:30:00,0,0,1,0,-0.7815800000000002,4.611111111111111,8.974358974358974
16,h,2.02119,1.20777,2.02119,1.20777,6,3,0,1,1.9274,l,2019-12-14 15:00:00,0,0,1,0,0.8134199999999998,4.533333333333333,17.210526315789473
17,a,1.49374,0.276667,0.732575,0.276667,8,7,2,0,2.4938000000000002,w,2019-12-22 16:30:00,1,0,0,3,0.455908,10.4,12.782608695652174
18,h,0.859973,0.981321,0.859973,0.981321,10,2,0,2,1.1896,l,2019-12-26 15:00:00,0,0,1,0,-0.12134800000000001,5.111111111111111,12.535714285714286
19,a,1.49666,0.785214,1.49666,0.785214,8,7,2,1,1.9679999999999997,w,2019-12-29 14:00:00,1,0,0,3,0.7114460000000001,6.894736842105263,14.043478260869565
20,a,1.57497,1.56978,1.57497,1.56978,7,10,1,1,1.3333,d,2020-01-01 12:30:00,0,1,0,1,0.005190000000000028,8.53125,12.148148148148149
21,h,2.87633,0.717407,2.11516,0.717407,10,1,3,0,2.7319,w,2020-01-11 15:00:00,1,0,0,3,1.3977529999999998,9.588235294117647,28.818181818181817
