,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.87159,1.2246,0.87159,1.2246,5,5,0,0,1.0512,d,2019-08-10 15:00:00,0,1,0,1,-0.35300999999999993,11.307692307692308,4.074074074074074
1,a,0.241912,1.84778,0.241912,1.84778,5,2,0,1,0.22060000000000002,l,2019-08-18 14:00:00,0,0,1,0,-1.605868,11.6,11.12
2,a,0.676993,2.23561,0.676993,1.47444,2,7,2,1,0.35029999999999994,w,2019-08-24 15:00:00,1,0,0,3,-0.797447,15.277777777777779,6.857142857142857
3,h,1.41394,0.30354,1.41394,0.30354,13,5,1,0,2.2757,w,2019-08-31 15:00:00,1,0,0,3,1.1104,9.0,9.04
4,a,0.577323,1.04944,0.577323,1.04944,5,8,0,4,0.8706999999999999,l,2019-09-14 14:00:00,0,0,1,0,-0.4721169999999999,17.083333333333332,6.545454545454546
5,h,0.984777,1.75572,0.984777,1.75572,6,5,1,1,0.7636000000000001,d,2019-09-22 13:00:00,0,1,0,1,-0.7709429999999999,13.947368421052632,12.523809523809524
6,h,1.80497,0.712129,1.0438,0.712129,11,10,2,0,2.2533,w,2019-09-28 14:00:00,1,0,0,3,0.33167100000000005,12.782608695652174,9.11111111111111
7,a,2.0682,1.23577,1.30703,1.23577,7,7,2,1,2.1092,w,2019-10-05 17:30:00,1,0,0,3,0.07125999999999988,20.071428571428573,14.789473684210526
8,h,0.616864,4.02104,0.616864,4.02104,5,21,0,2,0.0503,l,2019-10-19 17:30:00,0,0,1,0,-3.404176,18.57894736842105,6.7368421052631575
9,a,1.77892,1.54014,1.01775,1.54014,1,8,2,2,1.6021,d,2019-10-27 16:30:00,0,1,0,1,-0.5223900000000001,26.3,7.666666666666667
10,h,0.44291,0.981167,0.44291,0.981167,5,5,0,2,0.8167,l,2019-11-03 14:00:00,0,0,1,0,-0.538257,17.8,6.413793103448276
11,a,0.479488,3.28903,0.479488,3.28903,3,11,0,2,0.0769,l,2019-11-09 12:30:00,0,0,1,0,-2.809542,13.91304347826087,7.75
12,h,1.02306,1.64291,1.02306,1.64291,8,11,1,2,0.8560000000000001,l,2019-11-23 15:00:00,0,0,1,0,-0.61985,21.923076923076923,10.11111111111111
13,a,0.936732,1.8509,0.936732,1.8509,6,5,2,0,0.6598,w,2019-11-30 15:00:00,1,0,0,3,-0.914168,7.291666666666667,8.375
14,h,0.383763,0.342799,0.383763,0.342799,6,10,1,0,1.2658,w,2019-12-03 19:30:00,1,0,0,3,0.040964,20.333333333333332,5.619047619047619
15,a,0.210746,1.57132,0.210746,1.57132,2,7,0,0,0.2552,d,2019-12-07 15:00:00,0,1,0,1,-1.3605740000000002,9.05,10.5
16,h,0.484859,2.48355,0.484859,2.48355,5,11,1,1,0.1452,d,2019-12-16 19:45:00,0,1,0,1,-1.9986910000000002,19.3125,5.25
17,a,0.985368,0.714368,0.985368,0.714368,14,6,0,1,1.524,l,2019-12-21 15:00:00,0,0,1,0,0.271,8.652173913043478,12.5
18,h,2.14195,0.796338,2.14195,0.796338,12,8,2,1,2.3714999999999997,w,2019-12-26 15:00:00,1,0,0,3,1.345612,9.941176470588236,9.909090909090908
