,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,3.18377,1.2003,2.42264,1.2003,9,1,5,0,2.6311999999999998,w,2019-08-10 12:30:00,1,0,0,3,1.22234,6.935483870967742,16.4
1,h,3.20076,0.074542,3.20076,0.074542,10,2,2,2,2.9323,d,2019-08-17 17:30:00,0,1,0,1,3.1262179999999997,8.976744186046512,47.142857142857146
2,a,3.12856,1.89345,3.12856,1.89345,17,3,3,1,2.1653000000000002,w,2019-08-25 14:00:00,1,0,0,3,1.2351099999999997,5.173913043478261,22.9
3,h,2.30818,0.861035,2.30818,0.861035,16,7,4,0,2.3849,w,2019-08-31 15:00:00,1,0,0,3,1.4471450000000001,11.4375,21.625
4,a,2.34436,1.7413,2.34436,1.7413,14,6,2,3,1.7614999999999998,l,2019-09-14 16:30:00,0,0,1,0,0.6030599999999999,7.958333333333333,18.428571428571427
5,h,6.63049,0.344718,5.86932,0.344718,13,1,8,0,2.9992,w,2019-09-21 14:00:00,1,0,0,3,5.524602,11.333333333333334,35.833333333333336
6,a,3.1082,2.35854,3.1082,2.35854,13,6,3,1,1.8485999999999998,w,2019-09-28 16:30:00,1,0,0,3,0.74966,9.714285714285714,32.666666666666664
7,h,1.61884,1.18825,1.61884,1.18825,13,1,0,2,1.6896,l,2019-10-06 14:00:00,0,0,1,0,0.43059000000000003,4.115384615384615,19.6875
8,a,4.02104,0.616864,4.02104,0.616864,21,5,2,0,2.9204,w,2019-10-19 17:30:00,1,0,0,3,3.404176,6.7368421052631575,18.57894736842105
9,h,3.19004,0.980145,3.19004,0.980145,18,3,3,0,2.6551,w,2019-10-26 12:30:00,1,0,0,3,2.2098950000000004,8.083333333333334,26.7
10,h,3.36132,0.893889,3.36132,0.893889,31,2,2,1,2.8097,w,2019-11-02 15:00:00,1,0,0,3,2.467431,3.1923076923076925,17.75
11,a,1.48104,1.3319,1.48104,1.3319,9,6,1,3,1.4857,l,2019-11-10 16:30:00,0,0,1,0,0.14913999999999983,12.047619047619047,20.46153846153846
12,h,1.23596,0.820474,1.23596,0.820474,14,6,2,1,1.6982,w,2019-11-23 17:30:00,1,0,0,3,0.4154859999999999,16.333333333333332,18.63157894736842
13,a,2.44389,0.208252,2.44389,0.208252,12,2,2,2,2.7869,d,2019-11-30 12:30:00,0,1,0,1,2.2356380000000002,4.115384615384615,38.55555555555556
14,a,2.56057,0.486548,2.56057,0.486548,13,3,4,1,2.7468000000000004,w,2019-12-03 20:15:00,1,0,0,3,2.074022,11.2,25.9375
15,h,2.07108,1.63385,2.07108,0.872683,23,8,1,2,1.6560000000000001,l,2019-12-07 17:30:00,0,0,1,0,1.198397,3.742857142857143,20.846153846153847
16,a,1.69553,0.28161,1.69553,0.28161,6,1,3,0,2.5225999999999997,w,2019-12-15 16:30:00,1,0,0,3,1.41392,8.513513513513514,18.130434782608695
17,h,3.59139,1.01388,2.83026,1.01388,17,0,3,1,2.781,w,2019-12-21 17:30:00,1,0,0,3,1.81638,8.625,32.916666666666664
18,a,1.52044,2.39405,0.614563,2.39405,1,4,2,3,0.6904,l,2019-12-27 19:45:00,0,0,1,0,-1.779487,18.8,13.058823529411764
19,h,1.08628,1.23346,1.08628,1.23346,9,2,2,0,1.2135,w,2019-12-29 18:00:00,1,0,0,3,-0.1471800000000001,10.923076923076923,34.57142857142857
20,h,1.79757,0.848942,1.79757,0.848942,9,2,2,1,2.085,w,2020-01-01 17:30:00,1,0,0,3,0.9486279999999999,10.28,22.52173913043478
21,a,3.75131,1.12565,3.75131,0.364481,20,1,6,1,2.7585,w,2020-01-12 16:30:00,1,0,0,3,3.386829,7.633333333333334,34.3125
22,h,2.47314,0.586716,2.47314,0.586716,23,2,2,2,2.6209,d,2020-01-18 15:00:00,0,1,0,1,1.8864239999999999,4.923076923076923,29.5
23,a,2.873,0.774943,2.11183,0.774943,11,6,1,0,2.7454,w,2020-01-21 19:30:00,1,0,0,3,1.336887,8.833333333333334,23.0
24,a,3.25139,0.420293,2.49022,0.420293,21,6,0,2,2.9067,l,2020-02-02 16:30:00,0,0,1,0,2.069927,7.32,21.41176470588235
25,h,2.13777,0.0895892,2.13777,0.0895892,13,1,2,0,2.7859000000000003,w,2020-02-19 19:30:00,1,0,0,3,2.0481808000000004,10.23076923076923,25.823529411764707
26,a,2.42749,0.723269,1.66632,0.723269,12,3,1,0,2.5724,w,2020-02-22 17:30:00,1,0,0,3,0.943051,6.066666666666666,23.125
27,a,0.585469,1.7389,0.585469,1.7389,2,3,0,2,0.3539,l,2020-03-08 16:30:00,0,0,1,0,-1.1534309999999999,6.041666666666667,14.709677419354838
28,h,2.73725,0.496759,1.97608,0.496759,13,1,3,0,2.7793000000000005,w,2020-06-17 19:15:00,1,0,0,3,1.479321,9.48,26.533333333333335
29,h,2.71096,0.0303408,1.94979,0.0303408,13,0,5,0,2.9503,w,2020-06-22 19:00:00,1,0,0,3,1.9194491999999999,12.5,45.81818181818182
30,a,0.690594,4.206,0.690594,3.44483,10,7,1,2,0.034100000000000005,l,2020-06-25 19:15:00,0,0,1,0,-2.754236,22.727272727272727,30.076923076923077
31,h,2.65433,0.819606,1.89316,0.819606,7,11,4,0,2.5677,w,2020-07-02 19:15:00,1,0,0,3,1.0735540000000001,31.181818181818183,15.5
32,a,3.39575,0.628765,3.39575,0.628765,23,2,0,1,2.8278,l,2020-07-05 18:00:00,0,0,1,0,2.766985,6.809523809523809,15.214285714285714
33,h,3.28662,0.21643,3.28662,0.21643,23,1,5,0,2.9088000000000003,w,2020-07-08 17:00:00,1,0,0,3,3.07019,6.384615384615385,33.333333333333336
34,a,5.51767,0.149588,5.51767,0.149588,14,5,5,0,2.9994000000000005,w,2020-07-11 19:00:00,1,0,0,3,5.368082,9.6,27.055555555555557
35,h,0.82755,1.66635,0.82755,1.66635,8,11,2,1,0.7079,w,2020-07-15 17:00:00,1,0,0,3,-0.8388,4.9,27.8125
36,a,3.73814,0.131868,2.82226,0.131868,9,2,4,0,2.9856,w,2020-07-21 17:00:00,1,0,0,3,2.690392,4.481481481481482,21.0
37,h,3.56749,0.786563,3.56749,0.786563,37,2,5,0,2.7879,w,2020-07-26 15:00:00,1,0,0,3,2.7809269999999997,6.6,31.0
