,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,1,0,0,3,0.5179199999999999,9.064516129032258,6.4523809523809526
1,3.51774,1.402696,1.9954079999999998,1.402696,17,9,5,1,4.625,1,1,0,4,0.5927119999999999,8.714076246334312,13.201190476190476
2,5.753349999999999,2.079689,3.469848,2.079689,24,11,6,3,7.113099999999999,1,1,1,4,1.390159,8.09509844993716,13.893386243386244
3,7.656909999999999,2.849305,5.3734079999999995,2.849305,37,17,7,4,9.3151,1,2,1,5,2.524103,9.464180980310013,12.086706349206349
4,8.7571,3.308446,5.712425,3.308446,41,21,8,4,11.380799999999999,2,2,1,8,2.403979,9.515344784248011,10.623650793650793
5,10.035359999999999,3.822206,6.990684999999999,3.822206,46,25,8,6,13.4789,2,2,2,8,3.168479,10.793090350509706,11.344270398217766
6,11.168859999999999,5.526196,8.124184999999999,5.526196,51,32,9,7,14.398499999999999,2,3,2,9,2.597989,10.097781146997736,11.170088912758086
7,12.138063999999998,6.176492,9.093388999999998,6.176492,56,33,9,8,16.022199999999998,2,3,3,9,2.916897,9.687831230895746,13.330645980481506
8,12.929925999999998,7.208612,9.885250999999998,7.208612,57,40,10,9,17.1207,2,4,3,10,2.676639,12.111405538573997,12.4241757374395
9,17.442245999999997,8.101011999999999,12.875231,8.101011999999999,63,46,13,10,20.0522,3,4,3,13,4.774219,11.850264984716597,12.047142779080165
10,18.083374999999997,9.969631999999999,13.516359999999999,9.969631999999999,67,49,13,11,20.482699999999998,3,4,4,13,3.5467280000000003,11.545695440651452,11.702789731823719
11,21.736364999999996,11.103831999999999,17.169349999999998,11.103831999999999,76,51,16,12,23.2154,4,4,4,16,6.065518000000001,11.580349025725369,11.170414397028885
12,23.067014999999994,12.664081999999999,18.499999999999996,12.664081999999999,82,54,19,15,24.350199999999997,4,5,4,17,5.835918000000001,11.353520558159449,11.117603364006811
13,24.915054999999995,13.961091999999999,20.348039999999997,13.961091999999999,95,57,21,17,26.133699999999997,4,6,4,18,6.386948000000001,11.017710083508307,11.180631695149183
14,26.391884999999995,14.503407,21.063738999999998,14.503407,96,59,23,18,28.355299999999996,5,6,4,21,6.560332000000001,10.774424148116527,11.000688347571334
15,28.025734999999994,16.574486999999998,21.936421999999997,16.574486999999998,104,82,25,19,29.452099999999994,6,6,4,24,5.361935000000001,11.403907254243858,10.547073897276697
16,29.509004999999995,16.851245999999996,23.419691999999998,16.851245999999996,108,84,26,20,31.827799999999996,6,7,4,25,6.568446000000001,11.257153351587803,10.588422491554539
17,31.039904999999994,18.444155999999996,24.950591999999997,17.682985999999996,116,92,26,22,33.128299999999996,6,7,5,25,7.267606000000001,10.932681869092184,10.493232353134841
18,33.03628499999999,19.494335999999997,26.946971999999995,18.733165999999997,122,96,30,23,35.201899999999995,7,7,5,28,8.213806000000002,10.647725903272516,12.070143568998557
19,35.141704999999995,19.880997999999998,29.052391999999994,19.119828,131,99,32,23,37.88629999999999,8,7,5,31,9.932564000000001,10.532006274775558,12.14163639054863
20,35.857268,21.788467999999998,29.767954999999994,21.027298,136,107,32,25,38.34039999999999,8,7,6,31,8.740657,10.565785943135998,12.209425962013189
