,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.59864,1.34099,1.59864,1.34099,6,4,1,1,1.5905,d,2019-08-10 15:00:00,0,1,0,1,0.25765000000000016,9.133333333333333,13.6
1,h,1.84778,0.241912,1.84778,0.241912,2,5,1,0,2.6386,w,2019-08-18 14:00:00,1,0,0,3,1.605868,11.12,11.6
2,h,0.654318,0.704879,0.654318,0.704879,4,9,1,2,1.2765,l,2019-08-24 15:00:00,0,0,1,0,-0.05056100000000008,11.391304347826088,8.941176470588236
3,a,1.04649,2.30579,1.04649,2.30579,5,4,2,2,0.527,d,2019-08-31 15:00:00,0,1,0,1,-1.2593,20.916666666666668,14.882352941176471
4,h,1.88034,1.57659,1.88034,1.57659,8,7,0,1,1.5811,l,2019-09-14 14:00:00,0,0,1,0,0.30374999999999996,12.523809523809524,12.823529411764707
5,a,0.508011,1.26041,0.508011,1.26041,2,9,2,0,0.7021999999999999,w,2019-09-21 14:00:00,1,0,0,3,-0.752399,13.15,5.647058823529412
6,h,1.17022,1.97079,1.17022,1.97079,1,11,0,1,0.7802,l,2019-09-28 11:30:00,0,0,1,0,-0.80057,24.235294117647058,11.272727272727273
7,a,0.353724,1.44318,0.353724,1.44318,5,2,0,0,0.4004,d,2019-10-05 15:00:00,0,1,0,1,-1.089456,6.7272727272727275,19.375
8,h,0.895722,0.949735,0.895722,0.949735,6,8,1,0,1.2742,w,2019-10-21 20:00:00,1,0,0,3,-0.05401299999999998,12.214285714285714,5.944444444444445
9,a,1.16171,2.33891,1.16171,2.33891,7,9,1,1,0.4991,d,2019-10-26 15:00:00,0,1,0,1,-1.1771999999999998,14.428571428571429,10.125
10,h,2.58392,0.716613,2.58392,0.716613,6,3,3,0,2.6151,w,2019-11-02 15:00:00,1,0,0,3,1.8673069999999998,17.714285714285715,8.5
11,a,0.923443,1.5104,0.923443,1.5104,6,4,1,1,0.8906000000000001,d,2019-11-09 15:00:00,0,1,0,1,-0.586957,11.517241379310345,9.529411764705882
12,h,1.56025,1.33065,1.56025,1.33065,3,6,3,3,1.5623,d,2019-11-24 16:30:00,0,1,0,1,0.2295999999999998,10.483870967741936,8.631578947368421
13,a,1.47296,1.27422,1.47296,1.27422,8,4,1,1,1.5085000000000002,d,2019-12-01 14:00:00,0,1,0,1,0.19874000000000014,7.891891891891892,7.571428571428571
14,h,1.09175,0.533775,1.09175,0.533775,13,3,0,2,1.846,l,2019-12-05 19:30:00,0,0,1,0,0.557975,7.3125,60.0
15,a,0.712899,0.585805,0.712899,0.585805,2,7,2,1,1.4471999999999998,w,2019-12-08 14:00:00,1,0,0,3,0.12709399999999993,11.12,12.375
16,h,1.888,0.97258,1.888,0.211411,13,1,2,0,2.1525,w,2019-12-14 15:00:00,1,0,0,3,1.6765889999999999,8.0,10.85
17,a,1.65933,0.428371,1.65933,0.428371,1,9,1,0,2.4205,w,2019-12-21 15:00:00,1,0,0,3,1.230959,20.22222222222222,8.533333333333333
18,h,2.04481,0.596611,1.28364,0.596611,6,6,1,1,2.5145,d,2019-12-26 15:00:00,0,1,0,1,0.6870289999999999,13.2,20.428571428571427
19,a,1.23346,1.08628,1.23346,1.08628,2,9,0,2,1.4862,l,2019-12-29 18:00:00,0,0,1,0,0.1471800000000001,34.57142857142857,10.923076923076923
20,a,0.634607,3.0465,0.634607,3.0465,7,16,0,2,0.0834,l,2020-01-02 20:00:00,0,0,1,0,-2.411893,32.68421052631579,14.583333333333334
21,h,2.02768,0.90477,2.02768,0.90477,4,3,1,0,2.2167,w,2020-01-10 20:00:00,1,0,0,3,1.12291,9.928571428571429,10.947368421052632
22,a,1.18444,1.22882,1.18444,1.22882,1,6,1,1,1.2883,d,2020-01-18 15:00:00,0,1,0,1,-0.044380000000000086,8.972222222222221,9.444444444444445
23,h,0.774943,2.873,0.774943,2.11183,6,11,0,1,0.1615,l,2020-01-21 19:30:00,0,0,1,0,-1.336887,23.0,8.833333333333334
24,a,0.860755,0.970063,0.860755,0.970063,4,6,1,0,1.2473,w,2020-02-01 15:00:00,1,0,0,3,-0.10930799999999996,10.310344827586206,11.0
25,h,2.04467,1.07183,2.04467,1.07183,10,8,2,1,2.1409,w,2020-02-09 14:00:00,1,0,0,3,0.9728399999999999,9.368421052631579,10.15
26,h,1.6597,1.06035,1.6597,1.06035,7,2,1,1,1.8422,d,2020-02-22 15:00:00,0,1,0,1,0.59935,7.333333333333333,15.666666666666666
27,h,1.17263,2.55449,1.17263,2.55449,10,3,1,0,0.3676,w,2020-03-07 15:00:00,1,0,0,3,-1.3818599999999999,9.941176470588236,8.0625
28,a,0.235909,1.00877,0.235909,1.00877,2,5,0,0,0.5787,d,2020-06-17 17:00:00,0,1,0,1,-0.7728609999999999,7.925925925925926,16.214285714285715
29,a,0.57107,2.15148,0.57107,2.15148,4,4,0,3,0.2848,l,2020-06-21 13:00:00,0,0,1,0,-1.5804099999999999,15.61111111111111,27.7
30,a,0.108082,2.8416,0.108082,2.8416,2,11,0,3,0.0454,l,2020-06-24 17:00:00,0,0,1,0,-2.733518,24.941176470588236,12.642857142857142
31,h,1.59994,1.01524,1.59994,1.01524,9,8,3,1,1.9298,w,2020-07-02 17:00:00,1,0,0,3,0.5847,16.318181818181817,5.2272727272727275
32,a,1.63343,1.31966,1.63343,1.31966,7,4,1,1,1.6016,d,2020-07-05 11:00:00,0,1,0,1,0.3137699999999999,13.8,9.142857142857142
33,h,0.470483,0.326909,0.470483,0.326909,7,2,1,0,1.4051,w,2020-07-08 17:00:00,1,0,0,3,0.14357399999999998,18.88888888888889,11.846153846153847
34,h,2.00632,1.17509,2.00632,1.17509,5,3,3,0,2.0434,w,2020-07-11 16:30:00,1,0,0,3,0.8312300000000001,45.90909090909091,4.733333333333333
35,a,0.660214,3.05752,0.660214,3.05752,1,6,0,2,0.1466,l,2020-07-16 17:00:00,0,0,1,0,-2.397306,10.173913043478262,9.25
36,h,0.468461,0.624814,0.468461,0.624814,5,3,0,1,1.0608,l,2020-07-20 17:00:00,0,0,1,0,-0.15635299999999996,11.4,13.0625
37,a,1.41051,1.64306,1.41051,0.881887,1,10,1,3,1.1838,l,2020-07-26 15:00:00,0,0,1,0,0.528623,17.608695652173914,6.8
