,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.59864,1.34099,1.59864,1.34099,6,4,1,1,1.5905,0,1,0,1,0.25765000000000016,9.133333333333333,13.6
1,3.44642,1.5829019999999998,3.44642,1.5829019999999998,8,9,2,1,4.2291,1,1,0,4,1.8635180000000002,10.126666666666665,12.6
2,4.100738,2.287781,4.100738,2.287781,12,18,3,3,5.505599999999999,1,1,1,4,1.8129570000000002,10.548212560386473,11.380392156862746
3,5.147228,4.593571,5.147228,4.593571,17,22,5,5,6.0325999999999995,1,2,1,5,0.5536570000000001,13.14032608695652,12.255882352941176
4,7.0275680000000005,6.170161,7.0275680000000005,6.170161,25,29,5,6,7.6137,1,2,2,5,0.857407,13.01702277432712,12.369411764705882
5,7.535579,7.4305710000000005,7.535579,7.4305710000000005,27,38,7,6,8.3159,2,2,2,8,0.10500799999999999,13.039185645272601,11.249019607843136
6,8.705799,9.401361000000001,8.705799,9.401361000000001,28,49,7,7,9.0961,2,2,3,8,-0.695562,14.638629712754666,11.252406417112297
7,9.059523,10.844541000000001,9.059523,10.844541000000001,33,51,7,7,9.4965,2,3,3,9,-1.785018,13.649710089569425,12.26773061497326
8,9.955245,11.794276000000002,9.955245,11.794276000000002,39,59,8,7,10.7707,3,3,3,12,-1.8390309999999999,13.490218492315678,11.565143262692281
9,11.116954999999999,14.133186000000002,11.116954999999999,14.133186000000002,46,68,9,8,11.2698,3,4,3,13,-3.0162309999999994,13.584053785941254,11.421128936423052
10,13.700875,14.849799000000003,13.700875,14.849799000000003,52,71,12,8,13.8849,4,4,3,16,-1.1489239999999996,13.959529415790751,11.155571760384593
11,14.624318,16.360199,14.624318,16.360199,58,75,13,9,14.775500000000001,4,5,3,17,-1.7358809999999996,13.756005412750717,11.020058427411366
12,16.184568,17.690849,16.184568,17.690849,61,81,16,12,16.3378,4,6,3,18,-1.5062809999999998,13.504302763134657,10.83632923663883
