,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.08752,0.909241,1.08752,0.909241,9,0,0,3,1.5136,0,0,1,0,0.17827900000000008,5.5,9.277777777777779
1,3.22799,2.429461,3.22799,2.429461,10,6,1,5,3.3395,0,0,2,0,0.7985290000000003,8.75,9.353174603174605
2,5.30594,3.4271719999999997,5.30594,3.4271719999999997,16,12,3,5,5.5589,1,0,2,3,1.8787680000000002,9.416666666666666,9.29342074994249
3,6.075556,5.330731999999999,6.075556,5.330731999999999,22,25,4,6,6.135800000000001,1,1,2,4,0.7448240000000002,8.729166666666666,10.362922705314011
4,7.652146,7.211072,7.652146,7.211072,29,33,5,6,7.3020000000000005,2,1,2,7,0.4410740000000002,9.548039215686273,10.795100069013113
5,9.832356,8.508802,9.071186,8.508802,35,35,6,9,9.3298,2,1,3,7,0.5623840000000002,8.637651727357609,11.985500057510928
6,10.994916,9.698882,10.233746,9.698882,43,42,7,11,10.638,2,1,4,7,0.5348640000000002,8.210651287542044,14.809000049295081
7,12.265356,11.850892,11.504186,11.850892,48,52,8,15,11.3868,2,1,5,7,-0.34670599999999996,8.544896799676211,14.346032937870039
8,13.642306000000001,12.738387,12.881136000000001,11.977218,53,55,9,16,13.1124,2,2,5,8,0.903918,8.933426784897373,14.38165890773633
9,14.09964,17.118847,13.338470000000001,15.596518,54,64,9,25,13.1352,2,2,6,8,-2.258048,9.74484601116954,13.262411935881616
10,14.993529,20.480166999999998,14.232359,18.957838,56,95,10,27,13.2515,2,2,7,8,-4.725479,10.4725872828814,12.34694791373853
11,15.73581,22.568997,14.97464,21.046668,57,101,11,29,13.6869,2,2,8,8,-6.072028,10.428303048523636,11.861046340281826
12,18.33893,24.177227,16.66128,22.654898,67,104,13,31,15.764899999999999,2,3,8,9,-5.993618000000001,10.190961055780061,11.410196621798608
13,20.30603,24.681231999999998,18.62838,23.158903,75,109,15,32,18.388399999999997,3,3,8,12,-4.5305230000000005,10.002717805764023,11.609468291670137
14,22.30835,25.577879,20.6307,24.05555,84,112,17,33,20.656499999999998,4,3,8,15,-3.42485,9.956240322416791,11.75772596111435
15,24.2009,26.682368999999998,22.52325,25.16004,90,115,18,35,22.6406,4,3,9,15,-2.6367900000000004,9.638141968932409,11.885368088544704
16,25.006784,27.585608999999998,23.329134,26.06328,97,123,18,36,23.918799999999997,4,3,10,15,-2.7341460000000004,9.525440807361221,11.889169965689133
17,27.641224,28.506663,25.963574,26.984334,102,129,21,37,26.442099999999996,5,3,10,18,-1.0207600000000003,9.662916318063376,11.808521634261957
18,28.622545000000002,29.366636,26.944895000000002,27.844307,104,139,23,37,27.910999999999998,6,3,10,21,-0.8994120000000003,9.814116211097634,11.456026343569809
19,30.101915,29.504473,28.424265000000002,27.982144,108,141,24,38,30.4364,6,4,10,22,0.44212099999999976,9.59399863583687,11.85108216924846
20,31.613835,30.582473,29.936185000000002,29.060144,112,145,25,38,32.1413,7,4,10,25,0.8760409999999996,9.440712986511304,11.59316314255547
21,34.019845000000004,31.362587,32.342195000000004,29.840258000000002,115,147,27,39,34.6584,8,4,10,28,2.501937,9.362829338364095,11.611655726984766
22,34.806819000000004,33.539787000000004,33.129169000000005,31.256298,117,152,29,42,35.0552,8,4,11,28,1.872871,9.181595212541504,11.772352969624226
23,35.937419000000006,34.214376,34.259769000000006,31.930887000000002,125,161,31,42,36.8152,9,4,11,31,2.328882,8.986528745352274,11.608227151445439
24,36.65371700000001,37.933876,34.97606700000001,35.650387,132,169,31,46,36.875699999999995,9,4,12,31,-0.6743199999999998,9.136632812929488,11.39298897447853
25,37.34774200000001,38.826575,35.67009200000001,36.543086,138,171,32,48,37.980799999999995,9,4,13,31,-0.8729939999999998,9.071548644910832,11.336335552383202
26,40.37700200000001,39.298925,38.69935200000001,37.015436,145,175,34,48,40.763799999999996,10,4,13,34,1.683916,9.01274576797865,11.135730531924567
27,41.24557500000001,42.085744999999996,39.56792500000001,39.802256,152,180,35,51,41.0387,10,4,14,34,-0.23433100000000007,8.853199652888504,11.25870256179944
28,41.59444600000001,45.149584999999995,39.91679600000001,42.104926,156,184,35,52,41.094699999999996,10,4,15,34,-2.18813,8.979772407058194,11.042885232082218
29,43.46543600000001,45.804517,41.78778600000001,42.759858,164,186,38,52,43.349799999999995,11,4,15,37,-0.9720720000000003,8.86748369719329,10.939233502123923
30,44.20374100000001,47.990466999999995,42.52609100000001,44.945808,170,192,38,54,43.72129999999999,11,4,16,37,-2.4197170000000003,8.835199276853722,10.87936575474358
31,45.540141000000006,48.355813999999995,43.862491000000006,45.311155,175,198,41,55,45.942499999999995,12,4,16,40,-1.4486640000000004,8.84778977564252,10.820635574907843
32,46.16890600000001,51.751563999999995,44.49125600000001,48.706905,177,221,42,55,46.0541,13,4,16,43,-4.215649000000001,9.040713894995344,10.69908673353257
33,48.46574600000001,52.423005999999994,46.026936000000006,49.378347,190,223,43,56,48.6532,13,5,16,44,-3.351411000000001,8.978592057747582,10.808283144484035
34,50.27084600000001,53.926306,47.83203600000001,50.881647,199,232,45,58,50.2573,13,6,16,45,-3.0496110000000014,8.974441808478604,10.887444979453663
35,52.60829600000001,54.598946,50.169486000000006,51.554287,210,240,46,59,52.7715,13,7,16,46,-1.3848010000000013,8.877268160359488,11.133164100394765
36,54.85356600000001,55.182063,51.65359600000001,52.137404000000004,220,248,48,59,55.3477,14,7,16,49,-0.48380800000000124,8.823351532814002,11.005440946530241
37,56.496626000000006,56.592573,52.535483000000006,53.547914000000006,230,249,51,60,56.8654,15,7,16,52,-1.0124310000000012,8.770105439845212,11.179210807205076
