,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.670022,0.855516,0.670022,0.855516,7,5,0,3,1.0922,0,0,1,0,-0.18549400000000005,9.785714285714286,11.5
1,1.842812,1.6884290000000002,1.842812,1.6884290000000002,10,9,0,4,2.7552000000000003,0,0,2,0,0.15438299999999994,6.855357142857143,10.181818181818182
2,4.136292,5.146109,4.136292,4.384939,30,19,1,7,3.3941000000000003,0,0,3,0,-0.24864699999999984,7.665476190476191,11.103668261563
3,5.243092,6.187419,5.243092,5.426249,36,21,2,8,4.780200000000001,0,1,3,1,-0.1831569999999998,8.749107142857143,13.22775119617225
4,8.075182,7.193579,7.314012,6.432409,48,28,4,10,7.3353,0,2,3,2,0.8816030000000004,8.813571428571429,14.865534290271134
5,8.4199,13.824069,7.65873,12.301729,49,41,4,18,7.3357,0,2,4,2,-4.642999,13.31686507936508,14.2768341307815
6,9.48605,14.987699,8.72488,13.465359,59,46,4,20,8.5225,0,2,5,2,-4.740479,13.04030612244898,15.514072112098429
7,10.92923,15.341422999999999,10.16806,13.819083,61,51,4,20,10.9101,0,3,5,3,-3.6510229999999995,13.832142857142857,14.415722188995217
8,11.776081000000001,16.23304,11.014911000000001,14.7107,63,61,5,21,12.1619,0,4,5,4,-3.6957889999999995,14.39465329991646,13.640062235628598
9,12.450984000000002,17.132566,11.689814000000002,15.610225999999999,68,64,5,21,13.300099999999999,0,5,5,5,-3.920412,14.270572585309429,13.212898117328896
10,13.925384000000001,19.315696,12.403042000000003,17.793356,74,72,6,23,14.163799999999998,0,5,6,5,-5.390314,14.80961144119039,13.035649006184165
11,15.285554000000001,19.936736,13.763212000000003,18.414396,77,83,8,23,16.1283,1,5,6,8,-4.651184,14.870931699879067,12.580923869703904
12,16.187938000000003,22.599546,14.665596000000003,20.316036,82,85,8,26,16.403299999999998,1,5,7,8,-5.65044,14.184503755353957,12.507391264342065
