,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.26793,0.822944,1.26793,0.822944,5,9,1,0,1.7446000000000002,1,0,0,3,0.444986,16.263157894736842,11.333333333333334
1,5.43047,1.138291,5.43047,1.138291,11,15,6,2,4.7387,2,0,0,6,4.292179,12.679197994987469,26.416666666666668
2,7.70236,1.5814059999999999,6.94119,1.5814059999999999,14,19,8,3,7.4351,3,0,0,9,5.359784,10.88758127202063,21.622605363984675
3,10.0427,2.747086,9.28153,2.747086,24,26,12,5,9.6994,4,0,0,12,6.534444000000001,10.430837469166988,18.508620689655174
4,11.40268,5.242006,10.64151,5.242006,26,39,14,7,10.3748,4,1,0,13,5.399504,11.164669975333592,16.55089655172414
5,11.689734,5.983516,10.928564,5.983516,32,45,14,9,11.192300000000001,4,1,1,13,4.945048,11.251510693730374,16.10491379310345
6,12.907784,8.614616,12.146614,7.853446,40,50,15,11,11.583800000000002,4,1,2,13,4.293168,10.900104404149845,18.697068965517243
7,13.284248,10.211036,12.523078,9.449866,49,57,16,14,11.997600000000002,4,1,3,13,3.073212,11.125091353631115,17.893589190981434
8,15.535048,12.081316,14.773878,10.558976,58,66,19,16,13.651500000000002,5,1,3,16,4.2149019999999995,11.40219760534406,17.082367346716005
9,16.827338,15.194555999999999,16.066168,13.672215999999999,64,78,19,17,14.020200000000003,5,1,4,16,2.3939519999999996,11.898819950072811,16.014755612044404
10,19.108728,15.92499,18.347558,14.40265,74,84,20,18,16.5711,5,2,4,17,3.944908,11.49892722733892,16.048987315297286
11,20.330327999999998,16.931259999999998,18.807986,15.40892,76,90,21,18,18.123,6,2,4,20,3.399066,12.103183291727342,15.054905039022513
12,21.845187999999997,17.77009,20.322846,16.24775,79,96,23,18,20.1373,7,2,4,23,4.075096,13.225423630233523,14.432549706350452
13,22.506931999999995,19.02215,20.984589999999997,16.738644,80,107,25,19,20.8848,8,2,4,26,4.245946,14.516464799502558,14.36383817270357
14,23.075734999999995,20.27321,21.553392999999996,17.989704,88,110,26,19,21.5244,9,2,4,29,3.563689,14.293144923980163,14.124026738967778
15,23.446779999999993,21.47034,21.924437999999995,19.186834,93,114,26,20,22.0842,9,2,5,29,2.737604,14.101212255120293,14.328775067782292
16,23.770224999999993,22.322835,22.247882999999995,20.039329000000002,102,118,28,21,22.877399999999998,10,2,5,32,2.2085540000000004,14.356696501551125,14.373861128220868
17,24.245205999999992,23.114880000000003,22.722863999999994,20.831374000000004,104,126,29,22,23.883999999999997,10,3,5,33,1.8914900000000003,14.912276854639552,13.921979954430821
18,25.21121799999999,25.203200000000002,23.688875999999993,22.919694000000003,113,131,29,24,24.494199999999996,10,3,6,33,0.7691820000000005,14.480051757026944,14.67249775587226
19,27.12660799999999,26.346230000000002,25.604265999999992,24.062724000000003,115,141,31,25,26.498999999999995,11,3,6,36,1.5415420000000004,14.483549169175598,14.21951802936897
20,28.68370799999999,28.063920000000003,27.16136599999999,25.780414000000004,118,147,34,28,27.743099999999995,11,4,6,37,1.3809520000000004,15.46528492302438,14.050334631145052
21,28.997782999999988,30.614770000000004,27.47544099999999,28.331264000000004,119,156,34,30,27.811599999999995,11,4,7,37,-0.8558229999999998,15.3594248645398,13.946531541850579
22,30.044422999999988,31.846950000000003,28.52208099999999,29.563444000000004,121,165,35,33,29.030499999999996,11,4,8,37,-1.0413629999999998,15.865536826951113,13.782615848215132
23,32.059102999999986,33.38741,29.775600999999988,31.103904000000004,122,179,37,33,30.771399999999996,12,4,8,40,-1.3283029999999998,16.081787607309632,13.47917352120617
24,33.47964299999999,34.053153,31.196140999999987,31.769647000000003,127,182,38,33,32.831999999999994,13,4,8,43,-0.5735059999999998,15.845923510424653,13.261296902938568
25,34.88753299999999,35.073533000000005,32.604030999999985,32.790027,135,189,39,33,34.532,14,4,8,46,-0.18599599999999983,15.690677368082312,13.388898843918664
26,35.158289999999994,37.645773000000005,32.87478799999999,34.601097,135,195,39,35,34.622699999999995,14,4,9,46,-1.7263089999999996,15.783330343053622,13.230976664514268
27,36.85677999999999,38.394293000000005,34.57327799999999,35.349617,144,204,40,37,36.7818,14,4,10,46,-0.7763389999999996,15.477576481595358,13.49891797411495
28,39.39063999999999,38.998042000000005,37.107137999999985,35.953366,154,216,41,38,39.3703,14,5,10,47,1.153772,15.374901430505862,13.54459423058563
29,39.69692699999999,40.16269200000001,37.41342499999998,37.118016000000004,157,227,41,38,39.9663,14,6,10,48,0.29540900000000003,15.521928525679476,13.376441089566109
30,41.957146999999985,41.644192000000004,38.91247499999998,38.599516,163,229,43,40,41.930499999999995,14,7,10,49,0.312959,15.366242191751528,13.448527219293366
