,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.352997,2.95581,0.352997,1.43347,6,3,0,3,0.0568,0,0,1,0,-1.080473,19.105263157894736,10.529411764705882
1,0.668344,7.1183499999999995,0.668344,5.59601,12,9,2,8,0.060500000000000005,0,0,2,0,-4.927666,30.30263157894737,9.81232492997199
2,1.579529,9.47881,1.579529,7.9564699999999995,15,21,5,11,0.46620000000000006,0,1,2,1,-6.376941,33.80781499202552,8.048216619981327
3,1.740812,10.427888999999999,1.740812,8.905548999999999,16,27,5,13,0.9864,0,1,3,1,-7.164737000000001,29.31638755980861,7.309599964985995
4,2.472504,11.513208999999998,2.472504,9.990868999999998,19,29,5,13,1.9785,0,2,3,2,-7.518365000000001,25.10311004784689,8.510837866725637
5,2.7681579999999997,12.060015999999997,2.7681579999999997,10.537675999999998,23,33,6,14,2.9199,0,3,3,3,-7.7695180000000015,23.32276714513557,8.877087111160254
6,3.2508429999999997,13.682485999999997,3.2508429999999997,12.160145999999997,26,37,6,16,3.3761,0,3,4,3,-8.909303000000001,20.71295098926678,9.391540505218105
7,4.0501949999999995,15.553115999999997,4.0501949999999995,14.030775999999998,32,41,6,17,3.9551,0,3,5,3,-9.980581,20.178519615608433,9.151808468381631
8,4.488841,17.983055999999998,4.488841,15.699585999999998,34,61,6,18,4.1189,0,3,6,3,-11.210745000000001,19.136461880540832,8.98168415580283
9,6.205280999999999,21.348495999999997,6.205280999999999,19.065026,40,72,7,18,4.5965,1,3,6,6,-12.859745,18.18071042932885,9.403515740222547
10,6.772514999999999,23.035055999999997,6.772514999999999,20.751586,47,86,8,23,5.1265,1,3,7,6,-13.979071000000001,17.91294531008505,9.665014309293225
11,7.345705,23.939218999999998,7.345705,21.655749,51,91,9,25,6.1295,1,3,8,6,-14.310044000000001,17.378533200911296,10.976263116852122
12,7.555948,26.525149,7.555948,24.241679,51,107,10,26,6.2397,1,4,8,7,-16.685731,18.734030646995045,10.664902217753605
13,7.5947922,29.144789,7.5947922,26.100149000000002,52,119,10,29,6.2648,1,4,9,7,-18.5053568,18.418441991758556,10.499762143376246
14,8.3346372,30.599639,8.3346372,27.554999000000002,53,137,11,30,7.0513,1,5,9,8,-19.220361800000003,19.790545858974653,10.017169304832324
15,8.7701472,32.141889,8.7701472,29.097249,54,150,11,35,7.5189,1,5,10,8,-20.3271018,20.70542245707445,9.840314973280304
16,9.6400212,36.176179,9.6400212,33.131539000000004,58,157,11,39,7.570200000000001,1,5,11,8,-23.4915178,20.472111161645522,10.208531739557932
17,12.1033412,38.119758999999995,10.5810082,35.075119,65,162,14,41,9.365200000000002,2,5,11,11,-24.4941108,20.28538893661583,10.017208080824322
18,12.567432199999999,40.294878999999995,11.0450992,37.250239,70,168,15,43,9.583200000000001,2,5,12,11,-26.2051398,20.08460995233574,10.222780125153406
19,13.135690199999999,42.54325899999999,11.6133572,39.498619,73,183,15,48,9.787200000000002,2,5,13,11,-27.885261800000002,20.430379454718953,10.104974452229069
20,14.1303542,44.06369899999999,12.6080212,41.019059,73,190,17,50,10.728500000000002,2,6,13,12,-28.411037800000003,20.14798043306567,10.041152139377825
21,15.7490642,45.421738999999995,14.2267312,42.377099,75,202,18,52,12.349400000000003,2,6,14,12,-28.1503678,20.04232356846108,9.812008860315196
22,16.447750199999998,47.35170899999999,14.9254172,44.307069,78,212,18,54,12.839900000000004,2,6,15,12,-29.3816518,20.229924407099414,9.719391874293587
23,17.393714199999998,47.77559399999999,15.8713812,44.730954,81,221,19,55,14.698900000000004,2,7,15,13,-28.8595728,20.45298311235916,9.64477435572183
24,19.112934199999998,48.31074699999999,17.590601200000002,45.266107,85,224,19,55,17.174100000000003,2,8,15,14,-27.6755058,20.394863787864793,9.436583381492957
25,19.800025199999997,51.431856999999994,18.2776922,46.864917,87,234,20,55,17.279200000000003,3,8,15,17,-28.5872248,20.159396998821045,9.219791712973997
26,20.820405199999996,52.839746999999996,19.2980722,48.272807,94,242,20,56,18.297900000000002,3,8,16,17,-28.9747348,20.026787753250673,9.315707716549916
27,22.285435199999995,53.294323999999996,20.7631022,48.727384,107,248,20,56,20.5366,3,9,16,18,-27.964281800000002,19.66492879213834,9.280622917149325
28,22.798874199999993,54.60126399999999,21.276541199999997,49.273152,115,250,20,57,21.093,3,9,17,18,-27.996610800000003,19.17232125947245,9.277215857310319
29,24.182024199999994,57.160433999999995,22.659691199999997,51.832322000000005,121,262,25,59,21.7329,4,9,17,21,-29.172630800000004,19.05070420161702,9.17414816823948
30,26.952914199999995,58.660633999999995,24.6694112,52.57134800000001,133,271,28,59,23.9772,5,9,17,24,-27.901936800000005,18.683477184360555,9.03949822732853
31,27.230040199999994,61.33183399999999,24.946537199999998,55.242548000000006,137,280,28,62,24.0829,5,9,18,24,-30.296010800000005,18.736131680244025,8.905451407724513
32,28.797680199999995,63.98577399999999,25.7530112,57.135318000000005,140,291,30,64,24.7152,5,10,18,25,-31.382306800000006,18.657547603353514,8.785420893685723
33,29.869010199999995,64.829912,26.8243412,57.979456000000006,145,299,31,65,26.3032,5,11,18,26,-31.155114800000007,18.372325615019587,8.766732043871437
34,31.699770199999996,65.90033199999999,28.6551012,59.049876000000005,147,305,32,68,28.2879,5,11,19,26,-30.394774800000008,18.324544883161884,8.800063509284634
35,32.8417902,67.978872,29.7971212,61.128416,150,325,33,70,29.047800000000002,5,11,20,26,-31.33129480000001,18.422672604661358,8.668190400108598
36,33.9492002,71.54878199999999,30.9045312,63.937156,156,334,34,73,29.166200000000003,5,11,21,26,-33.03262480000001,18.16323630215064,8.686697177848112
37,34.9712902,74.03887199999998,31.9266212,65.666076,164,343,35,76,29.592600000000004,5,11,22,26,-33.739454800000004,18.053677452094043,8.570448061831867
