,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.61307,0.949316,1.61307,0.949316,3,10,2,0,1.9139,1,0,0,3,0.663754,31.333333333333332,8.233333333333333
1,2.340747,3.025826,2.340747,2.264666,6,19,3,3,2.3359,1,0,1,3,0.07608099999999995,31.023809523809526,7.916666666666666
2,2.725899,6.082856,2.725899,5.321696,10,20,3,7,2.4206000000000003,1,0,2,3,-2.595797,23.41093474426808,12.53267973856209
3,3.619489,7.052249,3.619489,6.291089,12,26,4,7,3.6493,2,0,2,6,-2.6716,21.205928330928334,14.703081232492996
4,4.23768,8.135569,4.23768,7.374409,14,40,5,7,4.5626,3,0,2,9,-3.1367290000000003,19.364742664742668,12.862464985994398
5,4.996306000000001,8.389254000000001,4.996306000000001,7.628094,19,44,6,8,6.348,3,1,2,10,-2.6317880000000002,17.83600350267017,15.936669539610717
6,6.345256000000001,9.192021,6.345256000000001,8.430861,27,48,8,8,8.168,4,1,2,13,-2.085605,17.266838981124696,16.047757564564286
7,6.924616000000001,11.246521000000001,6.924616000000001,8.963027,33,49,8,9,8.4398,4,1,3,13,-2.038411,18.37098410848411,15.89178786899375
8,8.499406,12.325021000000001,8.499406,10.041527,38,59,9,10,10.1954,4,2,3,14,-1.542121,17.708364475031143,15.500302667175731
9,10.506306,13.443521,10.506306,11.160027,44,71,11,11,12.264399999999998,5,2,3,17,-0.6537210000000002,17.701813741813744,14.753843829029586
10,10.864059000000001,15.038061,10.864059000000001,12.754567,45,80,11,15,12.637199999999998,5,2,4,17,-1.8905080000000003,17.97134582589128,15.034962921495428
11,11.999659000000001,16.306781,11.999659000000001,13.262119,51,85,11,16,13.821899999999998,5,2,5,17,-1.2624600000000004,17.165400340400343,14.264192201846997
12,12.683442000000001,17.874501000000002,12.683442000000001,14.829839,55,91,13,17,14.458699999999997,6,2,5,20,-2.1463970000000003,17.3597778290086,13.769068663773886
13,14.140662,19.079151000000003,13.379497,16.034489,59,97,14,19,16.032599999999995,6,2,6,20,-2.6549920000000005,16.444793698365128,13.78953201318686
14,14.88326,19.487260000000003,14.122095,16.442598,64,102,15,20,17.669499999999996,6,3,6,21,-2.3205030000000004,15.790750541238348,13.985044693789218
15,15.294306,20.969330000000003,14.533141,17.924668,67,112,15,21,18.032599999999995,6,3,7,21,-3.3915270000000004,16.451555905138225,13.795762009123045
16,17.112866,23.39213,15.590531,19.586298,68,124,18,24,18.909499999999994,6,4,7,22,-3.9957670000000003,16.93339715441581,13.407776008586396
17,17.965361,23.715575,16.443026,19.909743,72,133,19,26,20.721199999999996,6,4,8,22,-3.466717,16.831277206683712,13.68759092168962
18,19.908941000000002,26.178895,18.386606,20.85073,77,140,21,29,21.689699999999995,6,4,9,22,-2.464124,16.30145766329788,13.867776194817067
19,20.540861000000003,26.842219,19.018526,21.514053999999998,78,146,21,29,23.011399999999995,6,5,9,23,-2.495528,19.453051446799655,13.388449885076213
20,20.991768000000004,28.210989,19.469433000000002,22.882824,80,151,21,30,23.516299999999994,6,5,10,23,-3.4133910000000003,19.417471966139725,13.679476081024964
21,22.553388000000005,28.927254,20.269889000000003,23.599089,82,156,23,31,25.637299999999993,7,5,10,26,-3.3292,19.681712750895613,13.753962705441184
22,23.908448000000007,29.559486,21.624949,24.231320999999998,89,166,23,31,27.63499999999999,7,6,10,27,-2.6063720000000004,19.470598585922836,13.480772511086967
23,25.002058000000005,30.413086,21.957389,25.084920999999998,92,172,25,32,29.23709999999999,8,6,10,30,-3.1275320000000004,19.299674522035698,13.399232386617072
24,25.594107000000005,32.892386,22.549438,27.564220999999996,93,178,26,32,29.49519999999999,9,6,10,33,-5.014783,18.921761615228345,13.172736775362916
25,26.872377000000004,34.844286000000004,23.827707999999998,29.516120999999995,98,184,27,33,30.39639999999999,9,7,10,34,-5.688413000000001,18.687214222787436,12.895731062283348
26,27.191201000000003,38.106246000000006,24.146531999999997,32.77808099999999,99,204,28,37,30.454899999999988,9,7,11,34,-8.631549,19.2828444652483,12.680016155214652
27,29.342071000000004,39.06263800000001,26.297401999999998,33.734472999999994,99,205,28,37,32.83979999999999,9,8,11,35,-7.4370709999999995,19.046552401013237,12.551444149671271
28,30.633821000000005,40.117838000000006,27.589152,34.78967299999999,103,215,28,38,34.42119999999999,9,8,12,35,-7.200520999999999,18.630109110278195,12.544422837163866
29,32.59031100000001,41.71477800000001,29.545641999999997,36.386613,107,219,30,41,36.06529999999999,9,8,13,35,-6.840971,18.260772139935586,12.794696461889982
30,33.01844500000001,42.44793200000001,29.973775999999997,37.119766999999996,108,231,31,41,37.05579999999999,10,8,13,38,-7.1459909999999995,18.336727381079104,12.757448188925789
31,34.244485000000005,42.743857000000006,31.199816,37.41569199999999,111,236,32,41,39.353199999999994,11,8,13,41,-6.215876,18.9154903647061,12.680976208883928
32,34.596158,44.98434700000001,31.551489,39.656181999999994,111,239,32,45,39.5106,11,8,14,41,-8.104693,18.586500460606267,12.646451677301588
33,35.440296000000004,46.05567700000001,32.395627,40.727512,119,244,33,46,40.602399999999996,11,9,14,42,-8.331885,18.279544564706082,12.538026627969188
34,36.560196000000005,46.33138700000001,33.515527,41.003221999999994,128,253,35,47,42.732699999999994,12,9,14,45,-7.4876949999999995,18.01985689687094,12.529147945092147
35,37.65225600000001,49.47085700000001,34.607586999999995,44.142692,133,260,35,49,43.007099999999994,12,9,15,45,-9.535105,18.031805316402306,12.502103712049463
36,37.91778200000001,50.14185400000001,34.873113,44.813689,134,264,35,50,43.855199999999996,12,9,16,45,-9.940576,17.784177205618224,12.47652132944152
37,38.61903800000001,52.19414400000001,35.574369,46.104808999999996,139,270,36,52,44.257799999999996,12,9,17,45,-10.53044,17.533277805470377,12.916134404504064
