,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.88818,1.02385,1.88818,1.02385,7,10,2,0,2.1154,w,2021-08-13 19:00:00,1,0,0,3,0.86433,16.11111111111111,5.7727272727272725
1,a,0.712439,0.606313,0.712439,0.606313,6,5,0,0,1.3954,d,2021-08-21 14:00:00,0,1,0,1,0.10612600000000005,8.172413793103448,9.2
2,a,1.13312,0.431464,1.13312,0.431464,8,2,1,1,2.0072,d,2021-08-28 14:00:00,0,1,0,1,0.7016559999999998,8.291666666666666,13.2
3,h,0.729786,0.287902,0.729786,0.287902,3,6,0,1,1.7654,l,2021-09-11 14:00:00,0,0,1,0,0.44188400000000005,10.125,6.615384615384615
4,a,2.32741,1.02316,1.56627,1.02316,3,4,2,0,2.4119,w,2021-09-18 11:30:00,1,0,0,3,0.54311,10.782608695652174,12.571428571428571
5,h,2.94058,2.25736,2.94058,2.25736,4,12,3,3,1.8647,d,2021-09-25 16:30:00,0,1,0,1,0.6832200000000004,23.7,6.705882352941177
6,a,1.30098,1.37258,1.30098,1.37258,1,8,2,1,1.3241999999999998,w,2021-10-03 13:00:00,1,0,0,3,-0.07159999999999989,13.428571428571429,6.0
7,h,1.62169,0.248256,1.62169,0.248256,16,8,0,1,2.5013,l,2021-10-16 16:30:00,0,0,1,0,1.373434,14.263157894736842,13.866666666666667
8,h,1.16789,1.00254,1.16789,1.00254,7,5,1,2,1.4951999999999999,l,2021-10-24 13:00:00,0,0,1,0,0.1653500000000001,5.837837837837838,21.333333333333332
9,a,0.834312,2.72901,0.834312,2.72901,2,2,1,3,0.2717,l,2021-10-30 14:00:00,0,0,1,0,-1.894698,9.210526315789474,16.263157894736842
10,h,2.79229,1.15797,2.79229,0.396837,11,4,1,2,2.503,l,2021-11-06 15:00:00,0,0,1,0,2.395453,6.782608695652174,14.722222222222221
11,a,1.23275,2.18388,1.23275,2.18388,6,8,3,3,0.7258,d,2021-11-20 15:00:00,0,1,0,1,-0.9511299999999998,7.65,7.7
12,h,1.19813,0.968075,0.436957,0.968075,3,9,1,0,1.5935,w,2021-11-28 14:00:00,1,0,0,3,-0.531118,13.210526315789474,6.9655172413793105
13,a,0.225492,2.07248,0.225492,2.07248,7,6,0,2,0.1308,l,2021-12-02 19:30:00,0,0,1,0,-1.846988,15.8125,17.5
14,a,1.19959,1.41896,1.19959,1.41896,5,7,2,2,1.1591,d,2021-12-05 14:00:00,0,1,0,1,-0.21937000000000006,11.08695652173913,4.785714285714286
15,h,1.82799,0.561554,1.06682,0.561554,6,2,2,1,2.4263,w,2021-12-10 20:00:00,1,0,0,3,0.5052660000000001,4.103448275862069,10.217391304347826
16,a,1.10342,0.943363,1.10342,0.943363,7,7,0,2,1.4949999999999999,l,2021-12-26 20:00:00,0,0,1,0,0.16005700000000012,12.631578947368421,10.32
17,h,0.238829,1.01763,0.238829,1.01763,3,6,0,1,0.496,l,2021-12-29 20:15:00,0,0,1,0,-0.7788010000000001,13.090909090909092,5.090909090909091
18,h,0.501329,1.13821,0.501329,1.13821,4,6,2,1,0.7686,w,2022-01-02 14:00:00,1,0,0,3,-0.6368809999999999,8.1,12.941176470588236
