,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.88818,1.02385,1.88818,1.02385,7,10,2,0,2.1154,1,0,0,3,0.86433,16.11111111111111,5.7727272727272725
1,2.600619,1.630163,2.600619,1.630163,13,15,2,0,3.5108,1,1,0,4,0.9704560000000001,12.14176245210728,7.486363636363636
2,3.733739,2.061627,3.733739,2.061627,21,17,3,1,5.518000000000001,1,2,0,5,1.6721119999999998,10.858397190293742,9.39090909090909
3,4.463525,2.349529,4.463525,2.349529,24,23,3,2,7.2834,1,2,1,5,2.1139959999999998,10.675047892720306,8.697027972027971
4,6.790934999999999,3.3726890000000003,6.029795,3.3726890000000003,27,27,5,2,9.6953,2,2,1,8,2.6571059999999997,10.69656005330668,9.471908091908091
5,9.731515,5.630049,8.970375,5.630049,31,39,8,5,11.559999999999999,2,3,1,9,3.340326,12.863800044422232,9.010903802080271
6,11.032495,7.002629,10.271355,7.002629,32,47,10,6,12.884199999999998,3,3,1,12,3.268726,12.94448167072926,8.580774687497376
7,12.654185000000002,7.250884999999999,11.893045,7.250884999999999,48,55,10,7,15.385499999999999,3,3,2,12,4.6421600000000005,13.109316198730209,9.241511184893536
8,13.822075000000002,8.253425,13.060935,8.253425,55,60,11,9,16.880699999999997,3,3,3,12,4.807510000000001,12.301374158631056,10.585046979164623
9,14.656387000000002,10.982435,13.895247000000001,10.982435,57,62,12,12,17.152399999999997,3,3,4,12,2.9128120000000006,11.9922893743469,11.152858070721845
10,17.448677000000004,12.140405000000001,16.687537000000003,11.379272,68,66,13,14,19.655399999999997,3,3,5,12,5.3082650000000005,11.518682039920106,11.477345720858244
11,18.681427000000003,14.324285000000001,17.920287000000002,13.563152,74,74,16,17,20.381199999999996,3,4,5,13,4.357135,11.196291869926762,11.162566910786722
12,19.879557000000002,15.292360000000002,18.357244,14.531227000000001,77,83,17,17,21.974699999999995,4,4,5,16,3.8260170000000002,11.351232981146971,10.83971693621692
13,20.105049,17.36484,18.582736,16.603707,84,89,17,19,22.105499999999996,4,4,6,16,1.9790290000000001,11.669894911065045,11.315451440772856
14,21.304639,18.7838,19.782326,18.022667,89,96,19,21,23.264599999999994,4,5,6,17,1.759659,11.63103235177665,10.880135630435616
15,23.132629,19.345354,20.849146,18.584221,95,98,21,22,25.690899999999996,5,5,6,20,2.2649250000000003,11.160558347031989,10.838714110055129
16,24.236049,20.288717000000002,21.952566,19.527584,102,105,21,24,27.185899999999997,5,5,7,20,2.4249820000000004,11.24708897058119,10.808201515346003
17,24.474878,21.306347000000002,22.191395,20.545214,105,111,21,25,27.681899999999995,5,5,8,20,1.6461810000000003,11.349523421710519,10.490574158432842
18,24.976207,22.444557000000003,22.692724,21.683424000000002,109,117,23,26,28.450499999999995,6,5,8,23,1.0093000000000005,11.178495873199438,10.619553227493652
