,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.321701,1.18709,0.321701,1.18709,3,14,0,3,0.5141,0,0,1,0,-0.865389,71.0,6.595238095238095
1,0.928014,1.899529,0.928014,1.899529,8,20,0,3,1.728,0,1,1,1,-0.971515,40.1,7.383825944170772
2,2.604594,3.347009,2.604594,3.347009,14,31,2,5,3.3109,0,2,1,2,-0.7424150000000002,29.698245614035088,8.650945691175577
3,5.498314000000001,3.4245736,4.737144000000001,3.4245736,21,32,5,5,6.2844999999999995,1,2,1,5,1.3125703999999998,23.78261278195489,9.678685458857874
4,6.142482,6.1925036,5.381312,6.1925036,29,40,5,8,6.473599999999999,1,2,2,5,-0.8111915999999999,23.092756892230575,8.776281700419633
5,7.510842,6.8420696,5.988508,6.8420696,33,45,6,9,8.5489,1,3,2,6,-0.8535615999999999,22.140789473684208,9.154147793827955
6,8.681142,7.8852896,7.1588080000000005,7.8852896,46,46,8,11,9.9613,1,4,2,7,-0.7264816000000001,19.94924812030075,9.178345167818918
7,9.173381,9.6288896,7.651047,9.6288896,49,56,10,13,10.3712,1,5,2,8,-1.9778426000000002,20.12866902834008,10.14289412710471
8,11.429260999999999,10.350702600000002,9.906927,10.350702600000002,58,60,11,14,12.8683,1,6,2,9,-0.4437756000000004,18.460777698393798,11.867757742611595
9,12.479550999999999,11.008092600000001,10.957217,11.008092600000001,63,72,13,14,14.5986,2,6,2,12,-0.050875600000000465,18.283120981185995,11.400981968350436
10,15.131160999999999,11.262252600000002,13.608827,11.262252600000002,73,74,15,14,17.4618,3,6,2,15,2.3465743999999993,17.204596786415422,11.823403521011217
11,16.879551,12.304492600000001,15.357217,12.304492600000001,82,79,18,17,19.3521,3,7,2,16,3.0527243999999993,17.260463720880804,11.820003952231298
12,17.84168,12.758797600000001,16.319346,12.758797600000001,87,85,19,19,21.2068,3,7,3,16,3.560548399999999,16.628889588505356,12.934441518035992
13,18.549008,14.740597600000001,17.026674,13.979427600000001,91,90,19,20,21.5915,3,7,4,16,3.047246399999999,16.343709163352376,12.284988928401843
14,19.069601000000002,15.610973600000001,17.547267,14.849803600000001,94,103,19,21,22.5903,3,7,5,16,2.697463399999999,16.24523966357333,11.932656333175053
15,21.168241000000002,16.8865336,19.645907,16.1253636,102,108,22,22,24.586299999999998,4,7,5,19,3.520543399999999,15.737724684599996,11.787671763964516
16,22.660681,17.5117166,21.138347,16.7505466,106,110,24,24,26.693099999999998,4,8,5,20,4.387800399999999,15.12570166393725,11.468336622494506
17,22.839005,20.3331966,21.316671,19.5720266,108,125,24,27,26.752699999999997,4,8,6,20,1.7446443999999985,15.063162682607404,11.146021624948515
18,25.228785000000002,20.9273306,22.945291,20.1661606,116,130,27,27,29.365599999999997,5,8,6,23,2.7791303999999983,14.843771848896765,11.145855073259495
19,27.920825,23.158790600000003,25.637331,21.6364506,127,134,29,30,31.052999999999997,5,8,7,23,4.000880399999998,14.611583256451926,11.079738790184756
