,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.568342,1.64248,0.568342,1.64248,3,8,1,5,0.5492,l,2021-08-14 11:30:00,0,0,1,0,-1.074138,7.242424242424242,12.590909090909092
1,h,0.966093,1.85713,0.966093,1.09596,4,6,2,2,0.6439,d,2021-08-21 14:00:00,0,1,0,1,-0.12986700000000007,5.428571428571429,17.0
2,a,1.52078,1.71102,1.52078,1.71102,9,2,1,1,1.1537,d,2021-08-29 13:00:00,0,1,0,1,-0.19023999999999996,8.133333333333333,14.416666666666666
3,h,0.652514,4.4016,0.652514,4.4016,8,15,0,3,0.0453,l,2021-09-12 15:30:00,0,0,1,0,-3.749086,38.0,16.8
4,a,1.42995,1.17668,1.42995,1.17668,13,10,1,1,1.5584000000000002,d,2021-09-17 19:00:00,0,1,0,1,0.2532700000000001,5.538461538461538,16.9
5,h,1.1967,1.98962,1.1967,1.98962,8,5,1,2,0.8236999999999999,l,2021-09-25 14:00:00,0,0,1,0,-0.7929199999999998,13.642857142857142,20.333333333333332
6,h,1.57388,0.192794,1.57388,0.192794,9,4,1,0,2.5128000000000004,w,2021-10-02 14:00:00,1,0,0,3,1.381086,6.75,13.857142857142858
7,a,0.446173,1.83082,0.446173,1.83082,4,4,0,1,0.348,l,2021-10-16 14:00:00,0,0,1,0,-1.384647,5.612903225806452,7.647058823529412
8,h,1.71313,0.858644,0.951964,0.858644,4,2,1,1,2.0893,d,2021-10-23 14:00:00,0,1,0,1,0.09332000000000007,3.6,15.555555555555555
9,a,1.16855,0.661887,1.16855,0.661887,5,2,2,1,1.8229,w,2021-10-31 14:00:00,1,0,0,3,0.506663,4.285714285714286,8.727272727272727
10,h,1.96551,0.795292,1.96551,0.795292,5,4,1,1,2.3402000000000003,d,2021-11-07 14:00:00,0,1,0,1,1.1702180000000002,8.772727272727273,12.444444444444445
11,a,1.46689,2.31744,1.46689,2.31744,5,8,1,2,0.7541,l,2021-11-21 16:30:00,0,0,1,0,-0.8505499999999999,7.419354838709677,9.59375
12,a,0.864829,1.90498,0.864829,1.90498,6,13,0,0,0.6196999999999999,d,2021-11-27 17:30:00,0,1,0,1,-1.0401509999999998,6.837837837837838,9.238095238095237
13,h,1.9818,0.707328,1.22063,0.707328,5,4,1,0,2.4334000000000002,w,2021-11-30 20:15:00,1,0,0,3,0.5133020000000001,3.8421052631578947,12.636363636363637
14,h,1.41896,1.19959,1.41896,1.19959,7,5,2,2,1.5383,d,2021-12-05 14:00:00,0,1,0,1,0.21937000000000006,4.785714285714286,11.08695652173913
15,a,1.72934,2.74844,0.968172,1.2261,1,8,2,3,0.6751,l,2021-12-11 15:00:00,0,0,1,0,-0.25792799999999994,11.722222222222221,7.0
16,a,0.227498,3.31349,0.227498,3.31349,2,14,0,7,0.04529999999999999,l,2021-12-14 20:00:00,0,0,1,0,-3.0859919999999996,27.0,11.65
17,h,1.31408,3.69008,0.55291,3.69008,7,14,1,4,0.2098,l,2021-12-18 17:30:00,0,0,1,0,-3.1371700000000002,14.125,7.483870967741935
18,h,2.04186,0.960493,2.04186,0.960493,8,2,3,1,2.1539,w,2022-01-02 14:00:00,1,0,0,3,1.0813669999999997,6.166666666666667,8.619047619047619
