,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.568342,1.64248,0.568342,1.64248,3,8,1,5,0.5492,0,0,1,0,-1.074138,7.242424242424242,12.590909090909092
1,1.534435,3.4996099999999997,1.534435,2.7384399999999998,7,14,3,7,1.1931,0,1,1,1,-1.204005,6.3354978354978355,14.795454545454547
2,3.055215,5.21063,3.055215,4.44946,16,16,4,8,2.3468,0,2,1,2,-1.394245,6.934776334776335,14.669191919191919
3,3.707729,9.61223,3.707729,8.85106,24,31,4,11,2.3921,0,2,2,2,-5.143331,14.701082251082251,15.20189393939394
4,5.137679,10.78891,5.137679,10.02774,37,41,5,12,3.9505000000000003,0,3,2,3,-4.890060999999999,12.868558108558108,15.541515151515153
5,6.334379,12.77853,6.334379,12.01736,45,46,6,14,4.7742,0,3,3,3,-5.682980999999999,12.997607947607946,16.340151515151515
6,7.908259,12.971324,7.908259,12.210154,54,50,7,14,7.287000000000001,1,3,3,6,-4.301894999999999,12.105092526521096,15.985435992578852
7,8.354432000000001,14.802143999999998,8.354432000000001,14.040973999999999,58,54,7,15,7.635000000000001,1,3,4,6,-5.686541999999999,11.293568863931766,14.94313884644767
8,10.067562,15.660787999999998,9.306396000000001,14.899617999999998,62,56,8,16,9.724300000000001,1,4,4,7,-5.593221999999999,10.438727879050457,15.011185147459656
9,11.236112,16.322674999999997,10.474946000000001,15.561504999999999,67,58,10,17,11.547200000000002,2,4,4,10,-5.086558999999999,9.823426519716842,14.382793905440963
10,13.201622,17.117966999999997,12.440456000000001,16.356797,72,62,11,18,13.887400000000003,2,5,4,11,-3.916340999999999,9.727908406354153,14.206580318077643
11,14.668512,19.435406999999998,13.907346,18.674237,77,70,12,20,14.641500000000002,2,5,5,11,-4.766890999999999,9.535528942383781,13.822177791571173
12,15.533341,21.340386999999996,14.772175,20.579217,83,83,12,20,15.261200000000002,2,6,5,12,-5.807041999999999,9.328014242034094,13.46955605668841
13,17.515141,22.047714999999997,15.992805,21.286545,88,87,13,20,17.6946,3,6,5,15,-5.293739999999999,8.936163600685793,13.410042312379497
14,18.934101,23.247304999999997,17.411765,22.486135,95,92,15,22,19.2329,3,7,5,16,-5.074369999999998,8.659466979687693,13.255169926336805
15,20.663441,25.995744999999996,18.379936999999998,23.712235,96,100,17,25,19.908,3,7,6,16,-5.332297999999998,8.850889182346101,12.864221805940755
16,20.890939,29.309234999999994,18.607435,27.025725,98,114,17,32,19.953300000000002,3,7,7,16,-8.418289999999997,9.918483936325742,12.792796993826594
17,22.205019,32.999314999999996,19.160345,30.715805000000003,105,128,18,36,20.163100000000004,3,7,8,16,-11.555459999999997,10.152179273196534,12.49785665904411
18,24.246879,33.959807999999995,21.202205,31.676298000000003,113,130,21,37,22.317000000000004,4,7,8,19,-10.474092999999996,9.942415451800224,12.293708814833769
