,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.78728,1.3333,1.78728,1.3333,13,3,3,0,1.7064,w,2021-08-14 16:30:00,1,0,0,3,0.45398000000000005,11.580645161290322,25.666666666666668
1,h,2.63945,0.690464,2.63945,0.690464,8,3,2,0,2.5683,w,2021-08-21 11:30:00,1,0,0,3,1.948986,7.0,12.727272727272727
2,h,2.08462,0.573638,1.32345,0.573638,6,4,1,1,2.4875,d,2021-08-28 16:30:00,0,1,0,1,0.749812,7.275862068965517,28.09090909090909
3,a,4.4016,0.652514,4.4016,0.652514,15,8,3,0,2.9307,w,2021-09-12 15:30:00,1,0,0,3,3.749086,16.8,38.0
4,h,2.76793,0.644168,2.76793,0.644168,8,8,3,0,2.7229,w,2021-09-18 14:00:00,1,0,0,3,2.1237619999999997,5.166666666666667,20.333333333333332
5,a,2.25736,2.94058,2.25736,2.94058,12,4,3,3,0.9266,d,2021-09-25 16:30:00,0,1,0,1,-0.6832200000000004,6.705882352941177,23.7
6,h,0.949368,1.04319,0.949368,1.04319,7,11,2,2,1.2774,d,2021-10-03 15:30:00,0,1,0,1,-0.09382200000000007,10.483870967741936,29.3
7,a,3.65553,0.302302,3.65553,0.302302,10,5,5,0,2.9688000000000003,w,2021-10-16 11:30:00,1,0,0,3,3.353228,4.88,45.09090909090909
8,a,4.04765,1.35584,4.04765,1.35584,13,7,5,0,2.7818,w,2021-10-24 15:30:00,1,0,0,3,2.6918100000000003,8.23076923076923,60.714285714285715
9,h,1.39778,1.51032,1.39778,1.51032,11,4,2,2,1.2456,d,2021-10-30 14:00:00,0,1,0,1,-0.11254000000000008,11.826086956521738,26.4
10,a,1.45641,1.25298,1.45641,1.25298,16,3,2,3,1.5019,l,2021-11-07 16:30:00,0,0,1,0,0.20343,6.636363636363637,20.6
11,h,3.97374,0.268025,3.97374,0.268025,13,0,4,0,2.9878,w,2021-11-20 17:30:00,1,0,0,3,3.7057149999999996,6.774193548387097,28.133333333333333
12,h,3.07278,0.966132,3.07278,0.966132,14,2,4,0,2.6828000000000003,w,2021-11-27 15:00:00,1,0,0,3,2.106648,9.61111111111111,15.217391304347826
13,a,2.86067,0.512263,2.86067,0.512263,10,1,4,1,2.786,w,2021-12-01 20:15:00,1,0,0,3,2.348407,4.461538461538462,15.636363636363637
14,a,2.42332,0.095167,2.42332,0.095167,16,1,1,0,2.8788,w,2021-12-04 15:00:00,1,0,0,3,2.328153,7.333333333333333,39.625
15,h,2.71181,0.140573,1.95064,0.140573,15,4,1,0,2.9112,w,2021-12-11 15:00:00,1,0,0,3,1.8100669999999999,5.233333333333333,24.727272727272727
16,h,2.93912,0.2064,2.93912,0.2064,14,2,3,1,2.9406000000000003,w,2021-12-16 20:00:00,1,0,0,3,2.73272,5.12,35.3
17,a,1.54944,2.79777,1.54944,2.79777,13,11,2,2,0.5444,d,2021-12-19 16:30:00,0,1,0,1,-1.24833,6.638888888888889,21.181818181818183
18,a,2.72682,0.615892,1.86362,0.615892,22,6,0,1,2.7552999999999996,l,2021-12-28 20:00:00,0,0,1,0,1.247728,6.0,18.583333333333332
19,a,1.78897,1.389,1.78897,1.389,4,8,2,2,1.6882000000000001,d,2022-01-02 16:30:00,0,1,0,1,0.39996999999999994,12.36,8.833333333333334
