,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.10585,1.06014,2.10585,1.06014,8,5,0,1,2.1266000000000003,0,0,1,0,1.0457100000000001,6.136363636363637,17.294117647058822
1,4.54513,1.0851488,4.54513,1.0851488,24,5,5,1,5.0511,1,0,1,3,3.4599812,6.877005347593583,22.438725490196077
2,9.01786,1.2019538,9.01786,1.2019538,38,5,10,1,8.0394,2,0,1,6,7.815906200000001,6.26985541691424,32.340102707749764
3,11.76844,2.0020538,11.76844,2.0020538,52,11,11,1,10.6328,3,0,1,9,9.7663862,7.067776178070295,43.69257703081232
4,12.99295,2.4929768,12.99295,2.4929768,58,17,11,1,12.6089,3,1,1,10,10.4999732,7.960887609122902,38.25406162464986
5,14.68539,2.6871788000000003,14.68539,2.6871788000000003,67,21,12,1,15.1744,4,1,1,13,11.9982112,8.156295229824641,35.45130135387488
6,15.728580000000001,3.6365468000000005,15.728580000000001,3.6365468000000005,78,28,14,3,16.5745,4,2,1,14,12.0920332,11.176824482706834,31.884525584427315
7,17.8857,4.7137368,17.8857,4.7137368,96,34,16,3,18.7975,5,2,1,17,13.171963199999999,10.845897892956716,30.832293219707235
8,21.45946,5.883236800000001,21.45946,5.1220718000000005,106,41,20,4,21.5756,6,2,1,20,16.3373882,12.28365526992978,28.494605467325968
9,22.11685,6.933526800000001,22.11685,6.172361800000001,118,46,20,6,22.517200000000003,6,2,2,20,15.9444882,11.775289742936803,27.31356597322495
10,24.15887,7.693087800000001,24.15887,6.931922800000001,126,46,22,6,24.884500000000003,7,2,2,23,17.2269472,11.641567750495907,26.96420436068578
11,26.77189,7.9599818,26.77189,7.1988168,140,49,25,6,27.707300000000004,8,2,2,26,19.573073200000003,11.240881549065692,29.550520663961965
12,29.493759999999998,8.1317448,29.493759999999998,7.370579800000001,149,54,27,7,30.606200000000005,9,2,2,29,22.123180200000004,10.940300917086281,29.114507762209236
13,30.512729999999998,8.9038278,30.512729999999998,8.1426628,158,58,29,8,32.1349,10,2,2,32,22.370067200000005,10.782227474956741,28.113471493480006
14,34.544959999999996,9.5789328,34.544959999999996,8.8177678,185,60,32,9,35.0173,11,2,2,35,25.727192200000005,10.47909858446943,28.38146228280356
15,37.544109999999996,9.6552167,36.78295,8.8940517,208,61,33,9,37.9571,12,2,2,38,27.888898300000005,10.21477992294009,29.571906604414053
16,40.8576,9.882714700000001,40.09644,9.121549700000001,222,63,40,9,40.8782,13,2,2,41,30.974890300000006,10.29920463335538,29.420617980624993
17,44.504459999999995,10.056922700000001,43.743300000000005,9.295757700000001,233,68,44,9,43.8554,14,2,2,44,34.44754230000001,10.259706336731062,29.07853686474232
18,48.333149999999996,12.491172700000002,46.04965000000001,11.730007700000002,245,74,50,12,46.135400000000004,15,2,2,47,34.31964230000001,10.19121302076276,29.811245450808514
19,49.35077999999999,12.730001700000003,47.067280000000004,11.968836700000002,251,77,51,12,48.345000000000006,16,2,2,50,35.098443300000014,9.936197824270078,28.975228632813543
20,51.29700999999999,13.566950700000003,48.252340000000004,12.805785700000003,259,81,53,13,50.6345,17,2,2,53,35.44655430000002,9.796378880257217,28.220217745536708
