,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.3333,1.78728,1.3333,1.78728,3,13,0,3,1.0334999999999999,l,2021-08-14 16:30:00,0,0,1,0,-0.45398000000000005,25.666666666666668,11.580645161290322
1,a,0.0250088,2.43928,0.0250088,2.43928,0,16,0,5,0.0388,l,2021-08-21 14:00:00,0,0,1,0,-2.4142712,27.583333333333332,7.617647058823529
2,h,1.44084,1.27371,0.679671,1.27371,2,3,1,2,1.5021,l,2021-08-28 14:00:00,0,0,1,0,-0.5940389999999999,10.96,8.772727272727273
3,a,0.577292,2.68515,0.577292,2.68515,5,13,0,1,0.2151,l,2021-09-11 14:00:00,0,0,1,0,-2.1078580000000002,19.363636363636363,12.5
4,h,0.782665,2.42487,0.782665,2.42487,12,7,1,3,0.3517,l,2021-09-18 14:00:00,0,0,1,0,-1.6422049999999997,8.074074074074074,10.4
5,a,0.800903,2.26681,0.800903,1.50564,4,6,0,2,0.29469999999999996,l,2021-09-25 14:00:00,0,0,1,0,-0.7047370000000001,14.0,10.607142857142858
6,a,0.673617,0.584725,0.673617,0.584725,9,6,0,0,1.4089,d,2021-10-02 14:00:00,0,1,0,1,0.08889199999999997,16.166666666666668,7.6923076923076925
7,h,1.16088,1.17572,1.16088,1.17572,6,15,0,0,1.3029,d,2021-10-16 14:00:00,0,1,0,1,-0.014840000000000186,24.0,5.913043478260869
8,a,0.267429,3.10509,0.267429,2.34393,0,10,0,7,0.047,l,2021-10-23 11:30:00,0,0,1,0,-2.076501,18.166666666666668,6.888888888888889
9,h,0.661887,1.16855,0.661887,1.16855,2,5,1,2,0.8668,l,2021-10-31 14:00:00,0,0,1,0,-0.506663,8.727272727272727,4.285714285714286
10,a,1.15797,2.79229,0.396837,2.79229,4,11,2,1,0.3436,w,2021-11-06 15:00:00,1,0,0,3,-2.395453,14.722222222222221,6.782608695652174
11,h,0.43778,1.13118,0.43778,1.13118,4,9,2,1,0.7430999999999999,w,2021-11-20 15:00:00,1,0,0,3,-0.6934,10.75,7.764705882352941
12,h,1.4047,0.297157,1.4047,0.297157,9,5,0,0,2.3478999999999997,d,2021-11-27 15:00:00,0,1,0,1,1.1075430000000002,13.333333333333334,16.0
13,a,1.51084,1.15636,1.51084,0.395187,8,2,1,1,1.62,d,2021-11-30 19:30:00,0,1,0,1,1.115653,4.923076923076923,36.625
14,a,1.06562,2.00668,1.06562,2.00668,9,3,0,3,0.6900999999999999,l,2021-12-05 14:00:00,0,0,1,0,-0.9410599999999998,22.545454545454547,24.05263157894737
15,h,0.986107,2.09817,0.986107,1.337,8,9,0,1,0.5436,l,2021-12-11 17:30:00,0,0,1,0,-0.350893,24.7,8.551724137931034
16,h,0.502647,1.96261,0.502647,1.96261,5,14,0,2,0.2555,l,2021-12-14 19:45:00,0,0,1,0,-1.4599630000000001,8.772727272727273,14.15
17,h,0.154212,2.87539,0.154212,2.11422,1,10,0,5,0.0342,l,2021-12-26 15:00:00,0,0,1,0,-1.960008,13.88,9.5625
18,a,0.594134,2.38978,0.594134,1.62862,5,8,0,3,0.263,l,2021-12-28 15:00:00,0,0,1,0,-1.0344859999999998,11.142857142857142,10.894736842105264
