,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.3333,1.78728,1.3333,1.78728,3,13,0,3,1.0334999999999999,0,0,1,0,-0.45398000000000005,25.666666666666668,11.580645161290322
1,1.3583087999999999,4.22656,1.3583087999999999,4.22656,3,29,0,8,1.0722999999999998,0,0,2,0,-2.8682512,26.625,9.599146110056925
2,2.7991487999999998,5.50027,2.0379798,5.50027,5,32,1,10,2.5744,0,0,3,0,-3.4622902,21.403333333333336,9.323673164280374
3,3.3764407999999997,8.18542,2.6152718,8.18542,10,45,1,11,2.7895,0,0,4,0,-5.5701482,20.893409090909092,10.11775487321028
4,4.1591058,10.61029,3.3979368,10.61029,22,52,2,14,3.1412,0,0,5,0,-7.2123532,18.329542087542087,10.174203898568225
5,4.9600088,12.8771,4.1988398,12.11593,26,58,2,16,3.4359,0,0,6,0,-7.9170902,17.607951739618407,10.246360391663996
6,5.6336258,13.461825000000001,4.8724568,12.700655000000001,35,64,2,16,4.8448,0,1,6,1,-7.828198199999999,17.402053872053873,9.881495720327381
7,6.7945058,14.637545000000001,6.0333368,13.876375000000001,41,79,2,16,6.1477,0,2,6,2,-7.8430382,18.22679713804714,9.385439190069068
8,7.0619347999999995,17.742635,6.3007658,16.220305,41,89,2,23,6.1947,0,2,7,2,-9.9195392,18.220115974560418,9.108044712160158
9,7.7238218,18.911185,6.9626528,17.388855,43,94,3,25,7.0615000000000006,0,2,8,2,-10.426202199999999,17.27083164983165,8.625811669515572
10,8.8817918,21.703475,7.3594897999999995,20.181145,47,105,5,26,7.405100000000001,1,2,8,5,-12.821655199999999,17.039139883685337,8.458247762800717
11,9.3195718,22.834655,7.7972698,21.312325,51,114,7,27,8.148200000000001,2,2,8,8,-13.515055199999999,16.515044893378228,8.400452606096737
12,10.7242718,23.131812,9.2019698,21.609482,60,119,7,27,10.4961,2,3,8,9,-12.4075122,16.27029785029785,8.985033174858525
13,12.2351118,24.288172,10.7128098,22.004669,68,121,8,28,12.1161,2,4,8,10,-11.2918592,15.45978206978207,10.959316519511487
14,13.300731800000001,26.294852,11.778429800000001,24.011349,77,124,8,31,12.806199999999999,2,4,9,10,-12.2329192,15.932160234826904,11.832204190140546
15,14.286838800000002,28.393022,12.764536800000002,25.348349,85,133,8,32,13.349799999999998,2,4,10,10,-12.583812199999999,16.48015022015022,11.627174186877452
16,14.789485800000001,30.355632,13.267183800000002,27.310959,90,147,8,34,13.605299999999998,2,4,11,10,-14.043775199999999,16.026772399713575,11.775575705296426
17,14.9436978,33.231022,13.4213958,29.425179,91,157,8,39,13.639499999999998,2,4,12,10,-16.003783199999997,15.907507266396156,11.65262705500218
18,15.537831800000001,35.620802000000005,14.015529800000001,31.053799,96,165,8,42,13.902499999999998,2,4,13,10,-17.0382692,15.656736207262524,11.612738096428657
