,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,3.00939,1.67926,2.09241,1.67926,10,5,4,2,2.2684,1,0,0,3,0.41315000000000013,11.619047619047619,24.5
1,5.29552,2.30602,4.37854,2.30602,15,10,8,3,4.7667,2,0,0,6,2.07252,17.488095238095237,18.704545454545453
2,6.743,3.9826,5.82602,3.9826,26,16,10,5,5.901400000000001,2,1,0,7,1.84342,15.387125220458552,15.434609250398722
3,7.468407,4.674735,6.5514269999999994,4.674735,27,20,10,5,7.24,2,2,0,8,1.8766920000000002,13.465343915343915,17.55512360446571
4,9.135507,6.5701350000000005,7.457362,6.5701350000000005,34,27,11,7,8.4242,2,2,1,8,0.8872270000000003,14.132275132275131,16.55520999468368
5,11.125127,7.766835,9.446982,7.766835,39,35,13,8,10.3741,3,2,1,11,1.6801470000000003,15.165784832451498,16.06981785271259
6,12.497707,9.067815,10.819562,9.067815,47,36,14,10,11.7589,3,2,2,11,1.7517470000000002,13.85638699924414,15.692496934978138
7,14.528047,9.92198,12.849902,9.92198,56,44,15,10,14.038900000000002,4,2,2,14,2.9279219999999997,13.537800162800162,16.032405406341166
8,16.262727,10.594178,14.584582000000001,10.594178,62,46,16,10,16.293100000000003,5,2,2,17,3.990404,14.43229295516877,15.506582583414371
9,18.926637000000003,11.281728999999999,17.248492000000002,11.281728999999999,66,49,20,11,19.049800000000005,6,2,2,20,5.966763,13.676020181391024,16.230924325072934
10,20.179617000000004,12.738138999999999,18.501472000000003,12.738138999999999,69,65,23,13,20.263700000000004,7,2,2,23,5.763333,14.305472892173658,15.35869153519027
11,20.615948000000003,14.057168999999998,18.937803000000002,14.057168999999998,76,70,23,14,20.877500000000005,7,2,3,23,4.880634000000001,14.089540627349663,15.886492881616723
12,20.787711,16.779038999999997,19.109566,16.779038999999997,81,79,24,16,20.935400000000005,7,2,4,23,2.3305270000000005,14.842833882259416,15.22855753174877
13,21.934501,18.039738999999997,20.256356,18.039738999999997,86,89,25,17,22.187600000000003,7,3,4,24,2.2166170000000003,14.737988604955174,14.393354442746306
14,23.951901,19.410228999999998,21.512586,19.410228999999998,90,102,28,19,24.066300000000005,8,3,4,27,2.1023570000000005,14.595456031291494,14.063797479896552
15,24.950713999999998,19.958239,22.511398999999997,19.958239,98,105,28,19,25.806300000000007,8,4,4,28,2.5531600000000005,14.131769441100483,13.898045431520664
16,25.289568999999997,22.773059,22.850253999999996,22.011889,98,118,28,21,25.900600000000008,8,4,5,28,0.8383650000000005,14.091338558944246,13.615272705602337
17,26.827018999999996,24.129489,24.387703999999996,22.607146,108,120,30,24,27.415900000000008,8,4,6,28,1.7805580000000005,13.83935061431154,13.379070686604228
18,29.667858999999996,25.143788999999998,26.467373999999996,23.621446,114,123,34,25,29.99300000000001,9,4,6,31,2.8459280000000007,13.35960257834959,13.150881611565561
19,31.899319,27.835828999999997,27.937663999999995,26.313485999999997,118,134,37,27,31.07650000000001,10,4,6,34,1.6241780000000008,13.182798920020346,13.003337530987285
