,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.978788,0.399306,0.978788,0.399306,5,4,1,1,1.8794,0,1,0,1,0.579482,6.666666666666667,15.8
1,2.2895779999999997,1.7170459999999999,2.2895779999999997,1.7170459999999999,9,7,1,2,3.1974,0,1,1,1,0.572532,7.871794871794872,11.677777777777777
2,3.3258579999999998,2.480702,3.3258579999999998,2.480702,14,8,2,3,4.7587,0,2,1,2,0.8451560000000001,7.247863247863248,10.562962962962963
3,3.9290939999999996,4.160052,3.9290939999999996,4.160052,16,20,4,4,5.329000000000001,1,2,1,5,-0.23095799999999989,7.8983974358974365,9.27449494949495
4,4.192322,5.849052,4.192322,5.849052,17,31,4,5,5.656000000000001,1,2,2,5,-1.65673,8.968717948717948,8.400241120886282
5,4.913672,6.80632,4.913672,6.80632,19,37,5,5,6.745500000000001,2,2,2,8,-1.8926479999999999,9.050320512820514,8.1142360217912
6,7.254341999999999,7.317464,6.511062,7.317464,21,38,7,7,9.417200000000001,2,3,2,9,-0.8064019999999998,8.422596153846154,7.943154685344838
7,7.590592999999999,10.068234,6.847313,10.068234,25,46,7,9,9.520900000000001,2,3,3,9,-3.220921,8.146286786130537,7.559234708651092
8,7.900761999999999,10.98986,7.157482,10.98986,27,50,7,10,10.118400000000001,2,3,4,9,-3.8323780000000003,7.992995661745662,7.19743421913767
9,9.222842,12.45567,8.479562,12.45567,29,51,8,12,11.3473,2,3,5,9,-3.9761080000000004,7.805696095571096,7.381024130557236
10,9.933668,15.33874,9.190387999999999,15.33874,31,64,9,14,11.506300000000001,2,3,6,9,-6.148352000000001,8.171844935367663,7.053895454656776
11,9.9829985,16.59967,9.239718499999999,16.59967,31,68,9,14,11.8161,2,4,6,10,-7.359951500000001,8.72233933890184,6.98780996387016
12,10.7831585,17.8583,10.039878499999999,17.8583,40,70,9,15,12.762,2,4,7,10,-7.818421500000001,8.480236312832467,6.75797842818784
13,12.1799885,19.43371,11.436708499999998,19.43371,40,71,11,20,14.005700000000001,2,4,8,10,-7.997001500000001,8.35897719731959,7.009031917083514
14,13.5138785,20.6854,12.027317499999999,20.6854,41,80,12,24,15.450600000000001,2,4,9,10,-8.6580825,8.449987912900582,7.129998416728927
15,14.8785585,22.134610000000002,13.391997499999999,21.391335,41,87,13,24,16.7028,3,4,9,13,-7.999337500000001,8.584363668344295,6.846410552720407
16,16.2591785,22.709208000000004,14.0293365,21.965933000000003,44,91,15,25,18.8966,4,4,9,16,-7.936596500000001,8.489205021186788,6.577554759558355
17,17.389498500000002,23.781198000000003,15.159656499999999,23.037923000000003,46,100,15,27,20.2791,4,4,10,16,-7.878266500000001,8.609249186676411,6.570931346990298
18,18.211900500000002,26.020838000000005,15.982058499999999,25.277563000000004,47,112,17,30,20.6729,4,4,11,16,-9.295504500000002,8.945604492640811,6.378939008889594
19,18.5124515,28.462618000000006,16.2826095,27.719343000000006,54,121,17,33,20.8144,4,4,12,16,-11.436733500000003,9.14519926800877,6.295475929412856
20,20.4436715,29.285444000000005,18.2138295,28.542169000000005,57,122,18,33,23.025399999999998,5,4,12,19,-10.328339500000002,8.939527253176054,6.384162539290439
21,21.8164015,30.315174000000006,19.5865595,29.571899000000005,59,124,20,34,24.6942,6,4,12,22,-9.985339500000002,8.809279381398692,6.2790382680239905
22,22.941101500000002,31.227542000000007,19.9679795,30.484267000000006,61,125,22,36,26.228299999999997,6,5,12,23,-10.516287500000002,8.699722611955728,6.251856002190172
23,23.273049500000003,33.00674200000001,20.2999275,31.520187000000007,64,130,22,39,26.4885,6,5,13,23,-11.220259500000003,8.602019116027465,6.198258553823052
24,23.658692500000004,34.94002200000001,20.6855705,33.45346700000001,65,141,22,39,26.821199999999997,6,6,13,24,-12.767896500000003,8.5762716847197,6.056134663283034
25,24.168081500000003,36.818762000000014,21.1949595,35.33220700000001,69,149,22,40,27.203599999999998,6,6,14,24,-14.137247500000003,8.615980298852554,6.081947665744176
26,25.505881500000005,38.213692000000016,22.5327595,36.72713700000001,74,153,22,40,28.549,6,7,14,25,-14.194377500000002,8.66724028778394,6.037245900346243
27,25.847465500000006,39.647252000000016,22.874343500000002,38.16069700000001,76,160,23,42,29.0509,6,7,15,25,-15.2863535,8.635969801315467,6.0138068460821765
28,27.187675500000005,42.102612000000015,23.471273500000002,40.61605700000001,80,167,24,46,29.6386,6,7,16,25,-17.144783500000003,8.588752451844819,5.992110588790219
