,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.91721,0.673965,1.91721,0.673965,9,4,3,1,2.3166,w,2014-08-24 20:00:00,1,0,0,3,1.243245,5.378378378378378,12.4
1,a,0.786352,0.241504,0.786352,0.241504,9,2,1,1,1.8725,d,2014-08-30 18:00:00,0,1,0,1,0.544848,6.121212121212121,12.37037037037037
2,h,2.85395,1.30012,2.85395,1.30012,1,6,2,2,2.4834,d,2014-09-13 21:00:00,0,1,0,1,1.5538300000000003,7.538461538461538,13.375
3,a,0.926164,2.42868,0.182886,2.42868,4,12,2,2,0.3961,d,2014-09-20 19:00:00,0,1,0,1,-2.245794,8.38888888888889,9.23076923076923
4,h,1.19299,1.04057,1.19299,0.297295,3,4,2,1,1.4133000000000002,w,2014-09-23 21:00:00,1,0,0,3,0.895695,4.857142857142857,9.545454545454545
5,a,2.04008,0.402099,2.04008,0.402099,12,3,1,0,2.5655,w,2014-09-26 20:00:00,1,0,0,3,1.6379810000000001,7.0,11.130434782608695
6,h,1.17846,2.02409,1.17846,2.02409,8,5,1,3,0.764,l,2014-10-05 16:00:00,0,0,1,0,-0.8456300000000001,3.9,8.06060606060606
7,a,0.221015,2.66245,0.221015,1.91917,4,6,1,1,0.0627,d,2014-10-18 17:00:00,0,1,0,1,-1.698155,5.821428571428571,10.0
8,h,1.88024,0.207108,1.88024,0.207108,4,1,3,0,2.6434,w,2014-10-24 20:00:00,1,0,0,3,1.6731319999999998,5.333333333333333,17.03846153846154
9,a,1.55562,2.66159,1.55562,2.66159,5,16,1,0,0.7141,w,2014-11-01 19:00:00,1,0,0,3,-1.10597,6.928571428571429,5.333333333333333
10,h,1.3927,1.30763,1.3927,1.30763,11,2,0,0,1.3753,d,2014-11-08 21:00:00,0,1,0,1,0.08506999999999998,4.785714285714286,17.666666666666668
