,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.37841,0.612645,0.37841,0.612645,4,4,0,2,1.0183,0,0,1,0,-0.23423499999999997,21.5625,8.48
1,0.6199140000000001,1.398997,0.6199140000000001,1.398997,6,13,1,3,1.7379,0,1,1,1,-0.779083,16.966435185185183,7.300606060606061
2,1.3835700000000002,2.435277,1.3835700000000002,2.435277,7,18,2,4,2.8453,0,2,1,2,-1.051707,14.088734567901234,6.867070707070707
3,2.285501,5.076737,2.285501,4.333837,9,30,3,7,3.1478,0,2,2,2,-2.048336,12.747106481481481,7.544242424242425
4,2.402168,6.341017,2.402168,5.598117,12,32,3,10,3.5178000000000003,0,2,3,2,-3.1959489999999997,12.701685185185184,7.888025518341308
5,2.539287,6.453544,2.539287,5.710644,13,33,3,10,4.6548,0,3,3,3,-3.1713569999999995,11.603256172839506,7.490021265284423
6,2.9163289999999997,7.914344,2.9163289999999997,7.171444,13,34,4,11,5.1227,0,4,3,4,-4.255115,11.66642736892737,7.157345416326741
7,3.3122779999999996,9.327264,3.3122779999999996,7.8410850000000005,15,45,5,13,5.5367,0,4,4,4,-4.5288070000000005,10.67955251924002,7.076779803388463
8,5.411657999999999,10.294995,5.411657999999999,8.808816,20,46,6,14,8.1108,0,5,4,5,-3.3971580000000006,9.959602239324461,7.150553240872049
9,6.197305999999999,12.068525000000001,6.197305999999999,10.582346000000001,20,54,8,18,8.728499999999999,0,5,5,5,-4.385040000000001,10.596975348725348,6.997660078947007
10,7.423156,12.286254000000001,6.679879,10.800075000000001,22,56,8,18,11.157799999999998,0,6,5,6,-4.120196000000001,10.020965732042807,8.42444622561616
11,8.365124,14.396894000000001,7.621847,11.424284000000002,29,59,10,20,11.624499999999998,0,7,5,7,-3.8024370000000007,10.015250333737653,8.412885230624338
12,8.906447,15.239434000000001,8.16317,12.266824000000002,32,66,10,22,12.629699999999998,0,7,6,7,-4.103654000000001,10.214077231142447,8.408817135960927
13,10.100347,15.850458000000001,9.357069999999998,12.877848000000002,32,76,11,22,14.527699999999998,1,7,6,10,-3.520778000000001,10.540891263504452,8.290330197678005
14,10.906661999999999,16.453871000000003,10.163384999999998,13.481261000000002,37,80,11,22,16.045199999999998,1,8,6,11,-3.317876000000001,10.538165179270823,8.468505715363667
15,11.203282,19.047451000000002,10.460004999999999,16.074841000000003,38,91,11,27,16.159799999999997,1,8,7,11,-5.614836000000001,12.330918744455285,8.24586473315344
16,12.183323,19.548662000000004,11.440045999999999,16.576052000000004,39,96,13,27,18.085599999999996,2,8,7,14,-5.136006000000001,12.191543433695472,8.083548365702441
17,12.757189,21.336912000000005,12.013912,18.364302000000006,43,104,14,27,18.546899999999997,3,8,7,17,-6.350390000000001,12.315517516438886,7.9594623453856395
