,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.379371,0.548351,0.379371,0.548351,4,2,1,2,1.0774,0,0,1,0,-0.16898000000000002,5.8,4.775
1,2.278811,2.784211,1.5355310000000002,2.784211,8,9,3,4,2.2356999999999996,0,1,1,1,-1.2486800000000002,7.525,6.254166666666666
2,2.9513890000000003,3.196933,2.2081090000000003,3.196933,9,15,4,4,3.9215999999999998,1,1,1,4,-0.9888240000000001,7.883333333333333,6.762037037037037
3,4.699749000000001,5.253373,3.2131890000000003,5.253373,9,18,6,12,5.08,1,1,2,4,-2.040184,11.741447368421053,8.26717995169082
4,5.740319,6.446363,3.5104840000000004,6.446363,13,21,7,14,6.3202,1,1,3,4,-2.935879,11.302248803827752,7.585172532781227
5,6.697587,7.167713,4.467752000000001,7.167713,19,23,7,15,7.8846,1,1,4,4,-2.699961,10.532575757575758,7.897365999539912
6,6.925404,11.071213,4.695569000000001,10.327933,21,32,8,19,7.9026,1,1,5,4,-5.632364,12.563636363636363,8.541898129475769
7,7.920213,11.635283,5.690378000000001,10.892002999999999,25,34,11,19,9.666599999999999,2,1,5,7,-5.201625,12.319268774703556,8.083031831033233
8,8.0134258,12.04581,5.783590800000001,11.302529999999999,25,37,11,19,10.473299999999998,2,2,5,8,-5.5189392,13.67268335529205,7.78985545474559
9,8.7740648,13.62941,6.544229800000001,12.88613,30,44,12,21,11.174699999999998,2,2,6,8,-6.3419002,12.995891210239034,7.5690094441547515
10,8.9917938,14.85526,6.761958800000001,13.368703,32,46,12,21,11.517799999999998,2,3,6,9,-6.6067442000000005,13.87738361769982,7.268269455160446
11,9.4236548,15.484435,7.193819800000001,13.997878,32,49,12,21,12.584499999999998,2,4,6,10,-6.804058200000001,13.255657205113723,7.217178035046501
12,9.5274708,16.558945,7.297635800000001,15.072388,32,53,12,23,12.861399999999998,2,4,7,10,-7.774752200000001,12.939953970221525,7.160262242140827
13,12.1719408,16.934333000000002,9.198825800000002,15.447776,35,59,12,24,15.670699999999998,2,4,8,10,-6.248950200000001,12.331605609711199,7.2321482724641015
14,12.9338338,17.843647,9.960718800000002,16.35709,38,62,13,24,16.8483,3,4,8,13,-6.396371200000001,11.89570546561551,7.162908280106279
