,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.10804,1.54124,0.10804,1.54124,0,12,0,3,0.2245,0,0,1,0,-1.4332,18.392857142857142,6.545454545454546
1,1.4645599999999999,2.303978,1.4645599999999999,2.303978,4,17,1,4,2.0859,0,1,1,1,-0.8394180000000001,12.144704433497537,10.588516746411484
2,2.0351909999999998,3.724418,2.0351909999999998,2.9811449999999997,4,26,4,6,2.6755,1,1,1,4,-0.9459540000000001,10.135229312254173,7.914566719829878
3,3.0687309999999997,4.627476,3.0687309999999997,3.884203,11,28,4,8,4.1229,1,1,2,4,-0.8154720000000002,9.56392198419063,9.327229387698495
4,4.1432009999999995,8.565325999999999,3.3999269999999995,6.335502999999999,11,36,5,13,4.2204,1,1,3,4,-2.935576,12.439372881470153,9.513957423202275
5,4.545299999999999,10.605405999999999,3.8020259999999997,8.375582999999999,14,48,5,14,4.5053,1,1,4,4,-4.573557,12.22121653165991,9.094964519335228
6,5.056443999999999,12.946075999999998,4.3131699999999995,9.972973,15,50,7,16,4.7107,1,2,4,5,-5.659803,11.463423693803733,8.460862445144482
7,5.533023999999999,15.475705999999999,4.78975,12.502603,16,61,7,18,4.829,1,2,5,5,-7.712853,10.712787398744933,8.403254639501421
8,6.032007999999999,16.660715999999997,5.288734,13.687613,19,64,8,21,5.5819,1,2,6,5,-8.398878999999999,10.457343588156414,8.54220925220639
9,8.384348,18.680666,7.641074,14.964283,23,71,10,22,7.1963,2,2,6,8,-7.323208999999999,10.271609229340772,8.331466587855317
10,9.275464999999999,19.382042,8.532191,15.665659,28,73,10,22,8.7173,2,3,6,9,-7.133468,10.428735663037067,8.213791174144564
11,11.386104999999999,20.324009999999998,9.1564,16.607627,31,80,12,24,11.0515,2,4,6,10,-7.451226999999999,10.250150548260168,8.358673655664264
12,12.135929999999998,21.65234,9.906225,17.935957000000002,32,86,12,27,11.918800000000001,2,4,7,10,-8.029732,10.164974132459935,8.672963716339662
13,12.560592999999999,21.931371,10.330888,18.214988,33,91,12,29,13.3079,2,4,8,10,-7.884099999999999,10.260333122998512,8.723795978359357
14,13.469907,22.693264,11.240202,18.976881000000002,36,94,12,30,14.784600000000001,2,4,9,10,-7.736679,9.989214140605062,8.52841647635379
15,13.9782,24.128374,11.748495,20.411991000000004,38,97,13,32,15.3763,2,4,10,10,-8.663496,9.808638256817245,8.346351985043217
16,15.49765,27.032524000000002,13.267945000000001,23.316141000000005,40,107,15,34,15.917100000000001,2,5,10,11,-10.048196,9.670875222102506,8.241203252359014
17,16.68234,28.325284000000003,14.452635,24.608901000000007,44,112,17,35,17.189500000000002,3,5,10,14,-10.156266,9.67990067272644,8.066512749091757
