,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.74903,1.17197,1.74903,1.17197,4,8,1,1,1.8235999999999999,0,1,0,1,0.5770600000000001,10.65,9.416666666666666
1,3.7176600000000004,2.3039300000000003,2.81867,2.3039300000000003,9,12,4,1,3.8804,1,1,0,4,0.51474,8.358333333333334,12.392543859649123
2,5.579650000000001,3.3960800000000004,4.68066,2.6529290000000003,16,17,7,2,5.918,2,1,0,7,2.027731,8.166425120772947,11.903671215074723
3,7.122240000000001,3.6308200000000004,5.480102,2.8876690000000003,20,18,10,2,8.5103,3,1,0,10,2.592433,9.418297101449276,10.927753411306043
4,8.38652,3.7474870000000005,6.744382,3.0043360000000003,22,21,13,2,10.871100000000002,4,1,0,13,3.7400460000000004,9.38726926010679,11.246202729044834
5,8.941337,4.510364000000001,7.299199,3.7672130000000004,24,25,14,3,12.016500000000002,4,2,0,14,3.5319860000000003,9.970872531570473,10.441728080655642
6,9.959967,6.198634000000001,8.317829,4.712201,26,26,17,4,12.807300000000003,5,2,0,17,3.6056280000000003,9.96854009199547,9.76111254839608
7,10.524037,7.193443000000001,8.881898999999999,5.70701,28,30,17,7,13.701000000000004,5,2,1,17,3.1748890000000003,9.331343548237973,9.867060436368307
8,11.709047,7.692427000000001,10.066908999999999,6.2059940000000005,31,33,20,8,15.639500000000004,6,2,1,20,3.8609150000000003,9.367177171083325,9.705586288266081
9,12.048521,8.645757000000001,10.406382999999998,7.159324000000001,33,42,23,9,16.345800000000004,7,2,1,23,3.247059,9.44117373968928,9.297990622402436
10,12.81485,9.413585000000001,11.172711999999999,7.927152,37,45,23,9,17.639200000000002,7,3,1,24,3.2455600000000002,9.227513317072898,9.089082384002214
11,14.29717,10.492385,12.655031999999999,9.005952,47,48,24,11,19.304800000000004,7,3,2,24,3.6490800000000005,8.814614480044096,9.180424284100797
12,15.44708,12.444325000000001,13.804941999999999,10.957892000000001,51,60,24,12,20.019500000000004,7,3,3,24,2.8470500000000003,9.85291336619455,8.856004182474809
13,16.098618,13.624425,14.456479999999999,12.137992,57,66,25,13,20.805400000000006,7,4,3,25,2.3184880000000003,9.65593656112623,8.697116665681495
14,19.114107999999998,14.227958000000001,17.47197,12.741525000000001,61,67,28,13,23.625900000000005,8,4,3,28,4.730445,9.804515149358842,8.583975554636062
15,20.609018,14.549157000000001,18.96688,13.062724000000001,65,69,29,13,26.180600000000005,9,4,3,31,5.9041559999999995,10.054232952523915,8.306097772126481
16,21.318001,17.183677000000003,19.675863,14.953964000000001,68,76,31,14,26.425400000000007,10,4,3,34,4.721899,9.86280748472839,8.223386138471982
17,21.616121,19.409687,19.973983,16.436694000000003,71,82,32,15,26.544300000000007,10,5,3,35,3.5372889999999995,9.788832068910146,7.987252073722037
18,23.855761,20.232089000000002,22.213623000000002,17.259096000000003,83,83,35,17,28.966400000000007,11,5,3,38,4.954527,9.427476534918926,8.35634406984193
19,26.520631,22.210919,24.135223000000003,17.751367000000002,90,90,38,18,30.838300000000007,12,5,3,41,6.383856,9.24664324871352,8.249637977460946
20,27.176830000000002,23.898669,24.791422000000004,19.439117000000003,97,92,38,19,31.387400000000007,12,5,4,41,5.352304999999999,9.126326903536684,8.111624328598584
21,28.671650000000003,25.477939000000003,26.286242000000005,21.018387000000004,101,97,40,20,32.68410000000001,13,5,4,44,5.267854999999999,8.910907352202905,8.020040231550848
22,30.817630000000005,26.127444000000004,27.688942000000004,21.667892000000005,109,98,41,20,35.193200000000004,14,5,4,47,6.021049999999999,8.783028639920039,8.07875023758648
