,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.693517,2.20399,0.693517,2.20399,1,4,0,0,0.2485,d,2015-08-23 00:30:00,0,1,0,1,-1.5104730000000002,5.117647058823529,9.777777777777779
1,a,0.0816438,1.7022,0.0816438,0.958918,0,14,0,3,0.1342,l,2015-08-30 00:00:00,0,0,1,0,-0.8772742,30.214285714285715,6.21875
2,h,0.61631,2.11613,0.61631,2.11613,3,5,1,3,0.3669,l,2015-09-14 22:30:00,0,0,1,0,-1.4998200000000002,8.866666666666667,11.451612903225806
3,a,1.77993,0.401504,1.77993,0.401504,5,5,1,0,2.5359000000000003,w,2015-09-20 22:30:00,1,0,0,3,1.378426,5.2894736842105265,6.739130434782608
4,h,2.90667,0.532738,2.1634,0.532738,8,2,2,1,2.8478999999999997,w,2015-09-23 22:00:00,1,0,0,3,1.630662,4.586206896551724,9.576923076923077
5,a,0.920477,2.76392,0.920477,2.76392,2,12,2,3,0.3033,l,2015-09-26 22:30:00,0,0,1,0,-1.8434430000000002,5.628571428571429,8.538461538461538
6,h,1.2884,1.68781,1.2884,1.68781,8,6,0,2,1.0164,l,2015-10-04 14:00:00,0,0,1,0,-0.39941000000000004,2.911764705882353,10.583333333333334
7,a,2.83637,4.61543,2.83637,3.129,9,3,2,5,0.5107,l,2015-10-17 22:30:00,0,0,1,0,-0.29262999999999995,8.419354838709678,10.068965517241379
8,h,1.85851,1.41105,1.11561,0.667772,4,2,3,0,1.7452999999999999,w,2015-10-23 22:30:00,1,0,0,3,0.44783799999999996,4.545454545454546,18.166666666666668
9,a,0.502135,1.26188,0.502135,1.26188,3,5,0,1,0.7130000000000001,l,2015-11-01 15:00:00,0,0,1,0,-0.7597449999999999,7.384615384615385,6.275
10,h,0.825919,0.483537,0.825919,0.483537,1,3,2,1,1.7288,w,2015-11-07 23:30:00,1,0,0,3,0.34238199999999996,11.478260869565217,6.285714285714286
11,a,1.1181,0.721945,0.234495,0.721945,0,5,1,1,1.8281,d,2015-11-23 23:30:00,0,1,0,1,-0.48744999999999994,3.9642857142857144,8.931034482758621
12,h,1.45678,2.24726,1.45678,1.50398,8,3,0,3,0.7944,l,2015-11-29 21:15:00,0,0,1,0,-0.04720000000000013,4.56,7.7
13,a,0.325638,1.60179,0.325638,1.60179,1,7,1,2,0.34540000000000004,l,2015-12-06 19:00:00,0,0,1,0,-1.2761520000000002,5.387096774193548,7.193548387096774
14,h,1.12081,1.43186,1.12081,1.43186,6,12,1,2,1.1098,l,2015-12-13 15:00:00,0,0,1,0,-0.3110499999999998,6.444444444444445,5.5
15,a,0.93456,5.71778,0.93456,4.9745,4,19,2,10,0.015,l,2015-12-20 19:00:00,0,0,1,0,-4.03994,15.466666666666667,10.413793103448276
16,h,0.372305,2.20164,0.372305,2.20164,2,10,0,2,0.24930000000000002,l,2015-12-30 21:15:00,0,0,1,0,-1.829335,4.633333333333334,6.0256410256410255
17,h,0.924233,1.31907,0.924233,1.31907,1,3,2,2,1.0232999999999999,d,2016-01-03 15:00:00,0,1,0,1,-0.394837,7.428571428571429,4.296296296296297
18,a,0.34525,0.954929,0.34525,0.954929,3,4,1,2,0.7133,l,2016-01-10 01:05:00,0,0,1,0,-0.6096790000000001,5.107142857142857,10.045454545454545
19,a,1.82333,1.26687,1.82333,1.26687,7,5,2,2,1.7705,d,2016-01-17 15:00:00,0,1,0,1,0.55646,5.526315789473684,8.4
20,h,3.20178,0.133975,3.20178,0.133975,4,3,3,0,2.9373000000000005,w,2016-01-24 01:05:00,1,0,0,3,3.067805,3.4838709677419355,5.7
21,a,1.13142,1.42948,1.13142,1.42948,4,9,2,2,1.1393,d,2016-02-01 23:30:00,0,1,0,1,-0.29806,6.583333333333333,6.344827586206897
22,h,3.09731,0.273377,3.09731,0.273377,8,3,2,0,2.9434,w,2016-02-06 21:15:00,1,0,0,3,2.823933,6.7272727272727275,7.241379310344827
23,a,1.73162,2.38598,1.73162,2.38598,5,2,2,2,0.8975,d,2016-02-12 23:30:00,0,1,0,1,-0.65436,5.571428571428571,13.0
24,h,1.66155,3.37315,1.66155,3.37315,8,6,2,2,0.3829,d,2016-02-21 15:00:00,0,1,0,1,-1.7115999999999998,4.181818181818182,6.17948717948718
25,a,1.42394,2.46401,1.42394,2.46401,1,13,2,2,0.6534,d,2016-02-27 23:30:00,0,1,0,1,-1.04007,4.206896551724138,6.743589743589744
26,h,1.17964,4.52996,1.17964,3.78694,3,10,1,5,0.058,l,2016-03-04 00:00:00,0,0,1,0,-2.6073,12.12,6.653846153846154
27,a,0.201034,1.78244,0.201034,1.78244,3,6,1,2,0.2258,l,2016-03-07 23:30:00,0,0,1,0,-1.581406,3.8846153846153846,13.26923076923077
28,h,1.20734,0.804912,1.20734,0.804912,2,8,1,1,1.7109999999999999,d,2016-03-13 01:05:00,0,1,0,1,0.4024280000000001,3.6551724137931036,8.0
29,a,1.57585,1.40008,1.57585,0.656805,5,3,2,2,1.4731,d,2016-03-19 21:15:00,0,1,0,1,0.919045,5.636363636363637,13.115384615384615
30,h,2.4939,0.759713,2.4939,0.759713,4,3,2,0,2.6246,w,2016-04-01 22:30:00,1,0,0,3,1.734187,5.538461538461538,6.851851851851852
31,a,2.08111,0.625122,2.08111,0.625122,5,4,0,1,2.4575,l,2016-04-10 22:30:00,0,0,1,0,1.4559879999999998,8.4,15.35
32,h,1.08503,0.631315,1.08503,0.631315,3,6,2,1,1.7548,w,2016-04-17 20:15:00,1,0,0,3,0.453715,4.212121212121212,14.384615384615385
33,a,1.05395,1.14186,1.05395,1.14186,3,12,1,1,1.2962,d,2016-04-20 22:45:00,0,1,0,1,-0.08791000000000015,8.217391304347826,5.777777777777778
34,h,1.56205,2.6433,1.56205,2.6433,2,9,2,3,0.6554,l,2016-04-23 18:00:00,0,0,1,0,-1.08125,9.454545454545455,8.791666666666666
35,a,0.597729,1.07386,0.597729,1.07386,3,2,0,1,0.8959999999999999,l,2016-04-30 20:15:00,0,0,1,0,-0.4761310000000001,5.115384615384615,7.153846153846154
36,a,2.18163,1.6654,2.18163,1.6654,12,7,1,2,1.7620000000000002,l,2016-05-08 19:00:00,0,0,1,0,0.5162300000000002,5.407407407407407,16.705882352941178
37,h,2.06167,1.32769,2.06167,0.584407,6,5,3,1,1.9071000000000002,w,2016-05-15 21:30:00,1,0,0,3,1.4772629999999998,9.25925925925926,18.823529411764707
