,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.4954,1.63096,1.4954,1.63096,2,6,1,1,1.2092,d,2015-08-24 00:30:00,0,1,0,1,-0.1355599999999999,2.3125,5.413793103448276
1,a,0.941159,3.14512,0.197881,3.14512,3,11,0,5,0.18430000000000002,l,2015-08-30 00:30:00,0,0,1,0,-2.9472389999999997,25.76923076923077,5.7272727272727275
2,h,0.75201,0.663712,0.75201,0.663712,1,11,1,0,1.4175,w,2015-09-13 00:00:00,1,0,0,3,0.08829799999999999,7.884615384615385,5.541666666666667
3,a,0.190749,1.81097,0.190749,1.81097,0,10,0,0,0.2344,d,2015-09-19 20:15:00,0,1,0,1,-1.620221,12.894736842105264,3.8076923076923075
4,h,1.11886,0.264158,1.11886,0.264158,5,4,1,2,2.1795,l,2015-09-25 00:05:00,0,0,1,0,0.854702,5.68,9.6875
5,a,1.65258,1.75847,1.65258,1.75847,8,1,2,1,1.3113000000000001,w,2015-09-27 14:00:00,1,0,0,3,-0.10589000000000004,13.952380952380953,6.233333333333333
6,a,1.68781,1.2884,1.68781,1.2884,6,8,2,0,1.7061000000000002,w,2015-10-04 14:00:00,1,0,0,3,0.39941000000000004,10.583333333333334,2.911764705882353
7,h,1.86579,1.85292,1.86579,1.85292,9,4,1,3,1.3569,l,2015-10-18 00:05:00,0,0,1,0,0.012870000000000159,4.0,6.588235294117647
8,a,1.11054,1.06647,0.36726,1.06647,4,2,1,1,1.4324,d,2015-10-24 20:15:00,0,1,0,1,-0.6992100000000001,5.48,7.181818181818182
9,h,1.23993,4.022,0.496657,4.022,5,8,1,3,0.12630000000000002,l,2015-11-01 23:30:00,0,0,1,0,-3.5253430000000003,6.642857142857143,7.72
10,a,0.876923,0.890995,0.876923,0.890995,2,10,1,0,1.3147,w,2015-11-08 01:05:00,1,0,0,3,-0.014071999999999973,9.095238095238095,3.75
11,h,0.128682,2.26452,0.128682,2.26452,0,10,0,1,0.1013,l,2015-11-22 23:30:00,0,0,1,0,-2.135838,11.76,8.185185185185185
12,a,0.943363,1.10847,0.943363,1.10847,5,4,1,0,1.1624999999999999,w,2015-11-27 23:30:00,1,0,0,3,-0.16510700000000011,8.8,8.714285714285714
13,h,2.41831,0.535918,2.41831,0.535918,12,3,1,1,2.5967000000000002,d,2015-12-06 01:05:00,0,1,0,1,1.8823919999999998,5.892857142857143,8.375
14,a,0.36831,2.11811,0.36831,2.11811,0,15,0,1,0.2289,l,2015-12-13 01:05:00,0,0,1,0,-1.7498,12.56,6.153846153846154
15,h,0.377247,1.02024,0.377247,1.02024,3,3,0,0,0.6963,d,2015-12-19 23:30:00,0,1,0,1,-0.642993,6.066666666666666,3.8076923076923075
