,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.333248,1.54271,0.333248,1.54271,1,11,0,0,0.4488,0,1,0,1,-1.209462,10.933333333333334,6.28
1,0.590108,2.430403,0.590108,2.430403,4,14,0,0,1.0996000000000001,0,2,0,2,-1.840295,17.05757575757576,6.54
2,1.695128,3.9164630000000002,1.695128,3.9164630000000002,8,23,0,1,2.1532,0,2,1,2,-2.221335,14.73838383838384,6.635862068965518
3,3.319178,4.748324,3.319178,4.748324,10,33,3,3,4.2559000000000005,1,2,1,5,-1.4291459999999998,13.37378787878788,6.326896551724138
4,3.851916,7.654994,3.851916,6.911724,12,41,4,5,4.346800000000001,1,2,2,5,-3.059808,12.61441491841492,5.978758620689655
5,5.610386,9.307574,5.610386,8.564304,13,49,5,7,5.771500000000001,1,2,3,5,-2.953918,11.550901320901323,7.307695675971537
6,7.239286,11.309054,7.239286,9.822504,14,63,7,8,6.801800000000002,2,2,3,8,-2.5832179999999996,11.008997668997669,7.30738994448354
7,8.631246,13.823674,8.631246,12.337124,21,65,10,11,7.390100000000002,2,3,3,9,-3.7058779999999993,10.274918414918416,7.598132868089764
8,8.790486000000001,16.639084,8.790486000000001,14.268804,23,72,10,14,7.4231000000000025,2,3,4,9,-5.478318,10.174413076635298,7.839365968216542
9,10.301316000000002,17.12118,10.301316000000002,14.7509,29,76,11,14,9.711900000000002,3,3,4,12,-4.449584,10.499828911828912,7.639429371394888
10,10.697319000000002,18.33953,10.697319000000002,15.969249999999999,31,89,11,15,10.334300000000002,3,3,5,12,-5.2719309999999995,11.03393537438992,7.207562054803433
11,12.682759000000003,21.01162,11.839929000000001,18.64134,40,96,11,18,11.107400000000002,3,3,6,12,-6.801411,11.00479163705041,7.487884264522195
12,13.347705000000003,22.15538,12.504875000000002,19.7851,44,103,12,20,11.926000000000002,3,3,7,12,-7.280225,11.30877087567195,7.373431628789718
13,17.206285,22.573817000000002,16.363455000000002,20.203537,51,106,15,21,14.867400000000002,4,3,7,15,-3.8400819999999998,11.251001527409668,7.318980163241247
14,17.2719466,24.724717000000002,16.4291166,21.611167000000002,51,116,15,23,14.935700000000002,4,3,8,15,-5.1820504,12.00093475891569,7.089112668487529
15,17.6716926,25.900257000000003,16.8288626,22.786707000000003,58,122,15,25,15.559900000000003,4,3,9,15,-5.9578444,11.718267640831286,6.82786130852524
16,19.5294726,28.084467000000004,18.6866426,24.227637000000005,59,129,16,27,16.671300000000002,4,3,10,15,-5.5409944,11.475036210978466,6.726222408023755
17,20.4900976,29.614917000000005,19.6472676,25.758087000000003,66,133,16,29,17.478,4,3,11,15,-6.1108194,11.292395310368551,6.922591694534513
18,21.181913599999998,32.768517,20.3390836,28.911687000000004,70,145,17,34,17.6369,4,3,12,15,-8.572603399999998,11.82620516817524,6.935740226038142
19,25.3187036,33.601367,24.4758736,29.744537000000005,76,149,22,35,20.5772,5,3,12,18,-5.268663399999998,11.794894909766478,6.816730992514012
20,26.3741636,35.649387000000004,24.7880586,31.792557000000006,77,156,23,35,21.212200000000003,6,3,12,21,-7.0044983999999975,11.668372820467253,6.671848257079397
21,27.0404446,35.877331000000005,25.4543396,32.020501,81,158,24,36,22.944700000000005,6,4,12,22,-6.566161399999998,11.55276496499147,6.592922603165231
22,29.4264246,37.608951000000005,27.8403196,33.752121,83,163,26,38,24.823200000000003,6,5,12,23,-5.911801399999998,11.615688227383144,6.548509819176681
23,30.3001546,40.021381000000005,28.7140496,35.421271000000004,85,178,27,41,25.151800000000005,6,5,13,23,-6.707221399999998,12.178269845359827,6.418512386234795
24,30.7083536,40.9748,29.1222486,36.37469,86,182,28,42,25.982300000000006,6,6,13,24,-7.252441399999999,11.931139051545433,6.3266499395658915
25,32.3977736,42.361070000000005,30.811668599999997,37.760960000000004,90,184,30,46,27.599800000000005,6,6,14,24,-6.949291399999998,11.722249088024455,6.308013605857891
26,32.5248096,44.239900000000006,30.938704599999998,38.896510000000006,90,185,30,48,27.701200000000007,6,6,15,24,-7.957805399999998,11.810313936616142,6.30496889644141
27,33.181657599999994,45.58379000000001,31.595552599999998,40.24040000000001,90,192,30,50,28.374100000000006,6,6,16,24,-8.644847399999998,11.711097655469715,6.296972903035685
28,34.138665599999996,46.04335900000001,32.5525606,40.69996900000001,93,192,30,51,30.288500000000006,6,6,17,24,-8.147408399999998,11.57418879634113,6.318341653505718
29,36.0366856,46.30205400000001,34.4505806,40.95866400000001,102,195,32,52,32.9731,7,6,17,27,-6.5080833999999985,11.382321897069152,6.5170635983888605
30,36.6676636,48.17320400000001,35.0815586,42.82981400000001,107,203,32,52,33.4576,7,7,17,28,-7.748255399999999,11.294252607261873,6.520545417795671
31,37.4824306,49.21306400000001,35.896325600000004,43.86967400000001,108,216,32,53,34.6284,7,7,18,28,-7.973348399999999,11.362438165665893,6.512090873489557
32,38.3471246,49.76088400000001,36.761019600000004,44.41749400000001,113,220,33,54,36.238099999999996,7,8,18,29,-7.656474399999999,11.228349130342684,6.601118422777752
33,39.5687246,51.52581400000001,37.98261960000001,46.18242400000001,121,227,35,55,37.2163,8,8,18,32,-8.199804399999998,11.198757162456788,6.6473770880924725
34,40.193158600000004,57.65291400000001,38.60705360000001,50.07994400000001,124,248,35,61,37.2185,8,8,19,32,-11.472890399999997,11.67879267210088,6.6574520284326875
35,40.5429466,58.63833500000001,38.956841600000004,51.065365000000014,125,250,37,61,37.8826,9,8,19,35,-12.108523399999997,11.676845532658465,6.646357930868697
36,41.0519416,59.89551500000001,39.4658366,52.32254500000001,128,262,38,62,38.6145,9,9,19,36,-12.856708399999997,11.603147004748775,6.6288887976019755
37,42.5678716,60.61672700000001,40.9817666,53.043757000000014,132,265,40,62,40.6074,10,9,19,39,-12.061990399999997,11.566715504623808,6.814093478366836
