,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.63096,1.4954,1.63096,1.4954,6,2,1,1,1.4909000000000001,d,2015-08-24 00:30:00,0,1,0,1,0.1355599999999999,5.413793103448276,2.3125
1,h,1.59386,0.721424,1.59386,0.721424,8,0,3,1,2.1344,w,2015-08-28 22:30:00,1,0,0,3,0.8724360000000001,6.1875,12.761904761904763
2,a,1.48742,0.817524,1.48742,0.817524,6,1,3,1,1.9472000000000003,w,2015-09-13 14:00:00,1,0,0,3,0.6698959999999999,4.945945945945946,5.0
3,h,1.61474,1.26405,0.871459,1.26405,8,2,3,1,1.6351,w,2015-09-20 20:15:00,1,0,0,3,-0.3925909999999999,6.696969696969697,8.588235294117647
4,a,0.933564,0.878256,0.933564,0.878256,5,10,1,0,1.4124,w,2015-09-24 00:00:00,1,0,0,3,0.05530799999999991,7.8,4.282051282051282
5,h,0.871094,0.466414,0.871094,0.466414,5,6,1,0,1.7675,w,2015-09-26 22:30:00,1,0,0,3,0.40468000000000004,12.19047619047619,10.827586206896552
6,a,0.114789,1.06144,0.114789,1.06144,1,5,0,1,0.4089,l,2015-10-04 20:15:00,0,0,1,0,-0.9466509999999999,6.4,8.96
7,h,0.995361,1.62408,0.995361,1.62408,4,15,1,2,0.82,l,2015-10-18 14:00:00,0,0,1,0,-0.6287189999999999,17.94736842105263,4.777777777777778
8,a,0.205133,0.189007,0.205133,0.189007,2,1,0,0,1.1821000000000002,d,2015-10-25 19:00:00,0,1,0,1,0.016126,8.538461538461538,9.555555555555555
9,h,1.03337,0.880961,1.03337,0.880961,10,4,2,1,1.4525000000000001,w,2015-10-31 21:15:00,1,0,0,3,0.1524089999999999,6.67741935483871,7.88
10,a,0.278588,3.0769,0.278588,2.33362,1,17,0,3,0.054599999999999996,l,2015-11-08 19:00:00,0,0,1,0,-2.0550319999999997,9.96774193548387,6.241379310344827
11,h,1.78239,2.61337,1.78239,1.87009,12,5,1,1,0.8403,d,2015-11-22 19:00:00,0,1,0,1,-0.08770000000000011,4.730769230769231,11.416666666666666
12,a,0.7886,1.67288,0.7886,1.67288,9,4,0,2,0.6013,l,2015-11-29 15:00:00,0,0,1,0,-0.88428,4.242424242424242,11.476190476190476
13,h,1.60179,0.325638,1.60179,0.325638,7,1,2,1,2.4604,w,2015-12-06 19:00:00,1,0,0,3,1.2761520000000002,7.193548387096774,5.387096774193548
14,h,0.940499,1.45508,0.940499,1.45508,3,7,1,0,0.9492,w,2015-12-13 23:30:00,1,0,0,3,-0.514581,18.6875,7.217391304347826
15,a,0.797645,1.02445,0.797645,1.02445,3,5,2,0,1.1334,w,2015-12-20 21:15:00,1,0,0,3,-0.22680500000000003,10.774193548387096,14.333333333333334
16,h,0.420594,0.339183,0.420594,0.339183,2,6,1,0,1.3197999999999999,w,2015-12-31 19:00:00,1,0,0,3,0.08141100000000001,6.40625,9.08
17,a,1.55208,1.15796,0.8088,1.15796,2,1,2,1,1.7432,w,2016-01-03 21:15:00,1,0,0,3,-0.34916000000000014,13.578947368421053,6.54054054054054
18,h,1.53045,0.960625,1.53045,0.960625,4,7,2,0,1.9191,w,2016-01-10 15:00:00,1,0,0,3,0.5698250000000001,10.26086956521739,8.1875
19,h,0.806178,0.839004,0.806178,0.839004,7,1,0,0,1.3058999999999998,d,2016-01-16 23:30:00,0,1,0,1,-0.03282600000000002,9.121212121212121,11.625
20,a,1.50472,1.36067,1.50472,1.36067,3,7,2,2,1.4773,d,2016-01-23 21:15:00,0,1,0,1,0.14405,9.076923076923077,11.076923076923077
21,h,1.95153,0.91326,1.20825,0.91326,2,3,1,0,2.2032000000000003,w,2016-01-30 23:30:00,1,0,0,3,0.2949900000000001,6.741935483870968,10.571428571428571
22,a,0.628815,0.56818,0.628815,0.56818,2,3,0,0,1.3809,d,2016-02-06 23:30:00,0,1,0,1,0.060634999999999994,10.25,4.903225806451613
23,h,0.760756,0.671008,0.760756,0.671008,7,2,1,0,1.3649,w,2016-02-13 21:15:00,1,0,0,3,0.08974799999999994,9.12,8.413793103448276
24,a,0.663896,0.769511,0.663896,0.769511,5,2,0,0,1.2099,d,2016-02-21 23:30:00,0,1,0,1,-0.1056149999999999,7.857142857142857,6.235294117647059
25,h,1.6962,0.664928,1.6962,0.664928,7,3,3,0,2.2314,w,2016-02-28 15:00:00,1,0,0,3,1.031272,10.137931034482758,10.466666666666667
26,a,0.328383,0.846173,0.328383,0.846173,4,16,0,0,0.7681,d,2016-03-02 23:00:00,0,1,0,1,-0.51779,20.58823529411765,5.392857142857143
27,h,1.15088,0.52008,1.15088,0.52008,12,4,0,1,1.9459,l,2016-03-05 21:15:00,0,0,1,0,0.6307999999999999,9.545454545454545,16.736842105263158
28,a,1.70728,3.1376,1.70728,3.1376,3,13,2,4,0.5377,l,2016-03-13 19:00:00,0,0,1,0,-1.43032,14.277777777777779,8.045454545454545
29,h,0.980467,2.14473,0.980467,1.40146,4,12,2,2,0.5435,d,2016-03-20 19:00:00,0,1,0,1,-0.42099299999999995,15.56,7.043478260869565
30,a,2.08255,0.804064,2.08255,0.804064,3,7,2,1,2.4079,w,2016-04-03 20:15:00,1,0,0,3,1.278486,8.076923076923077,6.542857142857143
31,h,2.05697,0.718479,2.05697,0.718479,4,2,2,0,2.4653,w,2016-04-10 20:15:00,1,0,0,3,1.3384910000000003,6.689655172413793,7.678571428571429
32,a,0.631315,1.08503,0.631315,1.08503,6,3,1,2,0.9043,l,2016-04-17 20:15:00,0,0,1,0,-0.453715,14.384615384615385,4.212121212121212
33,a,0.226133,1.75884,0.226133,1.75884,2,11,0,3,0.2724,l,2016-04-21 00:00:00,0,0,1,0,-1.532707,15.636363636363637,12.1
34,h,0.65957,0.640832,0.65957,0.640832,2,6,0,0,1.3075999999999999,d,2016-04-24 22:30:00,0,1,0,1,0.018738000000000032,9.575757575757576,8.571428571428571
35,a,1.05764,0.259066,1.05764,0.259066,6,17,2,0,2.1484,w,2016-05-01 22:30:00,1,0,0,3,0.7985739999999999,10.037037037037036,9.827586206896552
36,h,0.701392,0.388761,0.701392,0.388761,8,0,0,2,1.6204,l,2016-05-08 19:00:00,0,0,1,0,0.312631,8.142857142857142,28.833333333333332
37,a,0.721212,1.51593,0.721212,1.51593,3,4,0,2,0.7398,l,2016-05-15 21:30:00,0,0,1,0,-0.794718,13.666666666666666,10.21875
