,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.359012,1.6197,0.359012,0.876427,3,0,1,2,0.3163,l,2016-08-20 00:00:00,0,0,1,0,-0.517415,6.6875,16.083333333333332
1,h,1.36093,2.05592,0.476215,2.05592,2,6,1,0,0.7948,w,2016-08-27 20:15:00,1,0,0,3,-1.579705,7.9,5.409090909090909
2,a,1.12057,1.96158,1.12057,1.96158,2,2,2,1,0.6133,w,2016-09-11 20:15:00,1,0,0,3,-0.84101,12.416666666666666,6.538461538461538
3,h,0.767442,1.22253,0.767442,1.22253,5,5,1,1,0.9372999999999999,d,2016-09-17 20:30:00,0,1,0,1,-0.45508799999999994,6.6571428571428575,8.2
4,a,1.77918,0.474926,1.77918,0.474926,2,7,1,2,2.5314,l,2016-09-20 22:00:00,0,0,1,0,1.304254,6.642857142857143,7.625
5,h,1.67754,0.0863513,0.934265,0.0863513,7,2,2,0,2.7405999999999997,w,2016-09-24 15:00:00,1,0,0,3,0.8479137,4.5,6.608695652173913
6,a,0.445,1.67419,0.445,1.67419,2,13,1,1,0.43989999999999996,d,2016-10-02 18:15:00,0,1,0,1,-1.22919,8.36111111111111,6.714285714285714
7,h,0.802032,1.40368,0.802032,1.40368,3,2,2,3,0.8138000000000001,l,2016-10-17 22:45:00,0,0,1,0,-0.6016480000000001,3.9583333333333335,11.136363636363637
8,a,2.01542,0.850937,2.01542,0.850937,9,3,3,3,2.3275,d,2016-10-22 15:00:00,0,1,0,1,1.1644830000000002,7.793103448275862,7.541666666666667
9,h,1.4571,1.49906,1.4571,0.755779,5,1,2,1,1.2447000000000001,w,2016-10-30 15:00:00,1,0,0,3,0.7013210000000001,7.121212121212121,8.173913043478262
10,a,0.983024,1.59273,0.983024,0.84945,3,9,0,1,0.8480000000000001,l,2016-11-05 23:45:00,0,0,1,0,0.13357399999999997,8.833333333333334,7.388888888888889
11,h,0.911921,0.589399,0.911921,0.589399,3,4,1,0,1.6092,w,2016-11-19 21:30:00,1,0,0,3,0.322522,11.88,6.833333333333333
12,h,2.55337,0.347362,2.55337,0.347362,5,0,3,1,2.8087000000000004,w,2016-11-25 23:45:00,1,0,0,3,2.206008,7.428571428571429,13.952380952380953
13,a,0.988471,1.4438,0.988471,1.4438,4,8,1,3,0.9770999999999999,l,2016-12-04 19:15:00,0,0,1,0,-0.455329,5.371428571428571,10.545454545454545
14,h,0.482454,0.263174,0.482454,0.263174,6,1,0,0,1.4727999999999999,d,2016-12-11 15:00:00,0,1,0,1,0.21927999999999997,6.6,17.642857142857142
15,a,0.821631,0.887175,0.821631,0.887175,4,2,1,1,1.2469,d,2016-12-18 19:15:00,0,1,0,1,-0.06554400000000005,3.911764705882353,16.933333333333334
16,h,0.647669,1.08182,0.647669,1.08182,2,9,0,2,0.8793,l,2017-01-07 19:15:00,0,0,1,0,-0.43415099999999995,4.564102564102564,12.736842105263158
17,a,2.47656,0.451995,1.73328,0.451995,2,4,3,2,2.749,w,2017-01-15 21:30:00,1,0,0,3,1.281285,6.566666666666666,6.5
18,h,0.730002,2.43993,0.730002,2.43993,3,14,0,4,0.3377,l,2017-01-22 22:45:00,0,0,1,0,-1.709928,8.560975609756097,14.0
19,h,1.44709,1.03408,1.44709,1.03408,7,4,3,1,1.752,w,2017-01-28 20:30:00,1,0,0,3,0.4130099999999999,10.222222222222221,5.368421052631579
20,a,1.2508,0.870776,0.507523,0.870776,3,5,4,0,1.7058,w,2017-02-04 19:45:00,1,0,0,3,-0.36325300000000005,6.6,10.75
21,h,4.09351,0.67033,3.35023,0.67033,5,8,4,0,2.9087,w,2017-02-13 19:45:00,1,0,0,3,2.6799,5.344827586206897,8.772727272727273
22,a,0.317281,1.81525,0.317281,1.81525,6,7,0,2,0.2859,l,2017-02-18 19:45:00,0,0,1,0,-1.497969,6.8108108108108105,7.55
23,h,1.80008,0.136305,1.0568,0.136305,5,3,3,0,2.7739,w,2017-02-25 19:45:00,1,0,0,3,0.920495,7.380952380952381,10.217391304347826
24,a,0.677011,1.97746,0.677011,1.23418,0,3,2,2,0.4397,d,2017-02-28 18:30:00,0,1,0,1,-0.557169,9.777777777777779,9.5
25,h,1.2014,2.0593,1.2014,2.0593,3,10,1,4,0.7229000000000001,l,2017-03-04 15:15:00,0,0,1,0,-0.8578999999999999,13.38888888888889,8.15
26,a,0.993742,1.29637,0.993742,1.29637,7,5,1,1,1.0202,d,2017-03-13 19:45:00,0,1,0,1,-0.302628,4.0,7.28
27,h,0.917886,0.229115,0.917886,0.229115,7,2,1,1,1.9609,d,2017-03-18 12:00:00,0,1,0,1,0.688771,4.451612903225806,15.0
28,a,1.99175,1.21195,1.24847,1.21195,5,11,3,2,1.9798999999999998,w,2017-04-01 12:00:00,1,0,0,3,0.036519999999999886,9.038461538461538,8.333333333333334
29,h,1.84235,0.811517,1.09907,0.811517,4,5,3,1,2.2125,w,2017-04-06 18:30:00,1,0,0,3,0.28755299999999995,7.0,10.0
30,a,0.521772,0.626267,0.521772,0.626267,3,12,2,0,1.1855,w,2017-04-09 15:15:00,1,0,0,3,-0.104495,8.878787878787879,6.739130434782608
31,a,0.431666,0.309059,0.431666,0.309059,8,1,0,2,1.3678,l,2017-04-16 17:30:00,0,0,1,0,0.12260700000000002,4.555555555555555,11.090909090909092
32,h,0.249566,0.448314,0.249566,0.448314,2,3,0,1,0.9955,l,2017-04-24 19:45:00,0,0,1,0,-0.19874799999999998,7.035714285714286,7.944444444444445
33,a,0.164559,1.61616,0.164559,1.61616,5,1,0,0,0.2603,d,2017-04-27 18:30:00,0,1,0,1,-1.4516010000000001,17.05,8.125
34,h,1.08114,0.893755,1.08114,0.893755,3,6,2,0,1.5212999999999999,w,2017-04-30 17:30:00,1,0,0,3,0.18738500000000002,12.631578947368421,9.0
35,a,0.286692,1.30492,0.286692,1.30492,6,8,0,1,0.47979999999999995,l,2017-05-06 15:15:00,0,0,1,0,-1.0182280000000001,9.241379310344827,10.666666666666666
36,h,0.516325,1.13134,0.516325,1.13134,2,7,0,1,0.7647,l,2017-05-14 19:00:00,0,0,1,0,-0.615015,5.346153846153846,8.64
37,a,0.8164,4.7816,0.8164,3.29505,4,25,2,4,0.0236,l,2017-05-21 19:00:00,0,0,1,0,-2.47865,12.703703703703704,5.714285714285714
