,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.41803,2.60289,1.41803,2.60289,3,16,4,6,0.6487999999999999,0,0,1,0,-1.18486,8.81081081081081,4.12
1,1.867737,3.03856,1.867737,3.03856,8,19,6,8,1.9181,0,1,1,1,-1.170823,7.516516516516516,6.119999999999999
2,1.9385794,3.342329,1.9385794,3.342329,8,24,7,9,2.7676,0,2,1,2,-1.4037496,10.77571689336395,5.503423423423423
3,2.7689674,4.581919,2.7689674,4.581919,13,30,7,11,3.7341999999999995,0,2,2,2,-1.8129515999999999,11.93406039729569,6.5275675675675675
4,4.1652474,5.651359,4.1652474,5.651359,18,33,9,12,5.3964,1,2,2,5,-1.4861115999999999,11.291692762280997,6.629746361746362
5,4.7081124,6.3565510000000005,4.7081124,6.3565510000000005,25,36,9,14,6.5362,1,2,3,5,-1.6484386,11.204615763439293,6.535899745899745
6,5.0599374,7.053406000000001,5.0599374,7.053406000000001,27,48,9,14,7.42,1,3,3,6,-1.9934686,11.63252779723368,7.036982390895433
7,5.3786664,8.128036000000002,5.3786664,8.128036000000002,27,59,9,14,8.0291,1,4,3,7,-2.7493695999999996,11.527726528461823,6.995322554996467
8,6.2296034,10.143456000000002,6.2296034,10.143456000000002,30,68,12,17,8.4972,1,5,3,8,-3.9138526,11.084830988262361,7.083964876471956
9,6.9797304,10.873206000000001,6.9797304,10.873206000000001,33,73,13,17,9.8443,2,5,3,11,-3.8934756,11.326347889436125,7.0675683888247605
10,7.2569774,11.024415000000001,7.2569774,11.024415000000001,36,75,13,17,11.1803,2,6,3,12,-3.7674376,11.017683034283625,7.2523348989316
11,8.519437400000001,11.594986,7.7761604,11.594986,36,80,14,17,13.2146,3,6,3,15,-3.8188256000000003,11.633856506916851,7.239927680342472
12,9.7353874,11.800211000000001,8.9921104,11.800211000000001,38,83,17,17,15.5427,4,6,3,18,-2.8081006000000004,11.263831345751301,7.086144069603877
13,10.542078400000001,12.37687,9.7988014,12.37687,39,98,17,17,17.0883,4,7,3,19,-2.5780686000000004,11.41889929310447,6.90050374228785
14,11.770538400000001,12.962083,11.0272614,12.962083,42,101,19,18,19.0361,5,7,3,22,-1.9348216000000003,11.199306006897505,7.062692381690882
15,12.238690400000001,15.912483,11.4954134,15.912483,44,117,20,22,19.1358,5,7,4,22,-4.4170696000000005,11.241016048133078,6.977755589316684
