,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.908454,0.64855,0.908454,0.64855,2,4,1,0,1.5629,w,2016-08-22 22:00:00,1,0,0,3,0.259904,9.833333333333334,5.655172413793103
1,h,0.189954,0.700848,0.189954,0.700848,0,7,0,0,0.7167,d,2016-08-28 00:15:00,0,1,0,1,-0.510894,8.909090909090908,6.333333333333333
2,a,0.484862,1.65936,0.484862,0.916086,4,7,1,2,0.3627,l,2016-09-11 14:00:00,0,0,1,0,-0.43122399999999994,9.129032258064516,9.217391304347826
3,h,1.18104,2.94825,1.18104,2.20497,5,13,1,5,0.3176,l,2016-09-17 15:00:00,0,0,1,0,-1.0239299999999998,5.46875,10.466666666666667
4,a,1.06372,1.64049,1.06372,1.64049,3,5,2,1,0.8376,w,2016-09-22 22:00:00,1,0,0,3,-0.57677,8.357142857142858,4.454545454545454
5,h,1.29014,1.37734,0.546987,1.37734,1,3,1,2,1.3018,l,2016-09-25 14:00:00,0,0,1,0,-0.830353,5.852941176470588,8.033333333333333
6,a,0.238575,0.665545,0.238575,0.665545,5,1,1,0,0.7613000000000001,w,2016-10-01 15:00:00,1,0,0,3,-0.42697000000000007,3.8214285714285716,11.368421052631579
7,h,0.851751,1.53817,0.851751,1.53817,7,3,2,3,0.6447,l,2016-10-15 15:00:00,0,0,1,0,-0.686419,7.116279069767442,4.9
8,a,1.18794,3.12089,1.18794,2.37761,4,7,0,4,0.3355,l,2016-10-23 20:30:00,0,0,1,0,-1.1896699999999998,7.714285714285714,8.11111111111111
9,h,0.192695,1.47952,0.192695,1.47952,2,2,0,2,0.26180000000000003,l,2016-10-28 22:45:00,0,0,1,0,-1.2868249999999999,8.583333333333334,5.758620689655173
10,a,0.273683,2.62943,0.273683,2.62943,1,5,0,3,0.0598,l,2016-11-06 15:00:00,0,0,1,0,-2.355747,14.1875,6.454545454545454
11,h,1.6402,0.164701,1.6402,0.164701,3,1,2,0,2.5707,w,2016-11-21 23:45:00,1,0,0,3,1.4754990000000001,6.483870967741935,6.611111111111111
12,a,0.205225,1.21595,0.205225,1.21595,3,2,0,3,0.40959999999999996,l,2016-11-26 21:30:00,0,0,1,0,-1.010725,5.2407407407407405,6.823529411764706
13,h,0.679532,0.296192,0.679532,0.296192,2,3,0,0,1.6816,d,2016-12-03 21:30:00,0,1,0,1,0.38334,7.806451612903226,6.178571428571429
14,a,1.26322,0.889018,0.519946,0.889018,3,5,1,1,1.662,d,2016-12-10 21:30:00,0,1,0,1,-0.36907199999999996,16.26923076923077,4.433333333333334
15,h,0.887175,0.821631,0.887175,0.821631,2,4,1,1,1.4062000000000001,d,2016-12-18 19:15:00,0,1,0,1,0.06554400000000005,16.933333333333334,3.911764705882353
16,a,0.345675,1.4196,0.345675,1.4196,3,7,0,2,0.49319999999999997,l,2017-01-08 19:15:00,0,0,1,0,-1.073925,9.045454545454545,7.153846153846154
17,h,1.61086,0.319775,1.61086,0.319775,8,1,0,0,2.4469999999999996,d,2017-01-14 16:00:00,0,1,0,1,1.291085,8.11111111111111,5.25
18,a,0.448681,1.00747,0.448681,1.00747,5,3,2,2,0.76,d,2017-01-21 20:30:00,0,1,0,1,-0.5587890000000001,7.828571428571428,9.3
19,h,0.665632,0.831373,0.665632,0.0880951,5,4,0,2,1.0290000000000001,l,2017-01-28 22:45:00,0,0,1,0,0.5775369,5.161290322580645,7.304347826086956
20,a,0.725425,1.8677,0.725425,0.95269,8,6,0,2,0.441,l,2017-02-04 17:30:00,0,0,1,0,-0.22726500000000005,9.818181818181818,8.0
21,h,0.421338,0.172436,0.421338,0.172436,3,1,0,2,1.5057,l,2017-02-12 15:15:00,0,0,1,0,0.24890199999999998,3.8076923076923075,7.12
