,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.43642,0.604671,0.545579,0.604671,2,2,2,1,2.1992,w,2016-08-21 20:15:00,1,0,0,3,-0.05909199999999992,17.357142857142858,5.363636363636363
1,a,0.27695,1.12017,0.27695,1.12017,4,2,0,0,0.5017,d,2016-08-28 20:15:00,0,1,0,1,-0.8432200000000001,10.285714285714286,20.384615384615383
2,h,1.65936,0.484862,0.916086,0.484862,7,4,2,1,2.4516,w,2016-09-11 14:00:00,1,0,0,3,0.43122399999999994,9.217391304347826,9.129032258064516
3,a,0.503786,2.52857,0.503786,1.7853,11,7,0,5,0.17609999999999998,l,2016-09-17 18:15:00,0,0,1,0,-1.281514,12.62962962962963,9.928571428571429
4,a,0.847147,1.38706,0.103869,0.643778,0,5,1,2,0.7813000000000001,l,2016-09-21 22:00:00,0,0,1,0,-0.539909,10.448275862068966,4.083333333333333
5,h,0.631314,3.6662,0.631314,3.6662,6,5,0,5,0.0504,l,2016-09-24 18:15:00,0,0,1,0,-3.0348859999999998,10.264705882352942,6.75
6,a,0.234392,1.26977,0.234392,1.26977,0,1,1,2,0.4526,l,2016-10-01 22:45:00,0,0,1,0,-1.0353780000000001,5.428571428571429,4.535714285714286
7,h,0.487759,0.962304,0.487759,0.962304,7,4,1,2,0.8139000000000001,l,2016-10-16 20:30:00,0,0,1,0,-0.47454500000000005,6.444444444444445,8.909090909090908
8,a,0.242784,0.546868,0.242784,0.546868,4,1,0,0,0.9048,d,2016-10-22 22:45:00,0,1,0,1,-0.304084,10.666666666666666,12.473684210526315
9,h,0.47946,1.288,0.47946,1.288,0,10,1,1,0.6838,d,2016-10-29 15:00:00,0,1,0,1,-0.80854,10.576923076923077,7.352941176470588
10,a,1.27243,1.92978,1.27243,1.92978,7,5,2,3,0.9188,l,2016-11-04 23:45:00,0,0,1,0,-0.6573500000000001,6.814814814814815,5.764705882352941
11,h,0.197028,2.1535,0.197028,2.1535,3,12,1,3,0.1442,l,2016-11-20 21:30:00,0,0,1,0,-1.9564720000000002,14.32,9.095238095238095
12,a,1.46445,2.90122,0.721172,2.15795,7,6,1,2,0.45489999999999997,l,2016-11-26 19:15:00,0,0,1,0,-1.4367779999999999,9.258064516129032,7.78125
13,h,1.12982,1.15825,1.12982,1.15825,4,3,3,1,1.282,w,2016-12-04 21:30:00,1,0,0,3,-0.028429999999999955,8.043478260869565,7.483870967741935
14,a,0.585213,1.22846,0.585213,1.22846,3,3,1,2,0.7631,l,2016-12-11 21:30:00,0,0,1,0,-0.6432470000000001,9.333333333333334,8.125
15,h,1.18555,3.11803,1.18555,3.11803,11,12,1,3,0.29059999999999997,l,2016-12-17 16:00:00,0,0,1,0,-1.93248,8.333333333333334,6.678571428571429
16,a,0.715563,2.50535,0.715563,2.50535,2,7,0,1,0.2705,l,2017-01-07 21:30:00,0,0,1,0,-1.789787,7.413043478260869,6.428571428571429
17,h,0.451995,2.47656,0.451995,1.73328,4,2,2,3,0.1573,l,2017-01-15 21:30:00,0,0,1,0,-1.281285,6.5,6.566666666666666
18,a,0.725506,1.22587,0.725506,1.22587,1,6,0,0,0.9452,d,2017-01-22 20:30:00,0,1,0,1,-0.500364,8.210526315789474,7.3
19,a,0.989558,2.01155,0.246281,1.26827,2,9,1,2,0.5144,l,2017-01-29 20:30:00,0,0,1,0,-1.021989,9.068965517241379,7.6
20,h,1.10417,3.304,1.10417,1.81771,7,1,2,4,0.20379999999999998,l,2017-02-05 15:15:00,0,0,1,0,-0.7135399999999998,4.096774193548387,8.48
21,a,0.172436,0.421338,0.172436,0.421338,1,3,2,0,0.9057,w,2017-02-12 15:15:00,1,0,0,3,-0.24890199999999998,7.12,3.8076923076923075
22,h,1.62573,2.49836,1.62573,2.49836,3,2,1,4,0.6701999999999999,l,2017-02-18 12:00:00,0,0,1,0,-0.87263,6.837837837837838,10.08
23,h,2.32319,1.18161,1.57992,1.18161,8,11,1,1,2.1988,d,2017-02-26 17:30:00,0,1,0,1,0.39830999999999994,9.758620689655173,6.117647058823529
24,a,1.07573,2.99036,1.07573,2.99036,1,27,1,6,0.26280000000000003,l,2017-03-01 18:30:00,0,0,1,0,-1.9146299999999998,17.94736842105263,3.7777777777777777
25,h,0.924431,1.62631,0.924431,0.883032,9,0,0,1,0.7361,l,2017-03-05 11:00:00,0,0,1,0,0.041398999999999964,11.428571428571429,8.869565217391305
26,a,0.926125,2.10881,0.926125,1.36553,5,4,1,1,0.5176,d,2017-03-11 12:00:00,0,1,0,1,-0.43940499999999993,7.473684210526316,6.153846153846154
27,h,2.97883,1.16888,2.23555,1.16888,9,3,3,1,2.5469999999999997,w,2017-03-19 17:30:00,1,0,0,3,1.06667,8.6,7.304347826086956
28,a,0.26865,0.96799,0.26865,0.96799,6,16,0,0,0.6509,d,2017-04-02 11:00:00,0,1,0,1,-0.6993400000000001,8.114285714285714,4.0
29,h,0.809443,0.556202,0.809443,0.556202,10,8,0,1,1.5309,l,2017-04-05 19:30:00,0,0,1,0,0.25324100000000005,9.222222222222221,9.214285714285714
30,a,0.399035,1.98867,0.399035,1.98867,1,8,1,3,0.30469999999999997,l,2017-04-10 19:45:00,0,0,1,0,-1.589635,10.74074074074074,5.366666666666666
31,h,0.4652,1.66979,0.4652,1.66979,3,10,2,3,0.445,l,2017-04-15 15:15:00,0,0,1,0,-1.20459,14.142857142857142,3.9375
32,a,2.22378,0.795145,2.22378,0.795145,8,8,2,2,2.42,d,2017-04-22 17:30:00,0,1,0,1,1.428635,7.238095238095238,8.296296296296296
33,h,0.552443,1.71263,0.552443,1.71263,8,4,1,1,0.4672,d,2017-04-25 18:30:00,0,1,0,1,-1.160187,9.666666666666666,16.0625
34,a,1.03449,3.91003,1.03449,3.91003,9,15,1,3,0.128,l,2017-04-28 19:45:00,0,0,1,0,-2.87554,14.523809523809524,8.5
35,h,1.55328,0.298784,1.55328,0.298784,15,5,1,0,2.3878999999999997,w,2017-05-06 12:00:00,1,0,0,3,1.254496,7.431818181818182,6.576923076923077
36,a,1.13134,0.516325,1.13134,0.516325,7,2,1,0,1.9209,w,2017-05-14 19:00:00,1,0,0,3,0.615015,8.64,5.346153846153846
37,h,1.27001,2.14979,1.27001,2.14979,6,14,2,2,0.806,d,2017-05-20 16:00:00,0,1,0,1,-0.8797799999999998,8.620689655172415,11.363636363636363
