,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.847485,2.57496,0.847485,2.57496,5,7,2,2,0.3105,0,1,0,1,-1.7274749999999999,16.375,9.36
1,1.358093,3.9638799999999996,1.358093,3.2206069999999998,11,10,7,3,0.8505,1,1,0,4,-1.862514,14.261574074074074,8.11103448275862
2,1.996459,4.666401,1.996459,3.9231279999999997,21,14,7,3,2.0908,1,2,0,5,-1.926669,12.957716049382716,8.753035334184759
3,3.542909,5.104753,3.542909,4.361479999999999,29,16,8,3,4.4087,2,2,0,8,-0.8185709999999999,11.533101851851852,9.978238039100107
4,5.843069,6.8197529999999995,5.843069,5.333334999999999,38,23,10,4,6.196899999999999,3,2,0,11,0.5097339999999999,13.340767195767196,9.539733288422942
5,7.385199,7.189947999999999,7.385199,5.703529999999999,44,37,12,4,8.5961,4,2,0,14,1.6816689999999999,13.768099647266316,8.876248328587748
6,7.93054,7.611241999999999,7.93054,6.1248239999999985,48,40,12,4,10.0196,4,3,0,15,1.8057159999999999,12.536522386732472,9.673689043551402
7,8.264599,9.230462,8.264599,7.744043999999999,51,53,13,5,10.392900000000001,4,4,0,16,0.5205549999999999,14.276275270209094,9.265403839033402
8,9.411629000000001,10.125846999999998,9.411629000000001,8.639428999999998,53,60,14,5,12.033000000000001,5,4,0,19,0.7721999999999999,14.268726166111788,9.036840449511171
9,10.910959000000002,10.804146,10.910959000000002,9.317727999999999,61,66,15,6,14.087900000000001,5,5,0,20,1.5932309999999998,13.653618255382963,8.839823071226721
10,11.404877000000003,11.224418,11.404877000000003,9.738,64,69,16,6,15.430100000000001,6,5,0,23,1.666877,13.165107504893603,8.986202792024292
11,12.150395000000003,12.636708,12.150395000000003,11.15029,67,85,16,6,16.2223,6,6,0,24,1.000105,12.977539022342945,8.881291953294996
12,15.034975000000003,13.786798000000001,15.034975000000003,12.30038,76,89,21,6,18.6814,7,6,0,27,2.734595,12.841446277034514,9.22660567768541
13,18.095765000000004,15.602008000000001,18.095765000000004,13.37231,86,97,23,7,20.8886,8,6,0,30,4.7234549999999995,12.317057257246335,9.454780460106376
14,18.885509000000003,15.881058000000001,18.885509000000003,13.65136,90,101,24,7,22.7871,9,6,0,33,5.2341489999999995,12.47925344009658,9.062239540543727
15,19.926269,16.447927,19.926269,14.218229000000001,95,103,25,7,24.616,10,6,0,36,5.70804,11.981497069787512,9.261474569259745
16,20.724686000000002,17.380472,20.724686000000002,15.150774,101,109,25,8,25.8167,10,6,1,36,5.573912,11.711997242152952,9.38334861420525
17,22.182826000000002,18.358107,22.182826000000002,16.128409,106,114,27,8,27.577,11,6,1,39,6.054417,11.444267236636518,9.403362010282168
18,23.865266000000002,19.280198,23.865266000000002,17.0505,111,121,28,8,29.576500000000003,12,6,1,42,6.814766,11.639721315594707,9.11568506237258
19,25.238076000000003,20.062323,25.238076000000003,17.832625,126,125,29,9,31.466600000000003,12,7,1,43,7.405450999999999,11.605651916481639,9.222863772216915
20,28.745666000000003,20.516327,28.745666000000003,18.286629,132,128,32,9,34.3866,13,7,1,46,10.459036999999999,11.409423181641966,9.199905532622811
21,29.343276000000003,20.840461,29.343276000000003,18.610763000000002,136,130,33,9,35.9328,14,7,1,49,10.732512999999999,11.349369186754497,9.632377359062033
22,29.85103,21.252689,29.85103,19.022991,138,131,34,9,37.3511,15,7,1,52,10.828038999999999,11.150949408448401,9.500023356238364
23,30.767781000000003,21.44534,30.767781000000003,19.215642000000003,146,132,36,9,39.362,16,7,1,55,11.552138999999999,10.968189261527757,9.6158557163951
24,33.820261,22.507,33.076981,20.277302000000002,162,144,41,11,41.9909,17,7,1,58,12.799679,10.839937881542838,9.876554821072629
25,36.517301,23.261304000000003,35.774021000000005,21.031606000000004,172,147,45,11,44.59460000000001,18,7,1,61,14.742415,10.650749987313457,10.431076468225942
26,36.676138,24.069939,35.932858,21.840241000000002,175,155,45,12,45.225500000000004,18,7,2,61,14.092616999999999,10.530969123585798,10.34103659903239
27,38.298038,24.945169,37.554758,22.715471,183,160,48,12,47.2242,19,7,2,64,14.839286999999999,10.484949663544315,10.325097321999278
28,39.460268,26.339529,37.973711,24.109831,192,164,49,14,48.321000000000005,19,7,3,64,13.863879999999998,10.676847951008305,10.19319741434413
29,40.876647999999996,27.397458999999998,38.646818,25.167761,200,170,50,14,50.00170000000001,20,7,3,67,13.479056999999997,10.710346958701967,10.178424167199326
30,42.17505799999999,29.744678999999998,39.945228,27.514981,205,189,51,15,50.705600000000004,20,8,3,68,12.430246999999998,10.817867323288018,10.109688518180608
31,43.298337999999994,30.420412999999996,41.068508,28.190714999999997,216,194,54,15,52.434200000000004,21,8,3,71,12.877792999999999,10.721475636101935,10.30715360913032
32,43.76172199999999,31.227246999999995,41.531892,28.997548999999996,220,200,54,18,53.363600000000005,21,8,4,71,12.534342999999998,10.814237243967094,10.199080491906395
33,44.996751999999994,31.902137999999994,42.766922,29.672439999999995,227,204,54,18,55.226000000000006,21,9,4,72,13.094481999999998,10.75310817963288,10.035729927153929
34,47.557841999999994,32.428357999999996,43.841452000000004,30.198659999999993,243,213,55,18,57.97050000000001,22,9,4,75,13.642791999999998,10.5999137844384,9.993150630533947
35,47.952721999999994,33.445828,44.236332000000004,31.216129999999993,248,217,55,20,58.69050000000001,22,9,5,75,13.020201999999998,10.66459871899765,10.029572774854863
36,48.82225999999999,34.530148,45.10587,31.557173999999993,250,226,56,20,59.778800000000004,23,9,5,78,13.548695999999998,10.511501456322039,9.954449186345272
37,50.290479999999995,35.483819999999994,46.574090000000005,32.510845999999994,257,233,58,22,61.5989,23,10,5,79,14.063243999999997,10.56997071624339,9.87349128092797
