,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.30926,0.150503,1.30926,0.150503,9,3,2,0,2.3947000000000003,w,2017-08-20 19:15:00,1,0,0,3,1.158757,8.25,17.894736842105264
1,a,2.68718,0.635924,1.9439,0.635924,9,3,2,0,2.6753,w,2017-08-26 17:15:00,1,0,0,3,1.307976,7.521739130434782,17.72222222222222
2,h,5.54505,0.752988,5.54505,0.752988,23,1,5,0,2.9791999999999996,w,2017-09-09 19:45:00,1,0,0,3,4.792062,5.0625,15.9
3,a,0.53587,0.956195,0.53587,0.956195,9,5,2,1,0.8908,w,2017-09-16 15:15:00,1,0,0,3,-0.42032500000000006,5.521739130434782,16.952380952380953
4,h,2.58774,0.962105,1.84447,0.962105,13,2,6,1,2.4832,w,2017-09-19 21:00:00,1,0,0,3,0.8823650000000001,29.0,11.969696969696969
5,a,1.28645,0.90657,1.28645,0.90657,6,3,3,0,1.6876000000000002,w,2017-09-23 19:45:00,1,0,0,3,0.3798800000000001,10.0,11.35483870967742
6,h,4.83674,0.684959,4.83674,0.684959,14,6,3,0,2.9688,w,2017-10-01 15:15:00,1,0,0,3,4.151781,13.615384615384615,14.944444444444445
7,a,1.61922,0.334059,1.61922,0.334059,13,3,1,1,2.4241,d,2017-10-14 19:45:00,0,1,0,1,1.285161,6.407407407407407,26.454545454545453
8,h,2.19062,0.629202,2.19062,0.629202,15,1,2,0,2.5139,w,2017-10-21 19:45:00,1,0,0,3,1.561418,7.4,25.0625
9,a,2.49124,0.880742,2.49124,0.880742,13,1,2,0,2.4882000000000004,w,2017-10-28 19:45:00,1,0,0,3,1.6104979999999998,8.55,7.815789473684211
10,h,1.95413,0.354156,1.95413,0.354156,14,5,2,1,2.5717,w,2017-11-05 03:45:00,1,0,0,3,1.599974,12.653846153846153,12.72
11,a,2.59365,1.3156,2.59365,1.3156,10,5,3,0,2.2912,w,2017-11-18 15:15:00,1,0,0,3,1.2780499999999997,5.904761904761905,9.871794871794872
12,a,0.904581,1.30897,0.904581,1.30897,12,5,1,1,0.8885000000000001,d,2017-11-26 19:45:00,0,1,0,1,-0.404389,4.514285714285714,12.233333333333333
13,h,3.8047,1.54959,3.8047,1.54959,26,5,2,2,2.6563999999999997,d,2017-12-02 12:00:00,0,1,0,1,2.25511,8.193548387096774,18.2
14,a,3.67543,0.677295,3.67543,0.677295,21,2,2,0,2.9108,w,2017-12-10 19:45:00,1,0,0,3,2.998135,7.172413793103448,13.827586206896552
15,h,6.46701,0.276894,5.72373,0.276894,19,5,4,0,2.9987999999999997,w,2017-12-17 19:45:00,1,0,0,3,5.446835999999999,6.411764705882353,23.526315789473685
16,a,3.70518,1.30012,2.9619,1.30012,13,7,3,0,2.6822,w,2017-12-23 12:00:00,1,0,0,3,1.66178,13.7,12.333333333333334
17,h,2.11533,0.675841,2.11533,0.675841,19,3,3,0,2.4456,w,2018-01-07 15:15:00,1,0,0,3,1.439489,6.434782608695652,18.391304347826086
18,a,1.25295,0.781446,1.25295,0.781446,7,6,4,2,1.7555999999999998,w,2018-01-14 19:45:00,1,0,0,3,0.47150400000000003,12.095238095238095,9.058823529411764
19,a,2.50628,0.313941,2.50628,0.313941,13,1,5,0,2.7531000000000003,w,2018-01-21 19:45:00,1,0,0,3,2.1923389999999996,11.04,6.511111111111111
20,h,2.08908,1.03397,2.08908,1.03397,15,3,2,1,2.2413,w,2018-01-28 19:45:00,1,0,0,3,1.05511,3.608695652173913,14.521739130434783
21,a,0.709587,0.928257,0.709587,0.928257,17,3,1,1,1.0624,d,2018-02-04 15:15:00,0,1,0,1,-0.21867000000000003,3.48,8.866666666666667
22,h,0.988899,0.333177,0.988899,0.333177,12,4,0,0,1.9950999999999999,d,2018-02-11 15:15:00,0,1,0,1,0.6557219999999999,4.157894736842105,23.38888888888889
23,a,2.55934,0.511918,2.55934,0.511918,14,4,2,0,2.7076,w,2018-02-17 15:15:00,1,0,0,3,2.047422,16.923076923076923,9.763157894736842
24,h,3.0399,0.756525,3.0399,0.756525,13,2,6,1,2.6908,w,2018-02-24 19:45:00,1,0,0,3,2.283375,8.5,14.666666666666666
25,a,1.09273,1.44343,1.09273,0.700148,12,3,1,1,1.0478,d,2018-03-01 20:00:00,0,1,0,1,0.392582,5.411764705882353,11.068965517241379
26,h,0.808635,0.158837,0.808635,0.158837,8,3,1,0,1.95,w,2018-03-04 15:15:00,1,0,0,3,0.649798,8.0,7.416666666666667
27,a,2.42399,0.541391,2.42399,0.541391,13,3,2,0,2.6224,w,2018-03-10 19:45:00,1,0,0,3,1.882599,4.6,21.26086956521739
28,h,2.93887,0.9045,2.93887,0.9045,11,10,2,0,2.6769999999999996,w,2018-03-18 15:15:00,1,0,0,3,2.03437,10.789473684210526,9.19047619047619
29,a,1.48888,3.6851,1.48888,3.6851,17,10,2,2,0.3249,d,2018-03-31 00:00:00,0,1,0,1,-2.19622,9.304347826086957,17.0
30,h,2.70223,0.64842,2.70223,0.64842,11,4,3,1,2.7236,w,2018-04-07 18:45:00,1,0,0,3,2.0538100000000004,5.333333333333333,12.903225806451612
31,h,1.95235,2.24116,1.95235,1.49801,27,6,2,1,1.1641,w,2018-04-14 14:15:00,1,0,0,3,0.45433999999999997,6.733333333333333,16.647058823529413
32,a,2.27463,3.39681,2.27463,3.39681,9,14,2,2,0.6711,d,2018-04-17 19:00:00,0,1,0,1,-1.1221799999999997,8.375,8.21875
33,a,3.65273,2.46343,3.65273,2.46343,28,7,4,2,2.0738,w,2018-04-29 15:00:00,1,0,0,3,1.1893000000000002,12.352941176470589,12.84
34,h,1.31039,1.69458,1.31039,1.69458,6,13,2,2,1.0605,d,2018-05-06 19:45:00,0,1,0,1,-0.38419000000000003,16.88235294117647,7.108108108108108
35,h,3.06814,1.10579,3.06814,1.10579,11,9,5,1,2.6514,w,2018-05-09 19:00:00,1,0,0,3,1.96235,16.1,8.767441860465116
36,a,1.95835,3.50895,1.21507,3.50895,15,6,4,5,0.4873,l,2018-05-13 19:45:00,0,0,1,0,-2.2938799999999997,7.0,12.285714285714286
37,h,1.35941,0.817475,1.35941,0.817475,11,12,1,0,1.8267,w,2018-05-20 16:00:00,1,0,0,3,0.5419350000000001,9.173913043478262,11.037037037037036
