,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.48262,2.38821,0.739346,2.38821,5,19,0,3,0.6759999999999999,l,2017-08-20 21:15:00,0,0,1,0,-1.648864,13.0,6.541666666666667
1,a,0.814208,2.40085,0.814208,1.65757,6,9,2,2,0.3852,d,2017-08-26 19:15:00,0,1,0,1,-0.843362,15.916666666666666,8.125
2,h,1.1079,2.02187,1.1079,2.02187,7,4,2,4,0.6900999999999999,l,2017-09-10 11:00:00,0,0,1,0,-0.9139699999999997,6.621621621621622,6.208333333333333
3,a,0.377717,2.73624,0.377717,2.73624,2,6,1,2,0.0741,l,2017-09-16 17:30:00,0,0,1,0,-2.358523,8.28,7.636363636363637
4,h,1.93585,0.21606,1.93585,0.21606,8,2,1,0,2.6816999999999998,w,2017-09-20 20:00:00,1,0,0,3,1.7197900000000002,9.23076923076923,8.821428571428571
5,a,1.40609,3.02613,1.40609,2.28286,6,5,1,4,0.4534,l,2017-09-24 11:00:00,0,0,1,0,-0.8767699999999998,16.88888888888889,9.344827586206897
6,h,2.41777,1.54261,2.41777,1.54261,13,3,2,1,1.9671999999999998,w,2017-09-30 12:00:00,1,0,0,3,0.8751599999999999,5.6,7.645161290322581
7,a,0.470714,0.565592,0.470714,0.565592,5,6,0,0,1.1979,d,2017-10-15 11:00:00,0,1,0,1,-0.09487799999999996,11.166666666666666,7.458333333333333
8,h,1.93154,1.63012,1.18826,0.886846,8,5,1,2,1.6239,l,2017-10-23 20:00:00,0,0,1,0,0.30141400000000007,6.869565217391305,13.0
9,a,1.90215,0.546481,1.15887,0.546481,1,5,3,1,2.468,w,2017-10-30 20:00:00,1,0,0,3,0.6123890000000001,11.705882352941176,10.882352941176471
10,h,0.420272,0.493918,0.420272,0.493918,3,3,0,1,1.1775,l,2017-11-04 15:15:00,0,0,1,0,-0.07364600000000004,10.45,8.28
11,a,1.29498,1.7392,1.29498,1.7392,5,4,2,3,0.9272,l,2017-11-19 11:00:00,0,0,1,0,-0.44422000000000006,8.48,8.483870967741936
12,h,1.95643,1.59171,1.95643,1.59171,8,9,2,2,1.6486999999999998,d,2017-11-26 11:00:00,0,1,0,1,0.36471999999999993,10.3,7.129032258064516
13,a,0.658203,1.53443,0.658203,1.53443,6,14,0,2,0.6279,l,2017-12-02 17:30:00,0,0,1,0,-0.876227,12.037037037037036,10.136363636363637
14,h,0.916437,0.118966,0.916437,0.118966,7,1,1,0,2.1307,w,2017-12-09 17:30:00,1,0,0,3,0.7974709999999999,6.612903225806452,10.347826086956522
15,a,0.276894,6.46701,0.276894,5.72373,5,19,0,4,0.0006,l,2017-12-17 19:45:00,0,0,1,0,-5.446835999999999,23.526315789473685,6.411764705882353
16,h,1.79279,1.56341,1.79279,1.56341,15,2,1,3,1.5253,l,2017-12-23 17:30:00,0,0,1,0,0.22938000000000014,7.133333333333334,10.391304347826088
17,a,1.81782,1.33873,1.81782,1.33873,3,7,1,1,1.7292999999999998,d,2018-01-07 17:30:00,0,1,0,1,0.47909,14.80952380952381,5.048780487804878
18,h,1.78725,0.608761,1.78725,0.608761,9,3,1,2,2.4284,l,2018-01-13 19:45:00,0,0,1,0,1.178489,9.666666666666666,13.6
19,a,1.84318,3.18339,1.84318,3.18339,2,19,1,7,0.6368,l,2018-01-21 15:15:00,0,0,1,0,-1.3402100000000001,12.91304347826087,8.818181818181818
20,h,1.21181,1.06092,1.21181,1.06092,2,10,2,2,1.4933,d,2018-01-27 00:00:00,0,1,0,1,0.15088999999999997,10.421052631578947,4.5
21,a,0.215196,2.92272,0.215196,2.92272,3,8,0,5,0.0558,l,2018-02-02 20:00:00,0,0,1,0,-2.707524,17.75,6.7727272727272725
22,h,1.2907,0.867811,1.2907,0.867811,6,4,0,1,1.6623999999999999,l,2018-02-12 20:00:00,0,0,1,0,0.42288899999999996,8.09375,8.19047619047619
23,a,0.192999,0.591477,0.192999,0.591477,6,7,0,1,0.8071999999999999,l,2018-02-17 17:30:00,0,0,1,0,-0.398478,7.36,8.275862068965518
24,h,1.76399,0.373435,1.02072,0.373435,4,1,0,0,2.5753,d,2018-02-23 20:00:00,0,1,0,1,0.6472850000000001,7.964285714285714,9.625
25,a,0.325781,1.95067,0.325781,1.95067,3,9,0,3,0.14500000000000002,l,2018-02-28 18:30:00,0,0,1,0,-1.624889,6.0,14.466666666666667
26,h,1.24866,0.601828,1.24866,0.601828,3,6,1,1,1.9658000000000002,d,2018-03-03 17:30:00,0,1,0,1,0.6468320000000001,20.583333333333332,4.9523809523809526
27,a,0.703693,1.03867,0.703693,1.03867,9,1,0,2,0.9314,l,2018-03-09 20:00:00,0,0,1,0,-0.33497699999999997,7.181818181818182,8.153846153846153
28,h,1.26948,0.310044,1.26948,0.310044,5,1,1,1,2.2232,d,2018-03-17 12:00:00,0,1,0,1,0.959436,5.390243902439025,7.434782608695652
29,a,1.05793,1.41638,1.05793,0.673107,6,8,0,1,1.024,l,2018-04-01 19:45:00,0,0,1,0,0.384823,9.75,11.681818181818182
30,h,2.38294,0.66021,1.63966,0.66021,6,4,3,2,2.5869999999999997,w,2018-04-06 19:00:00,1,0,0,3,0.9794499999999999,6.933333333333334,7.76
31,a,1.29636,0.765312,1.29636,0.765312,5,3,3,2,1.8648000000000002,w,2018-04-14 18:45:00,1,0,0,3,0.531048,19.0,5.766666666666667
32,h,1.897,1.79029,1.897,1.79029,6,9,0,0,1.4607999999999999,d,2018-04-17 17:30:00,0,1,0,1,0.10671000000000008,11.041666666666666,16.4
33,a,0.978814,0.719922,0.978814,0.719922,2,4,0,0,1.5789,d,2018-04-20 19:00:00,0,1,0,1,0.258892,8.5,7.2
34,h,2.46343,3.65273,2.46343,3.65273,7,28,2,4,0.7535,l,2018-04-29 15:00:00,0,0,1,0,-1.1893000000000002,12.84,12.352941176470589
