,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.57496,0.847485,2.57496,0.847485,7,5,2,2,2.5569,d,2017-08-19 19:15:00,0,1,0,1,1.7274749999999999,9.36,16.375
1,h,1.66954,0.325871,1.66954,0.325871,3,3,1,0,2.5639,w,2017-08-26 19:15:00,1,0,0,3,1.343669,7.1,7.782608695652174
2,a,0.314128,1.72422,0.314128,1.72422,1,3,0,2,0.2538,l,2017-09-10 15:15:00,0,0,1,0,-1.4100920000000001,6.65625,8.2
3,h,1.90439,1.35514,1.16111,1.35514,6,5,0,1,1.8171999999999997,l,2017-09-17 15:15:00,0,0,1,0,-0.19402999999999992,12.074074074074074,6.71875
4,a,1.24121,0.470624,1.24121,0.470624,3,3,0,0,2.0978000000000003,d,2017-09-20 19:00:00,0,1,0,1,0.770586,9.772727272727273,4.678571428571429
5,h,0.90657,1.28645,0.90657,1.28645,3,6,0,3,1.0123,l,2017-09-23 19:45:00,0,0,1,0,-0.3798800000000001,11.35483870967742,10.0
6,a,1.32391,2.56272,1.32391,2.56272,3,5,3,3,0.5388,d,2017-09-29 20:00:00,0,1,0,1,-1.2388100000000002,13.535714285714286,8.894736842105264
7,h,1.77848,1.23084,1.77848,1.23084,11,2,1,2,1.7514999999999998,l,2017-10-15 15:15:00,0,0,1,0,0.5476400000000001,10.956521739130435,8.346153846153847
8,a,1.63012,1.93154,0.886846,1.18826,5,8,2,1,1.0914,w,2017-10-23 20:00:00,1,0,0,3,-0.30141400000000007,13.0,6.869565217391305
9,h,2.26046,1.58248,2.26046,1.58248,4,16,2,1,1.9179000000000002,w,2017-10-29 15:15:00,1,0,0,3,0.67798,7.476190476190476,7.36
10,a,1.61579,0.648662,1.61579,0.648662,4,6,2,1,2.2105,w,2017-11-05 11:00:00,1,0,0,3,0.9671280000000001,12.88888888888889,14.0
11,h,1.12751,1.34745,1.12751,1.34745,4,6,1,1,1.172,d,2017-11-17 20:00:00,0,1,0,1,-0.21994000000000002,5.2631578947368425,10.761904761904763
12,a,1.43823,1.20945,1.43823,1.20945,5,4,2,2,1.5657,d,2017-11-25 17:30:00,0,1,0,1,0.22877999999999998,9.333333333333334,9.68421052631579
13,h,0.421084,1.71192,0.421084,0.968639,4,3,2,3,0.3176,l,2017-12-04 20:00:00,0,0,1,0,-0.547555,8.72,13.818181818181818
14,a,1.5012,0.348241,1.5012,0.348241,1,4,1,0,2.4663,w,2017-12-11 20:00:00,1,0,0,3,1.152959,9.91304347826087,10.4
15,h,0.372216,0.263352,0.372216,0.263352,0,7,1,0,1.3483999999999998,w,2017-12-17 11:00:00,1,0,0,3,0.10886400000000002,6.45,6.5
16,a,0.343595,2.47814,0.343595,2.47814,1,1,1,4,0.13090000000000002,l,2017-12-21 18:30:00,0,0,1,0,-2.1345449999999997,5.0,7.37037037037037
17,a,1.67431,1.59323,1.67431,0.849948,2,11,1,2,1.4402000000000001,l,2018-01-06 15:15:00,0,0,1,0,0.8243619999999999,10.047619047619047,5.862068965517241
18,h,3.86809,0.142552,3.12482,0.142552,4,2,6,0,2.9853,w,2018-01-13 12:00:00,1,0,0,3,2.9822680000000004,8.178571428571429,5.782608695652174
19,a,0.782125,1.37281,0.782125,1.37281,4,15,1,1,0.8092000000000001,d,2018-01-20 15:15:00,0,1,0,1,-0.5906850000000001,11.25925925925926,10.958333333333334
20,a,0.694387,0.717136,0.694387,0.717136,2,3,0,0,1.2273999999999998,d,2018-01-27 17:30:00,0,1,0,1,-0.02274900000000002,9.363636363636363,8.13888888888889
21,h,3.07987,0.352756,2.33659,0.352756,1,4,2,0,2.9434,w,2018-02-04 17:30:00,1,0,0,3,1.983834,13.826086956521738,7.12
22,a,1.58043,2.27801,0.837155,2.27801,3,7,0,1,0.7838,l,2018-02-11 11:00:00,0,0,1,0,-1.440855,8.74074074074074,8.75
23,h,1.35489,0.596666,0.611617,0.596666,2,1,3,0,2.1099,w,2018-02-16 20:00:00,1,0,0,3,0.014950999999999937,10.0,9.521739130434783
24,a,0.756525,3.0399,0.756525,3.0399,2,13,1,6,0.2143,l,2018-02-24 19:45:00,0,0,1,0,-2.283375,14.666666666666666,8.5
25,h,1.25486,0.418862,1.25486,0.418862,3,7,1,0,2.1597,w,2018-02-27 20:30:00,1,0,0,3,0.835998,9.06060606060606,7.888888888888889
