,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.219158,1.60532,0.219158,1.60532,4,9,0,1,0.3468,l,2017-08-18 21:15:00,0,0,1,0,-1.3861620000000001,12.263157894736842,9.903225806451612
1,h,1.38892,0.510608,0.645647,0.510608,3,6,1,5,2.2047000000000003,l,2017-08-26 21:15:00,0,0,1,0,0.13503900000000002,6.862068965517241,12.148148148148149
2,a,1.89906,0.904978,1.89906,0.904978,7,1,3,1,2.1243,w,2017-09-11 20:00:00,1,0,0,3,0.994082,10.428571428571429,6.942857142857143
3,h,0.895334,1.10686,0.895334,1.10686,4,8,1,0,1.1339,w,2017-09-17 17:30:00,1,0,0,3,-0.211526,8.16,8.151515151515152
4,a,0.370691,1.38776,0.370691,1.38776,3,13,0,1,0.4515,l,2017-09-20 21:00:00,0,0,1,0,-1.0170690000000002,17.31578947368421,6.945945945945946
5,h,0.855521,1.5876,0.855521,1.5876,9,6,0,2,0.6544,l,2017-09-24 17:30:00,0,0,1,0,-0.7320789999999999,7.333333333333333,13.06060606060606
6,a,0.684959,4.83674,0.684959,4.83674,6,14,0,3,0.0186,l,2017-10-01 15:15:00,0,0,1,0,-4.151781,14.944444444444445,13.615384615384615
7,h,1.90333,1.68838,1.90333,1.68838,8,5,2,5,1.5378,l,2017-10-16 20:00:00,0,0,1,0,0.21494999999999997,10.736842105263158,17.133333333333333
8,a,0.823505,2.72022,0.823505,2.72022,6,12,0,4,0.2652,l,2017-10-22 11:00:00,0,0,1,0,-1.896715,15.421052631578947,8.058823529411764
9,h,0.546481,1.90215,0.546481,1.15887,5,1,1,3,0.36019999999999996,l,2017-10-30 20:00:00,0,0,1,0,-0.6123890000000001,10.882352941176471,11.705882352941176
10,a,0.127029,2.53038,0.127029,2.53038,2,6,0,3,0.0892,l,2017-11-05 19:45:00,0,0,1,0,-2.4033510000000002,21.714285714285715,8.333333333333334
11,h,0.935842,1.0123,0.935842,1.0123,10,1,0,2,1.291,l,2017-11-19 17:30:00,0,0,1,0,-0.07645800000000003,7.68,8.105263157894736
12,a,2.05048,2.02953,2.05048,2.02953,5,11,2,2,1.4131,d,2017-11-26 15:15:00,0,1,0,1,0.020950000000000024,10.75,7.069767441860465
13,h,2.48469,0.35231,2.48469,0.35231,17,3,1,0,2.7455,w,2017-12-03 19:45:00,1,0,0,3,2.13238,8.4375,12.555555555555555
14,a,0.279196,3.731,0.279196,3.731,6,4,0,2,0.0348,l,2017-12-08 20:00:00,0,0,1,0,-3.451804,6.333333333333333,10.216216216216216
15,h,1.47394,2.13177,0.730661,2.13177,4,7,2,2,0.8232,d,2017-12-17 17:30:00,0,1,0,1,-1.401109,12.789473684210526,9.925
16,a,1.89353,2.9282,1.89353,2.9282,8,5,0,2,0.776,l,2017-12-20 18:30:00,0,0,1,0,-1.03467,5.9523809523809526,8.348837209302326
17,h,0.909208,1.69025,0.165931,1.69025,4,4,1,2,0.625,l,2018-01-06 17:30:00,0,0,1,0,-1.524319,8.058823529411764,5.846153846153846
18,a,0.142552,3.86809,0.142552,3.12482,2,4,0,6,0.0084,l,2018-01-13 12:00:00,0,0,1,0,-2.9822680000000004,5.782608695652174,8.178571428571429
19,h,3.28795,1.94919,2.54467,1.94919,12,6,2,1,2.2404,w,2018-01-20 19:45:00,1,0,0,3,0.59548,5.266666666666667,6.513513513513513
20,a,0.454004,3.50759,0.454004,3.50759,3,6,0,3,0.049,l,2018-01-28 15:15:00,0,0,1,0,-3.053586,8.74074074074074,7.484848484848484
21,h,0.305749,0.838368,0.305749,0.838368,5,1,1,0,0.6778,w,2018-02-05 20:00:00,1,0,0,3,-0.532619,8.571428571428571,11.037037037037036
22,a,0.351625,0.651789,0.351625,0.651789,9,2,0,0,0.9444,d,2018-02-09 20:00:00,0,1,0,1,-0.30016399999999993,6.866666666666666,5.685714285714286
