,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.27973,0.454109,0.53658,0.454109,8,0,1,0,2.1841,1,0,0,3,0.08247099999999996,12.25,7.7368421052631575
1,3.68058,1.2683170000000001,2.19415,1.2683170000000001,17,6,3,2,4.6477,1,1,0,4,0.9258329999999999,10.1875,11.826754385964911
2,4.437985,4.451857,2.951555,4.451857,17,18,4,3,4.7229,1,2,0,5,-1.500302,11.741666666666667,9.975412014885698
3,5.3771770000000005,6.337257,3.890747,6.337257,20,24,5,4,5.3409,1,3,0,6,-2.44651,11.32625,9.253298141599057
4,7.164257000000001,6.9075180000000005,4.934547,6.9075180000000005,23,30,8,4,7.7365,2,3,0,9,-1.9729709999999998,14.444333333333333,9.135971846612579
5,7.547593000000001,9.144528000000001,5.317883,9.144528000000001,27,35,8,8,7.9614,2,3,1,9,-3.826645,16.175833333333333,8.846643205510482
6,8.573883,11.679128000000002,6.344173,11.679128000000002,35,37,8,10,8.3636,2,3,2,9,-5.334955000000001,16.059805194805193,9.582837033294698
7,9.486093,14.152618000000002,7.256383,14.152618000000002,39,42,8,10,8.7513,2,4,2,10,-6.896235000000001,15.510662878787878,9.405815737466195
8,10.125802,14.975191000000002,7.8960919999999994,14.975191000000002,41,49,9,11,9.9038,2,5,2,11,-7.079099000000001,14.34997990659281,9.014693353938206
9,11.035472,16.392301000000003,8.805762,16.392301000000003,42,55,11,13,10.846,2,6,2,12,-7.586539000000001,14.733731915933529,8.617390685211053
10,11.684134,18.008091000000004,9.454424,18.008091000000004,48,59,12,15,11.3927,2,6,3,12,-8.553667,14.667029014485026,9.005708703727219
11,12.696434,18.943933000000005,10.466724,18.943933000000005,49,69,14,15,12.774899999999999,3,6,3,15,-8.477209,14.120215193102503,8.895232978416617
12,13.846524,21.828513000000004,11.616814,21.828513000000004,53,78,14,20,13.1763,3,6,4,15,-10.211699,14.062534822123109,9.073163774948672
13,14.291171,22.691980000000004,12.061461,22.691980000000004,55,87,14,20,14.1249,3,7,4,16,-10.630519,14.189020430066696,8.77947625256223
14,15.406071,24.676090000000006,13.176361,23.932810000000003,58,95,15,22,14.8119,3,7,5,16,-10.756449,13.712927004570187,8.858177835724748
15,16.525711,27.112750000000005,14.296001,26.369470000000003,65,108,15,22,15.351799999999999,3,8,5,17,-12.073469,13.478554251969735,8.621506006706237
16,17.367153000000002,27.395113000000006,15.137443000000001,26.651833000000003,67,111,15,22,17.2519,3,9,5,18,-11.514389999999999,12.958247139108769,8.376543468496626
