,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.913442,1.4766,0.913442,1.4766,4,8,0,1,0.8563000000000001,l,2017-08-21 21:00:00,0,0,1,0,-0.5631579999999999,9.352941176470589,10.038461538461538
1,a,0.325871,1.66954,0.325871,1.66954,3,3,0,1,0.2743,l,2017-08-26 19:15:00,0,0,1,0,-1.343669,7.782608695652174,7.1
2,h,0.904978,1.89906,0.904978,1.89906,1,7,1,3,0.6441,l,2017-09-11 20:00:00,0,0,1,0,-0.994082,6.942857142857143,10.428571428571429
3,a,0.438352,1.54645,0.438352,1.54645,2,8,0,1,0.45610000000000006,l,2017-09-16 19:45:00,0,0,1,0,-1.108098,13.653846153846153,7.2592592592592595
4,a,0.817228,3.40858,0.817228,3.40858,4,9,0,5,0.1175,l,2017-09-19 19:00:00,0,0,1,0,-2.591352,14.842105263157896,11.35
5,h,2.36068,1.93264,2.36068,1.18936,7,4,3,3,1.6987,d,2017-09-23 17:30:00,0,1,0,1,1.17132,9.821428571428571,8.84
6,a,0.429422,2.50129,0.429422,1.75801,2,7,0,2,0.1675,l,2017-09-30 15:15:00,0,0,1,0,-1.328588,13.416666666666666,5.225806451612903
7,h,1.13838,1.93807,1.13838,1.93807,3,2,0,2,0.7341,l,2017-10-15 17:30:00,0,0,1,0,-0.79969,6.458333333333333,6.5
8,a,0.629202,2.19062,0.629202,2.19062,1,15,0,2,0.33320000000000005,l,2017-10-21 19:45:00,0,0,1,0,-1.561418,25.0625,7.4
9,h,2.03731,1.07069,1.29403,1.07069,6,2,2,1,2.2034,w,2017-10-29 19:45:00,1,0,0,3,0.2233400000000001,13.068965517241379,7.0
10,a,0.594488,1.19462,0.594488,1.19462,4,6,0,2,0.7944,l,2017-11-05 17:30:00,0,0,1,0,-0.600132,10.68,5.714285714285714
11,h,1.7392,1.29498,1.7392,1.29498,4,5,3,2,1.7597,w,2017-11-19 11:00:00,1,0,0,3,0.44422000000000006,8.483870967741936,8.48
12,a,0.540736,3.0172,0.540736,2.12065,5,8,2,3,0.06509999999999999,l,2017-11-25 15:15:00,0,0,1,0,-1.579914,13.136363636363637,7.357142857142857
13,h,0.863467,0.444647,0.863467,0.444647,9,2,0,0,1.6631999999999998,d,2017-12-01 20:00:00,0,1,0,1,0.41881999999999997,4.961538461538462,15.833333333333334
14,a,1.85567,1.71766,0.245452,1.71766,1,20,2,0,1.5292999999999999,w,2017-12-10 11:00:00,1,0,0,3,-1.472208,12.26086956521739,6.142857142857143
15,h,1.07205,1.97464,1.07205,1.97464,4,3,0,2,0.6268,l,2017-12-18 20:00:00,0,0,1,0,-0.90259,10.0,7.32
16,a,0.299907,2.132,0.299907,2.132,3,4,0,1,0.17170000000000002,l,2017-12-21 20:30:00,0,0,1,0,-1.8320930000000002,5.212121212121212,8.678571428571429
17,h,1.10377,0.300209,1.10377,0.300209,6,3,0,1,2.1336999999999997,l,2018-01-08 20:00:00,0,0,1,0,0.803561,5.518518518518518,16.428571428571427
18,a,0.378534,1.37242,0.378534,1.37242,2,5,0,1,0.4714,l,2018-01-12 20:00:00,0,0,1,0,-0.993886,6.15,9.037037037037036
19,a,1.36627,1.43961,1.36627,1.43961,2,3,1,1,1.2837,d,2018-01-22 20:00:00,0,1,0,1,-0.07333999999999996,14.555555555555555,3.5217391304347827
20,h,0.717136,0.694387,0.717136,0.694387,3,2,0,0,1.3786,d,2018-01-27 17:30:00,0,1,0,1,0.02274900000000002,8.13888888888889,9.363636363636363
21,a,0.838368,0.305749,0.838368,0.305749,1,5,0,1,1.9555,l,2018-02-05 20:00:00,0,0,1,0,0.532619,11.037037037037036,8.571428571428571
22,h,0.412228,0.507754,0.412228,0.507754,1,2,0,1,1.1114,l,2018-02-10 15:15:00,0,0,1,0,-0.09552600000000006,6.588235294117647,6.785714285714286
23,h,1.14716,1.18698,1.14716,0.443703,1,4,1,2,1.2770000000000001,l,2018-02-17 19:45:00,0,0,1,0,0.703457,7.324324324324325,3.0416666666666665
24,a,1.38648,0.620357,0.6432,0.620357,0,4,1,2,2.1024000000000003,l,2018-02-25 15:15:00,0,0,1,0,0.022842999999999947,8.68,6.0
25,h,0.295635,0.896695,0.295635,0.896695,2,8,0,1,0.6714,l,2018-02-28 18:30:00,0,0,1,0,-0.60106,8.96,7.068965517241379
26,a,0.521384,1.0368,0.521384,1.0368,1,1,0,2,0.8183,l,2018-03-03 17:30:00,0,0,1,0,-0.515416,7.393939393939394,8.263157894736842
27,h,0.541391,2.42399,0.541391,2.42399,3,13,0,2,0.2509,l,2018-03-10 19:45:00,0,0,1,0,-1.882599,21.26086956521739,4.6
28,a,0.483684,1.38296,0.483684,1.38296,3,8,0,0,0.5506,d,2018-03-18 17:30:00,0,1,0,1,-0.899276,6.297297297297297,6.419354838709677
29,h,1.53768,0.374247,0.79479,0.374247,3,7,1,0,2.4017,w,2018-04-01 17:30:00,1,0,0,3,0.420543,9.758620689655173,8.074074074074074
30,a,0.66021,2.38294,0.66021,1.63966,4,6,2,3,0.28,l,2018-04-06 19:00:00,0,0,1,0,-0.9794499999999999,7.76,6.933333333333334
31,h,1.18107,2.29821,1.18107,2.29821,2,18,1,2,0.6124,l,2018-04-15 18:45:00,0,0,1,0,-1.11714,13.275862068965518,11.095238095238095
32,a,0.547059,1.28691,0.547059,1.28691,5,11,0,1,0.6399,l,2018-04-19 19:30:00,0,0,1,0,-0.739851,9.09375,13.05
33,h,1.01179,1.24873,1.01179,1.24873,3,6,2,0,1.1324999999999998,w,2018-04-22 14:15:00,1,0,0,3,-0.23693999999999993,26.071428571428573,12.0
34,a,0.587902,1.91249,0.587902,1.91249,2,8,1,2,0.4169,l,2018-04-30 00:00:00,0,0,1,0,-1.3245879999999999,11.40625,7.375
35,h,1.66977,1.75049,1.66977,1.75049,5,5,0,3,1.3071000000000002,l,2018-05-06 11:00:00,0,0,1,0,-0.08072000000000012,7.592592592592593,13.31578947368421
36,a,1.72397,3.96999,0.980689,3.22672,3,15,1,4,0.189,l,2018-05-13 15:15:00,0,0,1,0,-2.246031,11.655172413793103,5.769230769230769
37,h,0.804563,1.43517,0.804563,0.691896,7,9,0,1,0.7518,l,2018-05-19 00:00:00,0,0,1,0,0.11266700000000007,6.823529411764706,4.40625
