,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.913442,1.4766,0.913442,1.4766,4,8,0,1,0.8563000000000001,0,0,1,0,-0.5631579999999999,9.352941176470589,10.038461538461538
1,1.239313,3.14614,1.239313,3.14614,7,11,0,2,1.1306,0,0,2,0,-1.9068269999999998,8.567774936061381,8.569230769230769
2,2.144291,5.0451999999999995,2.144291,5.0451999999999995,8,18,1,5,1.7747000000000002,0,0,3,0,-2.900909,8.026135671659969,9.189010989010988
3,2.582643,6.59165,2.582643,6.59165,10,26,1,6,2.2308000000000003,0,0,4,0,-4.009007,9.433063292206516,8.706573056573056
4,3.399871,10.00023,3.399871,10.00023,14,35,1,11,2.3483000000000005,0,0,5,0,-6.600359000000001,10.514871686396791,9.235258445258445
5,5.7605509999999995,11.93287,5.7605509999999995,11.18959,21,39,4,14,4.047000000000001,0,1,5,1,-5.429039000000001,10.399297833902088,9.169382037715371
6,6.189972999999999,14.434159999999999,6.189972999999999,12.947600000000001,23,46,4,16,4.214500000000001,0,1,6,1,-6.757627000000001,10.830350524297028,8.60601409684359
7,7.328352999999999,16.37223,7.328352999999999,14.885670000000001,26,48,4,18,4.948600000000001,0,1,7,1,-7.557317000000001,10.283848375426565,8.34276233473814
8,7.957554999999999,18.562849999999997,7.957554999999999,17.07629,27,63,4,20,5.2818000000000005,0,1,8,1,-9.118735000000001,11.925920778156947,8.23801096421168
9,9.994864999999999,19.633539999999996,9.251584999999999,18.14698,33,65,6,21,7.485200000000001,1,1,8,4,-8.895395,12.04022525206539,8.114209867790512
10,10.589353,20.828159999999997,9.846072999999999,19.3416,37,71,6,23,8.2796,1,1,9,4,-9.495527000000001,11.916568410968535,7.896034944744621
11,12.328553,22.123139999999996,11.585272999999999,20.63658,41,76,9,25,10.0393,2,1,9,7,-9.051307000000001,11.630510290699652,7.944698699349236
12,12.869289,25.140339999999995,12.126009,22.75723,46,84,11,28,10.1044,2,1,10,7,-10.631221000000002,11.746345163443035,7.899502096102593
13,13.732756,25.584986999999995,12.989476,23.201877,55,86,11,28,11.7676,2,2,10,8,-10.212401000000002,11.261716113306992,8.46620432733336
14,15.588426,27.302646999999993,13.234928,24.919537,56,106,13,28,13.296899999999999,3,2,10,11,-11.684609000000002,11.328326343434352,8.311314515034944
15,16.660476,29.277286999999994,14.306978,26.894177,60,109,13,30,13.923699999999998,3,2,11,11,-12.587199000000002,11.245305946969705,8.24935735784526
16,16.960383,31.409286999999996,14.606885,29.026177,63,113,13,31,14.095399999999998,3,2,12,11,-14.419292000000002,10.890412727272734,8.274605244358565
17,18.064153,31.709495999999994,15.710655,29.326386,69,116,13,32,16.2291,3,2,13,11,-13.615731000000002,10.591974160119722,8.727603365703722
18,18.442687,33.08191599999999,16.089188999999998,30.698805999999998,71,121,13,33,16.700499999999998,3,2,14,11,-14.609617000000002,10.35818604642921,8.743889348405476
19,19.808957,34.521525999999994,17.455458999999998,32.138416,73,124,14,34,17.984199999999998,3,3,14,12,-14.682957000000002,10.568054521885527,8.482781837506941
20,20.526093,35.21591299999999,18.172594999999998,32.832803,76,126,14,34,19.362799999999996,3,4,14,13,-14.660208000000003,10.452379967933306,8.524727291132152
