,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.52013,1.09286,2.52013,1.09286,10,1,1,1,2.4545,0,1,0,1,1.42727,6.666666666666667,15.5
1,3.7366,2.5649800000000003,3.7366,2.5649800000000003,11,12,2,1,3.6197,1,1,0,4,1.1716199999999999,7.362745098039216,11.083333333333334
2,6.57782,3.2556390000000004,6.57782,3.2556390000000004,17,13,5,1,6.3736,2,1,0,7,3.3221809999999996,7.890952872377021,10.08187134502924
3,7.93296,5.160029000000001,7.93296,4.416749,22,19,6,1,7.298,3,1,0,10,3.5162109999999993,7.597902154282766,10.579922027290449
4,9.32072,5.5307200000000005,9.32072,4.78744,35,22,7,1,9.610700000000001,4,1,0,13,4.5332799999999995,7.467510912615401,11.927095516569201
5,9.690915,7.072850000000001,9.690915,6.32957,49,28,7,3,10.001700000000001,4,1,1,13,3.3613449999999996,7.149396348748129,12.59003991460132
6,12.192205000000001,7.5022720000000005,11.448925000000001,6.758992,56,30,9,3,12.7405,5,1,1,16,4.689933,6.874597792014526,12.708129450610656
7,13.987655000000002,8.624862,13.244375000000002,7.881582,68,36,9,4,14.6447,5,1,2,16,5.362793,6.904161956901598,12.031377975166677
8,14.867471000000002,10.353532,14.124191000000001,9.610252,76,47,9,8,15.4,5,1,3,16,4.513939,7.048910245215215,12.132058200148158
9,16.602151000000003,11.380552,15.858871,9.893992999999998,84,50,11,9,17.3501,6,1,3,19,5.964878,6.859403836078309,12.218852380133342
10,16.956307000000002,13.334681999999999,16.213027,11.848122999999998,89,64,12,11,17.6274,6,1,4,19,4.364903999999999,7.392185305525735,12.258397268652688
11,18.438237,15.683311999999999,17.694957,14.196752999999998,103,71,14,12,18.402,7,1,4,22,3.4982039999999994,7.413669863398591,12.305704742641778
12,20.262737,17.758271999999998,18.776176999999997,16.271713,113,79,17,14,19.604300000000002,8,1,4,25,2.5044639999999996,7.527737698840079,12.228057939076741
13,21.797167,18.416475,20.310606999999997,16.929916,127,85,19,14,21.7343,9,1,4,28,3.3806909999999997,7.7140681229489045,12.214413588931048
14,22.178916,21.951774999999998,20.692355999999997,19.721946,135,102,19,19,21.7892,9,1,5,28,0.9704099999999998,8.361200423524242,12.319417595283012
15,24.615576,23.071415,23.129015999999996,20.841586,148,109,19,19,24.070600000000002,9,2,5,29,2.2874299999999996,8.155589682768262,12.17213918076301
16,24.919858,24.935435,23.433297999999997,22.705606,154,117,20,22,24.312400000000004,9,2,6,29,0.7276919999999996,8.167827722819327,12.022053914551798
17,26.211718,26.578734999999998,24.725157999999997,24.348906,163,122,23,27,25.391600000000004,9,2,7,29,0.3762519999999996,8.280726182662697,11.775879202127204
18,27.011061,27.186041,25.524500999999997,24.956212,176,125,23,28,26.896400000000003,9,2,8,29,0.5682889999999996,8.090512523926064,11.723347548214075
19,28.559701,28.279691,27.073140999999996,26.049862,181,131,26,28,28.629200000000004,10,2,8,32,1.0232789999999996,8.242508636860196,11.427720711343913
20,30.329921,29.059804,28.843360999999994,26.829975,195,132,27,29,30.750800000000005,10,3,8,33,2.0133859999999997,8.143659019231931,11.489770640840355
21,32.058501,30.777843999999998,29.828658999999995,28.548015,200,137,28,34,32.1405,10,3,9,33,1.2806439999999997,8.111560881994116,11.448913297661662
22,34.336511,32.358274,32.106669,29.38517,207,140,29,34,34.082600000000006,11,3,9,36,2.7214989999999997,8.139319104516112,11.331166664752056
23,37.179881,33.436384000000004,34.950039,29.720007,211,145,31,35,36.717000000000006,12,3,9,39,5.230032,8.339069697383495,11.155331016683682
