,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.45697,1.14522,2.45697,1.14522,6,3,2,1,2.2877,1,0,0,3,1.3117500000000002,5.913043478260869,20.9375
1,3.3093190000000003,1.363086,3.3093190000000003,1.363086,15,8,4,3,4.2341,1,1,0,4,1.9462330000000003,5.570807453416149,17.36875
2,4.7606090000000005,3.321516,4.7606090000000005,3.321516,20,17,5,4,5.1469,1,2,0,5,1.4390930000000004,7.771342899978582,16.171759259259257
3,5.708105000000001,4.874596,5.708105000000001,4.874596,24,24,7,6,5.9841,1,3,0,6,0.8335090000000004,8.587766434243196,14.228819444444444
4,6.462394000000001,7.326646,6.462394000000001,7.326646,34,28,7,9,6.285299999999999,1,3,1,6,-0.8642519999999995,8.590213147394557,15.119897660818713
5,7.351475000000001,10.390536,7.351475000000001,10.390536,36,38,8,10,6.4868,1,4,1,7,-3.0390609999999993,9.538510956162131,13.446581384015595
6,8.539895000000001,12.505476000000002,8.539895000000001,11.018920000000001,44,39,9,13,7.0809999999999995,1,4,2,7,-2.479024999999999,8.99574231025077,13.233974519632413
7,9.53264,14.191936000000002,9.53264,11.962099000000002,44,42,10,14,7.866099999999999,1,5,2,8,-2.429458999999999,9.290392168528248,12.191334847535504
8,10.770280000000001,15.545856000000002,10.770280000000001,13.316019000000002,49,44,11,15,9.0129,1,6,2,9,-2.5457389999999993,8.885110499009237,12.401959478002574
9,11.403193000000002,16.269639,11.403193000000002,14.039802000000002,52,47,11,15,10.228,1,7,2,10,-2.636608999999999,8.623070037343606,12.105763530202315
10,12.185398000000001,17.733529,12.185398000000001,15.503692000000001,56,52,11,16,11.0205,1,7,3,10,-3.318293999999999,8.377238117486817,12.108006371330168
11,14.231768,18.837689,14.231768,16.607852,62,62,13,19,13.2908,1,7,4,10,-2.3760839999999988,8.46701372890837,11.986826353206501
12,14.989478,20.648989,14.989478,18.419152,66,66,14,20,13.8603,1,8,4,11,-3.4296739999999986,8.203664846751538,12.145532018344463
13,15.940004,22.803129,15.940004,20.573292000000002,78,72,14,23,14.3773,1,8,5,11,-4.6332879999999985,8.015957184537685,11.940851159891286
14,17.735014,22.948658,16.991864,20.718821000000002,86,74,15,23,17.0907,2,8,5,14,-3.7269569999999987,8.004082561424362,12.222572193676312
15,18.069395,23.428492,17.326245,21.198655000000002,91,78,15,23,18.188,2,9,5,15,-3.8724099999999986,7.827691037698975,11.964096214180238
16,19.214375,24.020571999999998,17.727944,21.790735,94,81,16,24,20.1236,2,10,5,16,-4.062790999999999,7.957371451041162,12.12910412918321
