,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.647286,0.428686,0.647286,0.428686,5,5,1,1,1.5204,d,2018-08-18 19:15:00,0,1,0,1,0.21860000000000002,10.6,9.038461538461538
1,h,1.50101,1.0368,1.50101,1.0368,10,11,2,0,1.7229999999999999,w,2018-08-26 19:15:00,1,0,0,3,0.46421,8.517241379310345,8.64516129032258
2,a,1.04802,1.15622,0.304741,1.15622,10,2,1,2,1.2519,l,2018-09-02 14:15:00,0,0,1,0,-0.8514790000000001,6.521739130434782,10.222222222222221
3,h,1.61848,0.690773,1.61848,0.690773,6,2,1,0,2.1383,w,2018-09-16 14:15:00,1,0,0,3,0.927707,8.0,9.782608695652174
4,a,0.424687,1.08701,0.424687,1.08701,6,6,0,1,0.7448000000000001,l,2018-09-22 18:45:00,0,0,1,0,-0.662323,18.055555555555557,8.26923076923077
5,h,0.897083,0.200168,0.897083,0.200168,7,1,1,0,2.0917000000000003,w,2018-09-25 18:00:00,1,0,0,3,0.696915,9.73076923076923,15.75
6,a,1.7919,1.22522,1.7919,0.48194,6,1,2,2,1.8573,d,2018-09-28 19:00:00,0,1,0,1,1.30996,10.23076923076923,9.869565217391305
7,h,2.74615,1.59419,2.74615,1.59419,10,4,3,1,2.1127,w,2018-10-07 16:30:00,1,0,0,3,1.15196,7.233333333333333,14.7
8,a,1.84992,0.264947,1.84992,0.264947,4,4,2,0,2.6797,w,2018-10-21 16:30:00,1,0,0,3,1.584973,8.5,6.685714285714286
9,a,0.508367,1.2412,0.508367,1.2412,7,7,1,1,0.7176,d,2018-10-26 19:00:00,0,1,0,1,-0.7328330000000001,9.923076923076923,11.19047619047619
10,h,1.46389,0.782205,1.46389,0.782205,5,4,1,0,1.9295,w,2018-11-05 20:00:00,1,0,0,3,0.6816849999999999,12.130434782608695,5.918918918918919
11,a,0.686451,3.95375,0.686451,3.95375,4,12,1,2,0.07289999999999999,l,2018-11-11 17:30:00,0,0,1,0,-3.267299,8.2,9.310344827586206
12,h,2.63865,2.56699,2.63865,2.56699,20,8,1,3,1.4201000000000001,l,2018-11-25 17:30:00,0,0,1,0,0.07166000000000006,8.0,19.0
13,a,0.97845,1.33323,0.97845,1.33323,6,5,0,3,1.056,l,2018-12-01 17:30:00,0,0,1,0,-0.3547799999999999,5.5,8.464285714285714
14,h,0.812936,3.16793,0.812936,3.16793,10,10,0,4,0.1543,l,2018-12-08 19:45:00,0,0,1,0,-2.354994,11.030303030303031,9.48
15,h,0.52284,1.8151,0.52284,0.950586,4,9,1,3,0.34019999999999995,l,2018-12-16 15:15:00,0,0,1,0,-0.42774600000000007,7.25,8.052631578947368
16,a,0.71456,1.03123,0.71456,0.288076,7,8,0,1,0.95,l,2018-12-22 15:15:00,0,0,1,0,0.426484,6.619047619047619,10.862068965517242
17,h,1.68261,0.358462,1.68261,0.358462,4,1,1,0,2.4516,w,2019-01-04 20:00:00,1,0,0,3,1.3241479999999999,13.529411764705882,10.5
18,a,2.4151,2.68319,2.4151,1.93991,5,1,2,3,1.1641,l,2019-01-14 20:00:00,0,0,1,0,0.4751899999999998,5.382352941176471,9.307692307692308
19,a,0.65215,2.18267,0.65215,2.18267,1,9,0,3,0.36660000000000004,l,2019-01-21 20:00:00,0,0,1,0,-1.5305199999999999,14.25,6.966666666666667
20,h,1.20349,2.37579,1.20349,2.37579,4,14,2,4,0.603,l,2019-01-27 19:45:00,0,0,1,0,-1.1723,9.513513513513514,7.961538461538462
